ax,ay,az,gx,gy,gz,timestamp_ms
0.333,-0.337,-0.942,-1.01,0.46,0.06,1784844925216.4768
0.334,-0.343,-0.933,-2.44,1.65,-0.52,1784844925217.033
0.334,-0.348,-0.928,-3.2,2.38,-0.89,1784844925217.553
0.339,-0.354,-0.915,-2.53,2.69,-0.34,1784844925218.069
0.339,-0.364,-0.921,-0.85,2.44,0.37,1784844925218.588
0.339,-0.368,-0.913,1.31,3.11,0.67,1784844925219.1018
0.348,-0.373,-0.916,2.78,3.23,0.64,1784844925219.6118
0.35,-0.374,-0.925,3.08,3.36,-0.12,1784844925220.125
0.344,-0.359,-0.91,3.17,3.91,-0.7,1784844925220.602
0.344,-0.342,-0.907,2.72,4.09,-1.25,1784844925220.927
0.34,-0.332,-0.898,0.85,4.52,-2.35,1784844925221.578
0.337,-0.33,-0.887,-0.49,4.7,-3.45,1784844925221.925
0.339,-0.34,-0.882,-0.61,4.55,-4.06,1784844925222.2432
0.342,-0.353,-0.884,-1.16,4.36,-4.24,1784844925222.6719
0.345,-0.355,-0.884,-1.4,4.27,-3.72,1784844925222.992
0.342,-0.351,-0.874,0.06,4.43,-2.44,1784844925223.31
0.343,-0.345,-0.866,2.66,4.12,-1.65,1784844925223.753
0.343,-0.337,-0.871,4.03,3.42,-1.83,1784844925224.0808
0.334,-0.329,-0.879,3.27,3.02,-2.14,1784844925224.4119
0.324,-0.327,-0.875,1.43,3.42,-1.95,1784844925224.738
0.321,-0.333,-0.868,-0.46,3.3,-1.92,1784844925225.055
0.336,-0.34,-0.867,-1.95,2.62,-1.4,1784844925225.376
0.35,-0.352,-0.877,-3.3,2.53,-0.27,1784844925226.104
0.352,-0.359,-0.874,-4.61,2.96,0.15,1784844925226.6409
0.349,-0.36,-0.865,-3.63,2.93,-0.67,1784844925227.0332
0.347,-0.36,-0.867,-0.95,2.32,-2.17,1784844925227.4211
0.342,-0.356,-0.873,0.76,1.95,-3.42,1784844925227.823
0.338,-0.35,-0.868,1.1,1.71,-3.51,1784844925228.1301
0.338,-0.348,-0.871,1.34,1.46,-3.2,1784844925228.5781
0.341,-0.349,-0.872,1.34,1.5,-2.93,1784844925228.897
0.347,-0.344,-0.865,1.28,1.43,-2.38,1784844925229.2
