ax,ay,az,gx,gy,gz,timestamp_ms
0.245,-0.204,-0.885,21.45,-9.19,-52.98,1785084763572.512
0.268,-0.204,-0.892,14.47,-11.44,-50.42,1785084763573.079
0.28,-0.212,-0.933,8.51,-12.82,-47.88,1785084763573.623
0.277,-0.231,-0.952,4.64,-13.61,-45.9,1785084763574.1482
0.265,-0.256,-0.978,4.3,-14.95,-45.32,1785084763574.6628
0.279,-0.261,-1.019,4.7,-15.9,-44.04,1785084763575.193
0.314,-0.249,-1.057,3.94,-15.9,-42.02,1785084763575.8828
0.34,-0.235,-1.087,1.22,-15.38,-40.25,1785084763576.555
0.365,-0.219,-1.103,-3.6,-14.71,-38.97,1785084763577.159
0.391,-0.223,-1.114,-9.74,-13.98,-37.9,1785084763577.7158
0.39,-0.24,-1.126,-16.45,-12.18,-37.26,1785084763578.264
0.358,-0.251,-1.132,-22.0,-10.01,-35.65,1785084763580.254
0.33,-0.256,-1.126,-24.87,-8.7,-32.75,1785084763580.958
0.368,-0.263,-1.128,-24.69,-8.94,-30.79,1785084763581.7869
0.442,-0.278,-1.148,-22.55,-9.0,-30.46,1785084763582.37
0.471,-0.277,-1.159,-21.82,-7.32,-30.15,1785084763583.034
0.47,-0.286,-1.168,-22.49,-4.49,-29.45,1785084763583.6858
0.467,-0.295,-1.174,-23.26,-0.82,-29.97,1785084763584.3542
0.437,-0.305,-1.162,-21.73,3.54,-31.46,1785084763585.207
0.374,-0.318,-1.128,-17.76,7.02,-32.65,1785084763585.9211
0.35,-0.328,-1.095,-13.28,8.79,-32.93,1785084763586.823
0.392,-0.316,-1.077,-10.25,10.13,-33.14,1785084763587.393
0.42,-0.291,-1.074,-8.97,12.51,-32.99,1785084763587.9668
0.43,-0.265,-1.08,-10.56,15.93,-32.35,1785084763588.4758
0.436,-0.25,-1.087,-14.1,20.26,-32.78,1785084763588.9822
0.434,-0.25,-1.084,-17.46,25.06,-34.52,1785084763589.705
0.434,-0.25,-1.084,-18.92,29.6,-37.54,1785084763590.462
0.427,-0.27,-1.084,-18.28,34.33,-40.8,1785084763590.998
0.415,-0.302,-1.084,-16.17,39.12,-43.52,1785084763592.0059
0.382,-0.328,-1.079,-13.15,43.46,-44.77,1785084763592.694
0.353,-0.335,-1.053,-13.15,43.46,-44.77,1785084763593.844
0.348,-0.32,-1.021,-10.35,47.3,-44.56,1785084763594.6218
0.357,-0.31,-0.999,-7.29,51.12,-44.5,1785084763595.433
0.35,-0.313,-0.978,-3.6,55.39,-46.02,1785084763596.441
0.345,-0.332,-0.964,1.89,60.24,-48.65,1785084763597.0107
0.335,-0.353,-0.975,8.82,65.68,-52.16,1785084763597.522
0.311,-0.352,-0.99,14.83,71.66,-55.39,1785084763598.0051
0.283,-0.357,-0.984,19.84,77.43,-58.23,1785084763598.504
0.256,-0.375,-0.977,24.96,82.98,-62.29,1785084763599.014
0.222,-0.383,-0.936,30.12,87.89,-67.29,1785084763599.971
0.2,-0.37,-0.865,35.77,90.46,-71.23,1785084763600.519
0.192,-0.338,-0.786,41.41,90.88,-74.19,1785084763601.0781
0.194,-0.293,-0.742,46.82,90.21,-76.17,1785084763601.7139
0.189,-0.275,-0.74,52.61,90.4,-77.85,1785084763602.22
0.149,-0.257,-0.742,56.12,91.77,-80.97,1785084763602.709
0.109,-0.227,-0.74,57.31,93.48,-83.25,1785084763603.22
0.09,-0.221,-0.731,58.32,95.13,-84.78,1785084763603.7068
0.08,-0.202,-0.703,58.11,95.98,-85.79,1785084763604.189
0.085,-0.171,-0.672,58.23,96.19,-84.32,1785084763604.6873
0.096,-0.135,-0.637,59.11,95.86,-81.48,1785084763605.1829
0.103,-0.104,-0.612,59.54,94.52,-77.76,1785084763605.6929
0.109,-0.093,-0.575,59.36,93.17,-74.19,1785084763606.179
0.105,-0.088,-0.53,59.05,91.43,-70.96,1785084763606.6711
0.116,-0.069,-0.482,57.59,89.14,-65.34,1785084763607.1902
0.143,-0.026,-0.435,55.15,84.84,-56.49,1785084763607.668
0.187,0.0,-0.407,53.5,79.32,-45.75,1785084763608.157
0.219,0.012,-0.385,50.81,73.27,-35.65,1785084763608.644
0.24,0.043,-0.373,46.14,66.53,-24.87,1785084763609.121
0.269,0.079,-0.372,41.78,60.34,-11.35,1785084763609.73
0.282,0.096,-0.366,38.36,54.41,3.3,1785084763610.2212
0.296,0.111,-0.363,34.49,48.04,18.43,1785084763611.035
0.327,0.142,-0.374,29.48,41.11,35.04,1785084763611.592
0.365,0.173,-0.386,23.87,34.82,53.74,1785084763612.281
0.388,0.186,-0.389,17.58,28.14,72.91,1785084763612.775
0.403,0.172,-0.382,10.32,20.78,91.74,1785084763613.548
0.384,0.149,-0.385,2.53,11.23,111.24,1785084763614.23
0.369,0.139,-0.345,-4.18,4.3,131.96,1785084763614.717
0.319,0.089,-0.327,-7.9,-5.46,153.05,1785084763615.2341
0.268,-0.008,-0.277,-8.3,-13.31,174.2,1785084763615.7441
0.228,-0.155,-0.219,-6.16,-25.57,193.76,1785084763616.306
0.275,-0.295,-0.186,-2.26,-43.89,213.08,1785084763616.813
0.331,-0.406,-0.196,8.27,-65.49,233.5,1785084763617.3928
0.346,-0.472,-0.201,25.24,-88.9,254.68,1785084763617.931
0.351,-0.506,-0.207,47.03,-111.88,273.35,1785084763618.466
0.349,-0.536,-0.267,73.85,-131.32,285.81,1785084763619.019
0.312,-0.601,-0.382,101.9,-146.58,294.23,1785084763619.565
0.254,-0.668,-0.506,123.78,-154.55,299.3,1785084763620.1028
0.215,-0.714,-0.596,136.17,-156.32,302.74,1785084763620.6602
0.217,-0.763,-0.636,141.97,-157.26,307.93,1785084763621.176
0.251,-0.795,-0.664,142.98,-160.25,314.86,1785084763621.74
0.268,-0.795,-0.684,139.1,-164.71,322.67,1785084763622.2861
0.235,-0.767,-0.687,129.61,-169.77,331.43,1785084763622.7961
0.174,-0.722,-0.658,115.51,-173.22,338.88,1785084763623.314
0.093,-0.708,-0.62,102.08,-174.5,343.61,1785084763623.8643
0.02,-0.785,-0.622,94.73,-175.02,347.61,1785084763624.348
-0.042,-0.923,-0.598,94.82,-175.79,342.6,1785084763624.834
-0.192,-1.074,-0.547,100.71,-178.72,326.94,1785084763625.3882
-0.345,-1.251,-0.558,112.61,-184.39,316.51,1785084763625.875
-0.497,-1.363,-0.58,123.14,-190.47,311.75,1785084763626.407
