num_points,points,timestamp_ms
6,"[{""range"": 0.8224240505685889, ""doppler"": 0.0, ""angle"": -26.052500505742145, ""elevation"": 0.0}, {""range"": 0.8572074061840926, ""doppler"": 0.0, ""angle"": -23.597212546841295, ""elevation"": 0.0}, {""range"": 0.6949310876744631, ""doppler"": 0.0, ""angle"": 2.3742827040713195, ""elevation"": 0.0}, {""range"": 0.7086395314929105, ""doppler"": 0.0, ""angle"": 2.5743331553423725, ""elevation"": 0.0}, {""range"": 0.7175375631353305, ""doppler"": 0.0, ""angle"": 4.387754326934488, ""elevation"": 0.0}, {""range"": 0.7385141478980887, ""doppler"": 0.0, ""angle"": 8.086940221884891, ""elevation"": 0.0}]",1785101597238.2778
9,"[{""range"": 0.8508496129729864, ""doppler"": 0.0, ""angle"": -19.112748437367134, ""elevation"": 0.0}, {""range"": 0.802588113041985, ""doppler"": 0.0, ""angle"": -16.024301166197517, ""elevation"": 0.0}, {""range"": 0.7519017075874346, ""doppler"": 0.0, ""angle"": -5.294352547208674, ""elevation"": 0.0}, {""range"": 1.2719108554382101, ""doppler"": 0.0, ""angle"": -6.157837875587747, ""elevation"": 0.0}, {""range"": 0.692635099472356, ""doppler"": 0.0, ""angle"": -0.9171275317416583, ""elevation"": 0.0}, {""range"": 0.7084824935096502, ""doppler"": 0.0, ""angle"": 0.4482920041522745, ""elevation"": 0.0}, {""range"": 0.7213657520643231, ""doppler"": 0.0, ""angle"": 0.5255043126734871, ""elevation"": 0.0}, {""range"": 1.9197860553695432, ""doppler"": 0.0, ""angle"": -1.4036872386612613, ""elevation"": 0.0}, {""range"": 1.876491182034978, ""doppler"": 0.0, ""angle"": 47.734390857122634, ""elevation"": 0.0}]",1785101597238.556
7,"[{""range"": 0.8681677270267306, ""doppler"": 0.0, ""angle"": -18.804401278861135, ""elevation"": 0.0}, {""range"": 0.8126467540620002, ""doppler"": 0.0, ""angle"": -13.87724181959607, ""elevation"": 0.0}, {""range"": 0.6907268437299832, ""doppler"": 0.0, ""angle"": -2.863886636774561, ""elevation"": 0.0}, {""range"": 0.7063494670904145, ""doppler"": 0.0, ""angle"": 0.5656867834158915, ""elevation"": 0.0}, {""range"": 0.7182468516368286, ""doppler"": 0.0, ""angle"": 2.1115933833579272, ""elevation"": 0.0}, {""range"": 0.7418990997154423, ""doppler"": 0.0, ""angle"": -0.027619076922252944, ""elevation"": 0.0}, {""range"": 1.92027081042126, ""doppler"": 0.0, ""angle"": 5.47169399213375, ""elevation"": 0.0}]",1785101597238.8152
7,"[{""range"": 0.8221985451337173, ""doppler"": 0.0, ""angle"": -19.9916233325566, ""elevation"": 0.0}, {""range"": 0.8477239543539725, ""doppler"": 0.0, ""angle"": -21.662266072865375, ""elevation"": 0.0}, {""range"": 0.6862693833079488, ""doppler"": 0.0, ""angle"": -4.318555435935194, ""elevation"": 0.0}, {""range"": 0.7729899706220573, ""doppler"": 0.0, ""angle"": -3.873145354044632, ""elevation"": 0.0}, {""range"": 0.7059520002711284, ""doppler"": 0.0, ""angle"": 2.569612767111378, ""elevation"": 0.0}, {""range"": 0.7248199392594692, ""doppler"": 0.0, ""angle"": 7.79826950727183, ""elevation"": 0.0}, {""range"": 1.9073004213587896, ""doppler"": 0.0, ""angle"": 60.668874015494204, ""elevation"": 0.0}]",1785101597239.054
9,"[{""range"": 0.8258058054335377, ""doppler"": 0.0, ""angle"": -23.72314910148942, ""elevation"": 0.0}, {""range"": 0.6886217244346626, ""doppler"": 0.0, ""angle"": -5.393783363929997, ""elevation"": 0.0}, {""range"": 1.2759201217478715, ""doppler"": 0.0, ""angle"": -4.340199446875733, ""elevation"": 0.0}, {""range"": 0.7083128940094102, ""doppler"": 0.0, ""angle"": 0.5351886357376427, ""elevation"": 0.0}, {""range"": 1.360773828747065, ""doppler"": 0.0, ""angle"": 3.0808506952919483, ""elevation"": 0.0}, {""range"": 0.7221924906795124, ""doppler"": 0.0, ""angle"": 6.725583553642974, ""elevation"": 0.0}, {""range"": 0.7429517560769704, ""doppler"": 0.0, ""angle"": 15.28051737510645, ""elevation"": 0.0}, {""range"": 1.915786564675374, ""doppler"": 0.0, ""angle"": 57.06491263917736, ""elevation"": 0.0}, {""range"": 1.9490974182897391, ""doppler"": 0.0, ""angle"": 65.11362060029109, ""elevation"": 0.0}]",1785101597239.302
7,"[{""range"": 0.8199994685219957, ""doppler"": 0.0, ""angle"": -23.669441200755653, ""elevation"": 0.0}, {""range"": 0.8505836783261612, ""doppler"": 0.0, ""angle"": -24.889551945882577, ""elevation"": 0.0}, {""range"": 1.2416995777560313, ""doppler"": 0.0, ""angle"": -20.175553296980485, ""elevation"": 0.0}, {""range"": 0.719440459801966, ""doppler"": 0.0, ""angle"": 7.713215396391746, ""elevation"": 0.0}, {""range"": 0.7290469535250201, ""doppler"": 0.0, ""angle"": 9.686421493193217, ""elevation"": 0.0}, {""range"": 0.7453878102152437, ""doppler"": 0.0, ""angle"": 13.752883861652878, ""elevation"": 0.0}, {""range"": 1.912285155304437, ""doppler"": 0.0, ""angle"": 58.404080387392014, ""elevation"": 0.0}]",1785101597239.5361
7,"[{""range"": 1.2064201394532763, ""doppler"": 0.0, ""angle"": -35.888139532907, ""elevation"": 0.0}, {""range"": 0.7744313413987678, ""doppler"": 0.0, ""angle"": -29.885999579567013, ""elevation"": 0.0}, {""range"": 0.8176818870624587, ""doppler"": 0.0, ""angle"": -32.35203046440806, ""elevation"": 0.0}, {""range"": 1.2354229747110912, ""doppler"": 0.0, ""angle"": -21.730571328133063, ""elevation"": 0.0}, {""range"": 0.7203753205723337, ""doppler"": 0.0, ""angle"": -13.273908585740585, ""elevation"": 0.0}, {""range"": 1.8860284165412422, ""doppler"": 0.0, ""angle"": 52.004478087058985, ""elevation"": 0.0}, {""range"": 1.9115504394368528, ""doppler"": 0.0, ""angle"": 55.0760374430058, ""elevation"": 0.0}]",1785101597239.7812
9,"[{""range"": 0.8318665804659702, ""doppler"": 0.0, ""angle"": -26.0087454778506, ""elevation"": 0.0}, {""range"": 0.8638501352366638, ""doppler"": 0.0, ""angle"": -22.631724972609824, ""elevation"": 0.0}, {""range"": 1.2412915064180527, ""doppler"": 0.0, ""angle"": -19.19188774697695, ""elevation"": 0.0}, {""range"": 0.7161664380417686, ""doppler"": 0.0, ""angle"": -4.45356533393448, ""elevation"": 0.0}, {""range"": 1.2779708790056177, ""doppler"": 0.0, ""angle"": -6.911227119024681, ""elevation"": 0.0}, {""range"": 0.713479384346459, ""doppler"": 0.0, ""angle"": -2.8875031867717516, ""elevation"": 0.0}, {""range"": 0.7279169138365819, ""doppler"": 0.0, ""angle"": -2.4779368886665325, ""elevation"": 0.0}, {""range"": 1.8827456452201143, ""doppler"": 0.0, ""angle"": 45.40017892376255, ""elevation"": 0.0}, {""range"": 1.8990931264380029, ""doppler"": 0.0, ""angle"": 46.705431914236435, ""elevation"": 0.0}]",1785101597240.0142
8,"[{""range"": 1.1988825695150804, ""doppler"": 0.0, ""angle"": -35.76914452801178, ""elevation"": 0.0}, {""range"": 1.2355442487978248, ""doppler"": 0.0, ""angle"": -22.965584751372074, ""elevation"": 0.0}, {""range"": 0.6933316326287108, ""doppler"": 0.0, ""angle"": -8.87199055309034, ""elevation"": 0.0}, {""range"": 1.2706236335576995, ""doppler"": 0.0, ""angle"": -6.220873942844174, ""elevation"": 0.0}, {""range"": 0.7112913984661611, ""doppler"": 0.0, ""angle"": -3.358002473424358, ""elevation"": 0.0}, {""range"": 0.7173769015793379, ""doppler"": 0.0, ""angle"": -2.5143670302411882, ""elevation"": 0.0}, {""range"": 0.7391403266644123, ""doppler"": 0.0, ""angle"": 1.580363587415565, ""elevation"": 0.0}, {""range"": 1.8795685946662188, ""doppler"": 0.0, ""angle"": 47.915143905591776, ""elevation"": 0.0}]",1785101597240.237
6,"[{""range"": 0.8797942860162565, ""doppler"": 0.0, ""angle"": -24.700314337130404, ""elevation"": 0.0}, {""range"": 1.244588786414872, ""doppler"": 0.0, ""angle"": -18.174633578590278, ""elevation"": 0.0}, {""range"": 1.277198638422182, ""doppler"": 0.0, ""angle"": -3.788995893128494, ""elevation"": 0.0}, {""range"": 0.7117172197047713, ""doppler"": 0.0, ""angle"": 0.5902120271477114, ""elevation"": 0.0}, {""range"": 0.7192077828865133, ""doppler"": 0.0, ""angle"": 1.852203114041919, ""elevation"": 0.0}, {""range"": 0.7417269244758238, ""doppler"": 0.0, ""angle"": 1.7959507349776824, ""elevation"": 0.0}]",1785101597240.4712
