distance_cm,timestamp_ms
54.0,1785101617619.9282
55.0,1785101617620.306
55.0,1785101617701.397
56.0,1785101617787.6238
56.0,1785101617808.353
53.0,1785101617821.589
54.0,1785101617907.9512
55.0,1785101617991.977
55.0,1785101618007.415
54.0,1785101618027.99
56.0,1785101618088.3738
54.0,1785101618191.509
54.0,1785101618208.148
53.0,1785101618232.23
54.0,1785101618308.0032
53.0,1785101618392.102
51.0,1785101618407.841
48.0,1785101618428.652
50.0,1785101618507.529
50.0,1785101618592.128
49.0,1785101618607.484
46.0,1785101618628.64
46.0,1785101618711.924
56.0,1785101618791.6091
58.0,1785101618808.407
59.0,1785101618821.6929
61.0,1785101618912.032
79.0,1785101618992.1519
80.0,1785101619008.77
85.0,1785101619022.238
95.0,1785101619091.693
102.0,1785101619147.947
96.0,1785101619201.692
114.0,1785101619288.237
103.0,1785101619301.533
100.0,1785101619328.4932
105.0,1785101619411.9082
101.0,1785101619482.06
107.0,1785101619508.427
115.0,1785101619521.7942
116.0,1785101619611.86
110.0,1785101619687.8408
108.0,1785101619708.95
93.0,1785101619721.728
85.0,1785101619809.084
108.0,1785101619888.5022
116.0,1785101619901.8503
117.0,1785101619929.119
114.0,1785101620011.426
126.0,1785101620091.845
117.0,1785101620108.553
115.0,1785101620121.354
123.0,1785101620208.6567
119.0,1785101620288.2292
124.0,1785101620302.066
128.0,1785101620332.118
123.0,1785101620371.724
122.0,1785101620427.666
127.0,1785101620451.406
123.0,1785101620588.6
126.0,1785101620611.9558
126.0,1785101620628.321
120.0,1785101620701.556
119.0,1785101620788.8708
120.0,1785101620802.166
124.0,1785101620828.5288
128.0,1785101620901.6562
132.0,1785101620988.1711
136.0,1785101621011.907
135.0,1785101621028.29
120.0,1785101621111.827
118.0,1785101621187.335
115.0,1785101621208.331
112.0,1785101621221.549
107.0,1785101621311.888
117.0,1785101621391.653
115.0,1785101621407.413
115.0,1785101621428.885
117.0,1785101621507.931
119.0,1785101621581.747
120.0,1785101621608.164
113.0,1785101621632.2717
114.0,1785101621708.208
123.0,1785101621781.55
124.0,1785101621808.262
125.0,1785101621821.456
159.0,1785101621901.323
135.0,1785101621981.723
131.0,1785101622008.248
121.0,1785101622021.3591
129.0,1785101622102.043
105.0,1785101622188.232
110.0,1785101622201.519
107.0,1785101622228.699
105.0,1785101622311.6758
103.0,1785101622381.5251
99.0,1785101622408.608
95.0,1785101622421.988
99.0,1785101622508.738
