ax,ay,az,gx,gy,gz,timestamp_ms
0.237,0.346,0.892,-3.27,3.39,0.43,1784839508111.825
0.235,0.35,0.897,-2.26,2.99,-0.12,1784839508112.74
0.238,0.359,0.903,-0.92,2.17,-0.21,1784839508113.488
0.237,0.361,0.899,1.01,1.53,-0.82,1784839508114.1638
0.238,0.347,0.892,3.05,1.19,-1.53,1784839508114.723
0.237,0.316,0.88,4.3,1.19,-2.38,1784839508115.315
0.232,0.303,0.886,3.36,1.56,-2.99,1784839508115.8772
0.23,0.321,0.902,0.64,1.8,-2.66,1784839508116.6877
0.234,0.345,0.915,-1.5,2.17,-2.41,1784839508117.439
0.231,0.345,0.905,-2.08,2.17,-2.41,1784839508118.0642
0.227,0.347,0.896,-2.66,2.53,-2.35,1784839508118.649
0.225,0.357,0.903,-3.23,2.9,-2.04,1784839508119.242
0.227,0.367,0.91,-3.51,3.11,-1.86,1784839508119.832
0.229,0.371,0.902,-3.2,2.93,-2.17,1784839508120.4102
0.226,0.365,0.886,-2.44,2.78,-2.78,1784839508120.9678
0.229,0.355,0.888,-1.53,2.99,-2.99,1784839508121.55
0.227,0.353,0.911,-1.71,2.96,-2.69,1784839508122.14
0.232,0.364,0.925,-2.75,2.87,-2.44,1784839508122.711
0.233,0.37,0.922,-2.99,2.53,-2.53,1784839508123.278
0.23,0.378,0.915,-2.47,2.29,-2.53,1784839508123.79
0.236,0.396,0.922,-1.56,1.65,-1.74,1784839508124.255
0.237,0.399,0.929,0.37,0.67,-1.28,1784839508124.7139
0.235,0.396,0.929,2.32,-0.27,-1.22,1784839508125.178
0.228,0.392,0.924,3.69,-1.16,-0.95,1784839508125.644
0.227,0.375,0.916,4.52,-1.28,-0.98,1784839508126.107
0.223,0.363,0.91,4.58,-1.04,-0.95,1784839508126.569
0.226,0.363,0.906,3.75,-0.79,-0.55,1784839508127.9348
0.223,0.355,0.903,2.62,-0.89,-0.34,1784839508128.618
0.221,0.348,0.895,1.07,-0.73,-0.15,1784839508129.1033
0.226,0.363,0.9,-0.12,-0.52,0.98,1784839508129.5637
0.228,0.371,0.911,-0.49,-0.4,2.01,1784839508130.0327
0.23,0.377,0.915,-0.73,-0.4,2.59,1784839508130.5
0.235,0.371,0.917,-0.4,-0.64,3.11,1784839508130.964
0.235,0.362,0.918,0.31,-0.85,3.14,1784839508131.431
0.233,0.351,0.904,0.7,-0.95,2.99,1784839508131.948
0.233,0.347,0.897,0.18,-0.73,2.47,1784839508132.4119
0.233,0.342,0.892,0.64,-0.18,1.77,1784839508132.8699
0.227,0.334,0.892,0.64,0.09,0.73,1784839508133.332
0.231,0.339,0.895,0.03,0.34,0.21,1784839508133.87
0.236,0.349,0.898,0.46,-0.03,0.03,1784839508134.3337
0.236,0.36,0.906,1.04,-0.7,-0.06,1784839508134.806
0.236,0.369,0.91,1.77,-1.46,0.06,1784839508135.3018
0.233,0.367,0.913,2.9,-1.95,0.12,1784839508135.7021
0.228,0.362,0.912,3.78,-2.38,0.12,1784839508136.1191
0.223,0.355,0.904,3.97,-2.56,0.24,1784839508136.5151
0.224,0.347,0.897,3.27,-2.14,0.24,1784839508136.9119
0.221,0.345,0.894,2.38,-1.62,0.52,1784839508137.31
0.222,0.348,0.89,1.59,-1.04,0.82,1784839508137.7122
0.223,0.347,0.89,0.92,-0.73,0.76,1784839508138.1108
0.226,0.356,0.897,0.09,-0.46,0.67,1784839508138.505
0.225,0.361,0.896,-0.03,-0.4,0.64,1784839508138.898
