distance_cm,timestamp_ms
39.0,1784933963690.458
36.0,1784933963691.8882
38.0,1784933963731.5562
36.0,1784933963773.7432
40.0,1784933963817.9463
38.0,1784933963853.9788
40.0,1784933963893.175
36.0,1784933963934.3691
39.0,1784933963974.041
38.0,1784933964014.9707
37.0,1784933964054.2222
38.0,1784933964094.039
37.0,1784933964135.062
44.0,1784933964174.021
34.0,1784933964218.6409
36.0,1784933964254.893
30.0,1784933964294.92
25.0,1784933964334.983
28.0,1784933964374.896
31.0,1784933964414.91
38.0,1784933964454.9717
42.0,1784933964494.89
52.0,1784933964535.1958
63.0,1784933964578.6692
54.0,1784933964614.2322
53.0,1784933964654.667
46.0,1784933964695.105
45.0,1784933964738.878
50.0,1784933964774.3262
56.0,1784933964814.708
55.0,1784933964858.567
54.0,1784933964894.1262
54.0,1784933964934.6501
62.0,1784933964975.303
54.0,1784933965018.6838
62.0,1784933965058.018
51.0,1784933965095.238
56.0,1784933965134.969
54.0,1784933965175.0369
54.0,1784933965214.591
56.0,1784933965254.0422
58.0,1784933965294.24
55.0,1784933965334.238
51.0,1784933965374.243
59.0,1784933965414.061
50.0,1784933965458.3318
57.0,1784933965498.707
63.0,1784933965534.4373
67.0,1784933965574.292
67.0,1784933965614.334
79.0,1784933965654.457
82.0,1784933965694.593
86.0,1784933965735.189
98.0,1784933965778.6602
77.0,1784933965818.781
74.0,1784933965854.387
72.0,1784933965894.339
79.0,1784933965934.771
75.0,1784933965974.0159
77.0,1784933966014.078
80.0,1784933966055.1228
85.0,1784933966094.429
83.0,1784933966134.144
92.0,1784933966178.147
87.0,1784933966218.7122
79.0,1784933966258.366
77.0,1784933966298.971
76.0,1784933966334.074
92.0,1784933966378.6829
75.0,1784933966418.373
76.0,1784933966458.57
23.0,1784933966495.018
55.0,1784933966536.301
56.0,1784933966574.319
49.0,1784933966614.477
50.0,1784933966654.5688
45.0,1784933966694.455
36.0,1784933966734.278
23.0,1784933966774.0957
16.0,1784933966814.1912
39.0,1784933966854.371
33.0,1784933966894.092
35.0,1784933966938.672
55.0,1784933966975.163
53.0,1784933967014.99
67.0,1784933967055.004
53.0,1784933967094.542
52.0,1784933967134.1218
45.0,1784933967173.93
39.0,1784933967214.953
45.0,1784933967254.142
46.0,1784933967298.738
46.0,1784933967334.6719
40.0,1784933967373.9897
48.0,1784933967415.1191
52.0,1784933967454.1519
52.0,1784933967495.267
51.0,1784933967534.22
53.0,1784933967578.8171
48.0,1784933967615.0652
49.0,1784933967654.849
51.0,1784933967694.022
50.0,1784933967735.2449
52.0,1784933967774.2961
49.0,1784933967818.845
50.0,1784933967854.43
52.0,1784933967898.8328
54.0,1784933967934.557
52.0,1784933967974.262
49.0,1784933968015.1072
51.0,1784933968054.0427
49.0,1784933968095.244
55.0,1784933968134.1892
48.0,1784933968178.716
53.0,1784933968214.71
52.0,1784933968254.385
50.0,1784933968294.392
53.0,1784933968338.827
49.0,1784933968374.6072
51.0,1784933968414.392
47.0,1784933968454.888
52.0,1784933968494.011
45.0,1784933968535.286
42.0,1784933968574.324
43.0,1784933968618.873
