num_points,points,timestamp_ms
7,"[{""range"": 1.369020875177663, ""doppler"": 0.0, ""angle"": -36.20234026670632, ""elevation"": 0.0}, {""range"": 1.387739185665873, ""doppler"": 0.0, ""angle"": -36.86546801647084, ""elevation"": 0.0}, {""range"": 1.3598996740339564, ""doppler"": 0.0, ""angle"": -30.895278127105886, ""elevation"": 0.0}, {""range"": 0.6520592014886336, ""doppler"": 0.0, ""angle"": 1.0213470071470852, ""elevation"": 0.0}, {""range"": 0.6088290962161913, ""doppler"": 0.0, ""angle"": 8.989248540601558, ""elevation"": 0.0}, {""range"": 0.6231092969889862, ""doppler"": 0.0, ""angle"": 4.889263178984267, ""elevation"": 0.0}, {""range"": 0.5918173964477778, ""doppler"": 0.0, ""angle"": 11.079066633694096, ""elevation"": 0.0}]",1784934041167.1318
9,"[{""range"": 1.3680881283326145, ""doppler"": 0.0, ""angle"": -38.962722553912265, ""elevation"": 0.0}, {""range"": 1.3582893479710805, ""doppler"": 0.0, ""angle"": -31.438504671729465, ""elevation"": 0.0}, {""range"": 1.4532453437935333, ""doppler"": 0.0, ""angle"": -12.319286921080018, ""elevation"": 0.0}, {""range"": 1.4262496786773955, ""doppler"": 0.0, ""angle"": -6.493293205569715, ""elevation"": 0.0}, {""range"": 0.5913630126986875, ""doppler"": 0.0, ""angle"": 7.208822890079465, ""elevation"": 0.0}, {""range"": 0.6120283784505031, ""doppler"": 0.0, ""angle"": 7.554820070390425, ""elevation"": 0.0}, {""range"": 0.6289844128805798, ""doppler"": 0.0, ""angle"": 10.102337246379932, ""elevation"": 0.0}, {""range"": 0.6594458135322402, ""doppler"": 0.0, ""angle"": 10.846798629678231, ""elevation"": 0.0}, {""range"": 0.6971287753489315, ""doppler"": 0.0, ""angle"": 12.849213118681334, ""elevation"": 0.0}]",1784934041167.361
9,"[{""range"": 1.3668313035819566, ""doppler"": 0.0, ""angle"": -37.35562133225483, ""elevation"": 0.0}, {""range"": 1.3464255629924362, ""doppler"": 0.0, ""angle"": -25.925281702639506, ""elevation"": 0.0}, {""range"": 0.6056430859307403, ""doppler"": 0.0, ""angle"": -9.139720509677424, ""elevation"": 0.0}, {""range"": 1.4479929870916581, ""doppler"": 0.0, ""angle"": -9.94854819344794, ""elevation"": 0.0}, {""range"": 0.5865124304056792, ""doppler"": 0.0, ""angle"": 0.17468171338858504, ""elevation"": 0.0}, {""range"": 0.5990283880636431, ""doppler"": 0.0, ""angle"": 0.1368254820237406, ""elevation"": 0.0}, {""range"": 1.4258306259741984, ""doppler"": 0.0, ""angle"": -2.6955509148036803, ""elevation"": 0.0}, {""range"": 0.7189877273810723, ""doppler"": 0.0, ""angle"": 17.67789905189132, ""elevation"": 0.0}, {""range"": 0.6982688027672653, ""doppler"": 0.0, ""angle"": 24.655242938348206, ""elevation"": 0.0}]",1784934041167.5762
5,"[{""range"": 0.6278984531538854, ""doppler"": 0.0, ""angle"": -35.939800079531715, ""elevation"": 0.0}, {""range"": 1.363270926778964, ""doppler"": 0.0, ""angle"": -39.886398068274474, ""elevation"": 0.0}, {""range"": 1.331300003381582, ""doppler"": 0.0, ""angle"": -14.25275579120398, ""elevation"": 0.0}, {""range"": 0.5837546510511493, ""doppler"": 0.0, ""angle"": 8.703462977406721, ""elevation"": 0.0}, {""range"": 0.593617906909853, ""doppler"": 0.0, ""angle"": 6.711853377206627, ""elevation"": 0.0}]",1784934041167.7927
7,"[{""range"": 1.361998740511238, ""doppler"": 0.0, ""angle"": -41.60980118529379, ""elevation"": 0.0}, {""range"": 1.3215569690198077, ""doppler"": 0.0, ""angle"": -12.264773727892402, ""elevation"": 0.0}, {""range"": 1.4515287616411177, ""doppler"": 0.0, ""angle"": -8.565317508223648, ""elevation"": 0.0}, {""range"": 0.6477903433096236, ""doppler"": 0.0, ""angle"": 2.2147551273192243, ""elevation"": 0.0}, {""range"": 0.5954618119959325, ""doppler"": 0.0, ""angle"": 6.29269069601257, ""elevation"": 0.0}, {""range"": 0.615850480193877, ""doppler"": 0.0, ""angle"": 5.364624329574115, ""elevation"": 0.0}, {""range"": 0.6269144623872199, ""doppler"": 0.0, ""angle"": 4.531566348666068, ""elevation"": 0.0}]",1784934041167.9858
9,"[{""range"": 1.3625940113592123, ""doppler"": 0.0, ""angle"": -42.34601551973569, ""elevation"": 0.0}, {""range"": 1.3215644813937653, ""doppler"": 0.0, ""angle"": -9.517125076780218, ""elevation"": 0.0}, {""range"": 1.458523628609933, ""doppler"": 0.0, ""angle"": -7.049215647734627, ""elevation"": 0.0}, {""range"": 0.5949350545512381, ""doppler"": 0.0, ""angle"": 6.610237565280437, ""elevation"": 0.0}, {""range"": 0.6109963287140875, ""doppler"": 0.0, ""angle"": 4.14535088489194, ""elevation"": 0.0}, {""range"": 0.6202518246614888, ""doppler"": 0.0, ""angle"": 5.276679467819507, ""elevation"": 0.0}, {""range"": 0.6451539595792597, ""doppler"": 0.0, ""angle"": 10.104571987904242, ""elevation"": 0.0}, {""range"": 0.7320545725958888, ""doppler"": 0.0, ""angle"": 21.388188448857733, ""elevation"": 0.0}, {""range"": 0.7855488256835598, ""doppler"": 0.0, ""angle"": 27.492482788553897, ""elevation"": 0.0}]",1784934041168.1887
7,"[{""range"": 1.3622727142950624, ""doppler"": 0.0, ""angle"": -40.581716942695216, ""elevation"": 0.0}, {""range"": 1.3564033737278112, ""doppler"": 0.0, ""angle"": -27.129173928725326, ""elevation"": 0.0}, {""range"": 1.4558733604681033, ""doppler"": 0.0, ""angle"": -7.722062186411774, ""elevation"": 0.0}, {""range"": 1.4201317782473786, ""doppler"": 0.0, ""angle"": -0.8873967217324882, ""elevation"": 0.0}, {""range"": 0.595597730057529, ""doppler"": 0.0, ""angle"": 5.0293477491954635, ""elevation"": 0.0}, {""range"": 0.5872629652258701, ""doppler"": 0.0, ""angle"": 10.988318553779626, ""elevation"": 0.0}, {""range"": 0.6772377523445863, ""doppler"": 0.0, ""angle"": 22.54306100005788, ""elevation"": 0.0}]",1784934041168.493
7,"[{""range"": 1.3631973255260377, ""doppler"": 0.0, ""angle"": -39.2455166467257, ""elevation"": 0.0}, {""range"": 1.4558679137912292, ""doppler"": 0.0, ""angle"": -10.4017786393832, ""elevation"": 0.0}, {""range"": 1.2781268421771435, ""doppler"": 0.0, ""angle"": -2.1006254604281644, ""elevation"": 0.0}, {""range"": 1.4175296533533905, ""doppler"": 0.0, ""angle"": -1.0769701865530288, ""elevation"": 0.0}, {""range"": 0.6139629230151448, ""doppler"": 0.0, ""angle"": 9.133118574731013, ""elevation"": 0.0}, {""range"": 0.6307698474609591, ""doppler"": 0.0, ""angle"": 5.873828534918581, ""elevation"": 0.0}, {""range"": 0.6506898533340486, ""doppler"": 0.0, ""angle"": 5.01338893107746, ""elevation"": 0.0}]",1784934041168.691
9,"[{""range"": 1.372570565048871, ""doppler"": 0.0, ""angle"": -39.64023369435126, ""elevation"": 0.0}, {""range"": 0.6248489124580071, ""doppler"": 0.0, ""angle"": -18.84975264910988, ""elevation"": 0.0}, {""range"": 0.6505417061457015, ""doppler"": 0.0, ""angle"": -6.597589703701569, ""elevation"": 0.0}, {""range"": 1.4480490188056143, ""doppler"": 0.0, ""angle"": -4.419325887334049, ""elevation"": 0.0}, {""range"": 0.6676784924342746, ""doppler"": 0.0, ""angle"": 1.8416734947472602, ""elevation"": 0.0}, {""range"": 1.2598804215073507, ""doppler"": 0.0, ""angle"": -2.106649503002164, ""elevation"": 0.0}, {""range"": 1.277958982092154, ""doppler"": 0.0, ""angle"": -1.8843138027159405, ""elevation"": 0.0}, {""range"": 1.4179196005723669, ""doppler"": 0.0, ""angle"": 0.6936721009548474, ""elevation"": 0.0}, {""range"": 0.6948380243444767, ""doppler"": 0.0, ""angle"": 9.091441694091657, ""elevation"": 0.0}]",1784934041168.9092
10,"[{""range"": 1.3745913295974097, ""doppler"": 0.0, ""angle"": -41.66201174726354, ""elevation"": 0.0}, {""range"": 1.452619304723294, ""doppler"": 0.0, ""angle"": -3.7760731355388306, ""elevation"": 0.0}, {""range"": 1.2817248352098014, ""doppler"": 0.0, ""angle"": -2.518718498259941, ""elevation"": 0.0}, {""range"": 1.3184431690558311, ""doppler"": 0.0, ""angle"": -3.024223298240217, ""elevation"": 0.0}, {""range"": 1.4130692274732681, ""doppler"": 0.0, ""angle"": 1.4284721283110695, ""elevation"": 0.0}, {""range"": 0.5978656662785726, ""doppler"": 0.0, ""angle"": 7.354572331893933, ""elevation"": 0.0}, {""range"": 0.6198036612894805, ""doppler"": 0.0, ""angle"": 9.364492286853675, ""elevation"": 0.0}, {""range"": 0.6352349853598197, ""doppler"": 0.0, ""angle"": 11.594606081404201, ""elevation"": 0.0}, {""range"": 0.651442747306958, ""doppler"": 0.0, ""angle"": 14.123974104962695, ""elevation"": 0.0}, {""range"": 0.6810766433345217, ""doppler"": 0.0, ""angle"": 17.021993356648803, ""elevation"": 0.0}]",1784934041169.1821
