ax,ay,az,gx,gy,gz,timestamp_ms
0.039,0.106,0.992,0.0,-0.46,0.49,1784837611105.174
0.04,0.106,0.992,-0.03,0.06,0.37,1784837611105.8628
0.039,0.106,0.997,-0.03,0.43,0.24,1784837611107.3433
0.039,0.107,0.998,0.31,0.34,0.15,1784837611108.133
0.037,0.107,0.997,0.43,0.0,0.21,1784837611108.6553
0.037,0.107,0.996,0.4,-0.06,0.18,1784837611109.185
0.038,0.107,0.995,0.61,-0.09,0.12,1784837611109.675
0.038,0.11,0.993,0.89,-0.03,0.18,1784837611110.208
0.038,0.111,0.991,1.01,0.31,0.27,1784837611110.756
0.037,0.109,0.993,0.89,0.52,0.4,1784837611111.268
0.037,0.111,0.992,0.79,0.06,0.37,1784837611111.704
0.042,0.112,0.992,0.43,-0.34,0.4,1784837611112.182
0.043,0.112,0.992,0.06,-0.46,0.34,1784837611112.7678
0.044,0.11,0.993,0.12,-0.67,0.43,1784837611113.2422
0.044,0.109,0.994,0.46,-0.7,0.4,1784837611113.696
0.044,0.107,0.994,0.58,-0.52,0.37,1784837611114.1592
0.04,0.109,0.997,0.58,-0.24,0.43,1784837611114.6199
0.04,0.109,0.997,0.82,-0.27,0.4,1784837611114.794
0.042,0.111,0.993,0.73,-0.15,0.27,1784837611114.985
0.04,0.111,0.996,0.55,0.12,0.27,1784837611115.144
0.038,0.11,0.995,0.52,0.34,0.24,1784837611115.324
0.039,0.111,0.993,0.49,0.27,0.15,1784837611115.498
0.039,0.11,0.991,0.43,0.18,0.18,1784837611115.6963
0.041,0.11,0.991,0.12,0.09,0.03,1784837611115.853
0.042,0.108,0.992,0.15,-0.15,0.03,1784837611116.011
0.041,0.111,0.99,0.15,-0.21,-0.06,1784837611116.168
0.043,0.109,0.993,0.34,-0.09,-0.18,1784837611116.326
0.041,0.111,0.994,0.27,-0.06,-0.31,1784837611116.485
0.038,0.11,0.995,0.09,-0.12,-0.34,1784837611116.648
0.038,0.109,0.995,-0.03,-0.21,-0.34,1784837611116.812
0.036,0.109,0.996,-0.34,-0.15,-0.31,1784837611116.9731
0.036,0.108,0.995,-0.18,-0.24,-0.34,1784837611117.26
0.039,0.11,0.994,0.12,-0.18,-0.21,1784837611117.718
0.038,0.11,0.994,0.12,-0.09,-0.21,1784837611118.2092
0.036,0.11,0.993,0.09,0.09,-0.4,1784837611118.693
0.037,0.11,0.991,0.03,0.12,-0.27,1784837611119.143
0.038,0.111,0.993,-0.06,0.12,-0.18,1784837611119.599
0.036,0.11,0.993,-0.15,0.09,-0.24,1784837611120.0571
0.035,0.11,0.992,-0.06,0.18,-0.21,1784837611120.512
0.036,0.111,0.992,0.0,0.0,-0.12,1784837611120.882
0.037,0.111,0.994,-0.03,-0.18,-0.06,1784837611121.2642
0.037,0.11,0.994,-0.4,-0.24,-0.12,1784837611121.6462
0.037,0.11,0.994,-0.55,-0.24,-0.18,1784837611122.025
0.039,0.11,0.996,-0.49,-0.27,-0.21,1784837611122.4019
0.04,0.111,0.996,-0.46,-0.15,-0.15,1784837611122.782
0.041,0.11,0.995,-0.34,-0.21,-0.18,1784837611123.162
0.039,0.109,0.994,-0.31,-0.03,-0.21,1784837611123.532
0.04,0.109,0.991,-0.24,-0.21,-0.24,1784837611123.9119
0.041,0.108,0.991,-0.46,-0.27,-0.43,1784837611124.3037
0.039,0.109,0.993,-0.55,-0.24,-0.4,1784837611124.679
0.04,0.11,0.995,-0.34,0.03,-0.43,1784837611125.057
0.04,0.11,0.996,-0.06,0.34,-0.49,1784837611125.453
0.038,0.109,0.997,0.12,0.43,-0.43,1784837611125.8318
0.037,0.109,0.998,0.09,0.18,-0.31,1784837611126.2139
0.036,0.108,0.996,0.06,-0.15,-0.21,1784837611126.542
0.036,0.107,0.993,-0.06,-0.46,-0.06,1784837611126.863
0.036,0.108,0.994,0.0,-0.58,0.0,1784837611127.179
0.036,0.108,0.995,0.15,-0.34,0.18,1784837611127.501
0.037,0.108,0.995,0.4,-0.12,0.24,1784837611127.8179
0.038,0.108,0.995,0.43,-0.06,0.27,1784837611128.1382
0.036,0.107,0.993,0.27,-0.21,0.4,1784837611128.4531
0.037,0.109,0.993,0.21,-0.37,0.34,1784837611128.789
0.037,0.109,0.993,0.03,-0.34,0.37,1784837611129.111
0.039,0.11,0.993,0.0,-0.15,0.34,1784837611129.4402
0.04,0.108,0.993,0.24,0.09,0.31,1784837611129.79
0.04,0.11,0.991,0.24,0.24,0.21,1784837611130.139
0.042,0.109,0.994,0.12,0.27,0.18,1784837611130.461
0.041,0.107,0.994,0.0,0.27,-0.03,1784837611130.774
0.039,0.108,0.994,-0.12,0.0,-0.06,1784837611131.1008
0.04,0.11,0.994,0.0,-0.09,0.03,1784837611131.431
0.04,0.108,0.995,0.09,-0.03,-0.06,1784837611131.747
0.038,0.108,0.992,0.09,0.0,0.03,1784837611132.071
0.038,0.11,0.993,-0.03,0.03,0.09,1784837611132.4019
0.039,0.11,0.994,0.0,-0.18,0.09,1784837611132.722
0.038,0.111,0.994,-0.24,-0.24,0.18,1784837611133.0361
0.038,0.111,0.994,-0.27,-0.34,0.15,1784837611133.357
0.037,0.11,0.994,-0.09,-0.27,0.12,1784837611133.6838
0.039,0.109,0.994,-0.03,-0.12,0.18,1784837611134.013
0.04,0.108,0.995,-0.03,-0.06,0.18,1784837611134.313
0.039,0.108,0.997,-0.03,-0.06,0.18,1784837611134.5962
0.038,0.107,0.996,0.09,0.06,0.09,1784837611134.877
0.039,0.109,0.997,0.24,-0.03,0.09,1784837611135.1572
0.04,0.107,0.997,0.31,-0.15,0.09,1784837611135.44
0.039,0.107,0.995,0.37,0.0,0.09,1784837611135.7231
0.038,0.108,0.994,0.34,0.21,0.0,1784837611136.0012
0.038,0.108,0.994,0.34,0.15,-0.06,1784837611136.3088
0.04,0.108,0.993,0.24,0.03,-0.06,1784837611136.5928
0.04,0.108,0.995,0.09,0.09,-0.03,1784837611136.878
0.04,0.11,0.995,0.09,0.0,-0.06,1784837611137.1528
0.039,0.109,0.995,0.21,-0.27,0.06,1784837611137.439
0.037,0.108,0.997,0.15,-0.27,0.03,1784837611137.7202
0.037,0.109,0.996,0.06,-0.27,0.09,1784837611137.992
0.038,0.11,0.994,0.09,-0.12,0.12,1784837611138.29
0.038,0.11,0.994,0.31,0.09,0.03,1784837611138.5757
0.036,0.11,0.996,0.24,0.24,0.12,1784837611138.8499
0.036,0.109,0.996,0.18,0.31,0.18,1784837611139.147
0.037,0.107,0.995,0.21,0.06,0.06,1784837611139.4297
0.035,0.109,0.993,0.12,-0.18,0.18,1784837611139.709
0.038,0.109,0.992,0.06,-0.12,0.21,1784837611139.981
0.039,0.107,0.991,-0.21,0.03,0.09,1784837611140.28
0.038,0.108,0.995,-0.09,0.06,0.06,1784837611140.565
0.039,0.109,0.996,0.4,0.03,0.12,1784837611140.838
0.039,0.109,0.996,0.49,0.06,0.03,1784837611141.116
0.039,0.11,0.995,0.27,-0.09,0.06,1784837611141.4038
0.038,0.112,0.996,0.0,-0.27,-0.06,1784837611141.681
0.037,0.111,0.996,-0.06,-0.46,-0.09,1784837611141.977
0.039,0.111,0.996,0.0,-0.52,0.0,1784837611142.2588
0.04,0.112,0.994,0.06,-0.52,-0.21,1784837611142.515
0.04,0.111,0.992,0.09,-0.52,-0.18,1784837611142.761
0.04,0.109,0.994,0.18,-0.58,-0.24,1784837611143.0159
0.039,0.109,0.994,0.12,-0.73,-0.34,1784837611143.2698
0.039,0.108,0.994,0.06,-1.01,-0.18,1784837611143.517
0.039,0.109,0.994,0.06,-1.1,-0.15,1784837611143.769
0.038,0.109,0.995,0.06,-0.73,-0.27,1784837611144.0378
0.037,0.107,0.997,0.18,-0.43,-0.34,1784837611144.2969
0.037,0.106,0.997,0.4,-0.37,-0.27,1784837611144.543
