distance_cm,timestamp_ms
62.0,1784933712600.132
61.0,1784933712660.376
58.0,1784933712699.8333
54.0,1784933712723.5178
56.0,1784933712739.189
55.0,1784933712760.243
54.0,1784933712779.1309
51.0,1784933712799.9612
47.0,1784933712823.805
51.0,1784933712839.722
48.0,1784933712860.769
49.0,1784933712874.1912
46.0,1784933712899.98
48.0,1784933712920.4539
47.0,1784933712944.214
51.0,1784933712959.45
46.0,1784933712980.0908
50.0,1784933713000.581
52.0,1784933713024.21
50.0,1784933713040.917
51.0,1784933713060.1653
54.0,1784933713092.406
52.0,1784933713099.4949
55.0,1784933713120.44
55.0,1784933713139.123
61.0,1784933713160.435
57.0,1784933713184.0908
61.0,1784933713200.154
58.0,1784933713223.9392
56.0,1784933713240.1072
69.0,1784933713263.9338
78.0,1784933713280.252
68.0,1784933713300.0222
69.0,1784933713323.879
64.0,1784933713340.301
66.0,1784933713353.775
62.0,1784933713383.658
50.0,1784933713460.3892
63.0,1784933713503.844
59.0,1784933713520.506
62.0,1784933713539.9302
61.0,1784933713564.0269
67.0,1784933713580.752
60.0,1784933713594.219
56.0,1784933713620.255
59.0,1784933713641.072
64.0,1784933713660.754
66.0,1784933713684.135
64.0,1784933713701.085
64.0,1784933713714.134
65.0,1784933713744.16
64.0,1784933713760.5332
71.0,1784933713779.9912
72.0,1784933713800.579
71.0,1784933713819.9492
66.0,1784933713840.3079
63.0,1784933713863.976
69.0,1784933713879.781
66.0,1784933713900.734
71.0,1784933713914.113
65.0,1784933713941.062
70.0,1784933713954.0889
67.0,1784933713980.918
67.0,1784933713993.968
70.0,1784933714020.1753
73.0,1784933714044.1147
77.0,1784933714060.106
83.0,1784933714084.023
95.0,1784933714100.123
93.0,1784933714124.255
76.0,1784933714140.789
76.0,1784933714153.847
78.0,1784933714183.664
81.0,1784933714200.1238
82.0,1784933714224.076
87.0,1784933714240.682
94.0,1784933714260.0498
91.0,1784933714284.037
83.0,1784933714300.269
121.0,1784933714324.1812
131.0,1784933714340.112
90.0,1784933714363.5159
94.0,1784933714389.791
97.0,1784933714399.872
109.0,1784933714423.8013
150.0,1784933714499.789
65.0,1784933714544.238
64.0,1784933714560.1558
64.0,1784933714579.071
62.0,1784933714601.082
64.0,1784933714620.4841
66.0,1784933714643.9639
60.0,1784933714660.328
76.0,1784933714740.125
86.0,1784933714780.364
88.0,1784933714793.781
86.0,1784933714820.95
80.0,1784933714833.9893
77.0,1784933714861.1882
73.0,1784933714874.27
64.0,1784933714903.783
61.0,1784933714919.992
55.0,1784933714943.89
55.0,1784933714960.135
50.0,1784933714984.123
54.0,1784933715000.558
53.0,1784933715019.946
53.0,1784933715040.821
55.0,1784933715061.044
54.0,1784933715080.82
53.0,1784933715100.1812
56.0,1784933715120.99
50.0,1784933715140.164
50.0,1784933715160.637
47.0,1784933715184.161
52.0,1784933715199.97
47.0,1784933715223.946
52.0,1784933715239.979
44.0,1784933715261.373
53.0,1784933715274.292
49.0,1784933715300.3618
52.0,1784933715313.7478
56.0,1784933715351.704
46.0,1784933715364.177
46.0,1784933715379.9949
51.0,1784933715400.6702
51.0,1784933715420.0042
49.0,1784933715499.957
47.0,1784933715540.0078
49.0,1784933715560.129
42.0,1784933715580.941
42.0,1784933715594.0093
36.0,1784933715619.858
35.0,1784933715640.333
35.0,1784933715660.9988
33.0,1784933715674.159
39.0,1784933715699.8909
42.0,1784933715779.99
41.0,1784933715824.305
44.0,1784933715839.738
45.0,1784933715860.112
44.0,1784933715880.883
45.0,1784933715899.71
48.0,1784933715919.744
46.0,1784933715940.255
42.0,1784933716020.635
42.0,1784933716059.9119
44.0,1784933716080.5828
46.0,1784933716104.1
41.0,1784933716119.4849
43.0,1784933716139.9539
48.0,1784933716160.665
45.0,1784933716184.2239
43.0,1784933716199.6619
49.0,1784933716220.17
46.0,1784933716240.8672
41.0,1784933716263.773
49.0,1784933716279.645
52.0,1784933716300.7258
48.0,1784933716324.1758
54.0,1784933716339.9702
47.0,1784933716360.977
52.0,1784933716379.9622
56.0,1784933716400.383
50.0,1784933716424.0662
44.0,1784933716439.5369
41.0,1784933716460.5652
42.0,1784933716480.6787
34.0,1784933716504.233
38.0,1784933716519.6511
40.0,1784933716540.259
39.0,1784933716561.6418
34.0,1784933716589.726
32.0,1784933716599.853
39.0,1784933716630.367
34.0,1784933716643.836
39.0,1784933716670.166
39.0,1784933716680.021
35.0,1784933716704.133
32.0,1784933716719.8699
33.0,1784933716753.804
35.0,1784933716779.858
36.0,1784933716800.5571
36.0,1784933716824.3079
40.0,1784933716839.6611
40.0,1784933716860.0588
36.0,1784933716880.6938
40.0,1784933716904.2517
37.0,1784933716919.734
35.0,1784933716939.861
36.0,1784933716960.8918
44.0,1784933716979.7969
38.0,1784933717060.114
35.0,1784933717100.961
39.0,1784933717114.067
41.0,1784933717140.047
43.0,1784933717160.871
44.0,1784933717179.892
46.0,1784933717200.0588
44.0,1784933717221.05
47.0,1784933717299.925
46.0,1784933717343.981
46.0,1784933717359.9622
49.0,1784933717380.917
52.0,1784933717394.0461
54.0,1784933717419.5708
50.0,1784933717440.604
50.0,1784933717464.1677
47.0,1784933717479.7827
51.0,1784933717500.293
48.0,1784933717520.9229
