num_points,points,timestamp_ms
8,"[{""range"": 1.36247939934043, ""doppler"": 0.0, ""angle"": -38.16187235090832, ""elevation"": 0.0}, {""range"": 1.341884791355579, ""doppler"": 0.0, ""angle"": -31.697035425804742, ""elevation"": 0.0}, {""range"": 0.4579559961513422, ""doppler"": 0.0, ""angle"": 6.9973719524813465, ""elevation"": 0.0}, {""range"": 0.47948832289904586, ""doppler"": 0.0, ""angle"": 10.333513467464527, ""elevation"": 0.0}, {""range"": 0.49819461884871036, ""doppler"": 0.0, ""angle"": 14.934066571436, ""elevation"": 0.0}, {""range"": 0.5464076643444092, ""doppler"": 0.0, ""angle"": 16.092202171052403, ""elevation"": 0.0}, {""range"": 0.5150224378365497, ""doppler"": 0.0, ""angle"": 18.27139082765425, ""elevation"": 0.0}, {""range"": 0.6890045235872609, ""doppler"": 0.0, ""angle"": 26.545101393931176, ""elevation"": 0.0}]",1784934303581.154
10,"[{""range"": 1.35973093901595, ""doppler"": 0.0, ""angle"": -38.89868637792683, ""elevation"": 0.0}, {""range"": 1.3352181116595068, ""doppler"": 0.0, ""angle"": -30.27024523845115, ""elevation"": 0.0}, {""range"": 1.4364763080265355, ""doppler"": 0.0, ""angle"": -6.224411030751985, ""elevation"": 0.0}, {""range"": 1.4550692719081801, ""doppler"": 0.0, ""angle"": -9.906825560338522, ""elevation"": 0.0}, {""range"": 0.45700874794490537, ""doppler"": 0.0, ""angle"": 8.301304373061006, ""elevation"": 0.0}, {""range"": 0.479756552825805, ""doppler"": 0.0, ""angle"": 9.525516056863916, ""elevation"": 0.0}, {""range"": 0.5989484771525324, ""doppler"": 0.0, ""angle"": 7.220491545778394, ""elevation"": 0.0}, {""range"": 0.5030384307622496, ""doppler"": 0.0, ""angle"": 13.799138397027665, ""elevation"": 0.0}, {""range"": 0.5236562326821373, ""doppler"": 0.0, ""angle"": 15.203640029117352, ""elevation"": 0.0}, {""range"": 0.5518020992783428, ""doppler"": 0.0, ""angle"": 12.901376068139934, ""elevation"": 0.0}]",1784934303581.698
10,"[{""range"": 1.3558999861416776, ""doppler"": 0.0, ""angle"": -39.321837128314534, ""elevation"": 0.0}, {""range"": 1.3379147982659905, ""doppler"": 0.0, ""angle"": -29.857909311422837, ""elevation"": 0.0}, {""range"": 1.442645467044584, ""doppler"": 0.0, ""angle"": -4.407420204652728, ""elevation"": 0.0}, {""range"": 1.4559300332496594, ""doppler"": 0.0, ""angle"": -10.33694599914488, ""elevation"": 0.0}, {""range"": 0.4557498906520085, ""doppler"": 0.0, ""angle"": 8.460736852320734, ""elevation"": 0.0}, {""range"": 0.47964283925401285, ""doppler"": 0.0, ""angle"": 9.701111767299823, ""elevation"": 0.0}, {""range"": 0.5044505890118612, ""doppler"": 0.0, ""angle"": 13.425426899749636, ""elevation"": 0.0}, {""range"": 0.5248835038932942, ""doppler"": 0.0, ""angle"": 15.025717680306975, ""elevation"": 0.0}, {""range"": 0.5494151175737718, ""doppler"": 0.0, ""angle"": 15.556052891431502, ""elevation"": 0.0}, {""range"": 0.5878215658326006, ""doppler"": 0.0, ""angle"": 13.905199785777898, ""elevation"": 0.0}]",1784934303582.128
9,"[{""range"": 1.355672226770412, ""doppler"": 0.0, ""angle"": -38.552404611519655, ""elevation"": 0.0}, {""range"": 1.3360442658784089, ""doppler"": 0.0, ""angle"": -27.854614444400035, ""elevation"": 0.0}, {""range"": 1.4390845562375498, ""doppler"": 0.0, ""angle"": -4.689738394190459, ""elevation"": 0.0}, {""range"": 1.4538034294519138, ""doppler"": 0.0, ""angle"": -9.700985659214123, ""elevation"": 0.0}, {""range"": 0.4522526450698217, ""doppler"": 0.0, ""angle"": 8.091657417286587, ""elevation"": 0.0}, {""range"": 0.4796602046470925, ""doppler"": 0.0, ""angle"": 12.487106045283296, ""elevation"": 0.0}, {""range"": 0.5027648783605433, ""doppler"": 0.0, ""angle"": 17.468295113502744, ""elevation"": 0.0}, {""range"": 0.5217607067944613, ""doppler"": 0.0, ""angle"": 18.813727584578945, ""elevation"": 0.0}, {""range"": 0.5428384930136317, ""doppler"": 0.0, ""angle"": 22.03622694014545, ""elevation"": 0.0}]",1784934303582.706
9,"[{""range"": 1.359351620277463, ""doppler"": 0.0, ""angle"": -38.323165876411124, ""elevation"": 0.0}, {""range"": 1.3365379908103798, ""doppler"": 0.0, ""angle"": -28.38226639327749, ""elevation"": 0.0}, {""range"": 1.440504678522419, ""doppler"": 0.0, ""angle"": -6.872714707212644, ""elevation"": 0.0}, {""range"": 1.4511059257133332, ""doppler"": 0.0, ""angle"": -10.472192863516474, ""elevation"": 0.0}, {""range"": 0.4518782023740135, ""doppler"": 0.0, ""angle"": 7.046274775506099, ""elevation"": 0.0}, {""range"": 0.48069525979325994, ""doppler"": 0.0, ""angle"": 10.871037079116082, ""elevation"": 0.0}, {""range"": 0.5022937205526709, ""doppler"": 0.0, ""angle"": 16.525366622156, ""elevation"": 0.0}, {""range"": 0.5184684663686869, ""doppler"": 0.0, ""angle"": 19.272327509964217, ""elevation"": 0.0}, {""range"": 0.5413527113269767, ""doppler"": 0.0, ""angle"": 22.549986754757207, ""elevation"": 0.0}]",1784934303583.126
7,"[{""range"": 1.3589652900638651, ""doppler"": 0.0, ""angle"": -37.83795550164937, ""elevation"": 0.0}, {""range"": 1.3389605192981113, ""doppler"": 0.0, ""angle"": -28.796714261756374, ""elevation"": 0.0}, {""range"": 0.45169928835180795, ""doppler"": 0.0, ""angle"": 7.918395701019952, ""elevation"": 0.0}, {""range"": 0.4812542100457034, ""doppler"": 0.0, ""angle"": 14.722975061750223, ""elevation"": 0.0}, {""range"": 0.5059212509325386, ""doppler"": 0.0, ""angle"": 18.185197928942106, ""elevation"": 0.0}, {""range"": 0.5205115144217743, ""doppler"": 0.0, ""angle"": 18.15485218644033, ""elevation"": 0.0}, {""range"": 0.5409207816263046, ""doppler"": 0.0, ""angle"": 20.63363366875012, ""elevation"": 0.0}]",1784934303583.5352
9,"[{""range"": 1.3592126933137425, ""doppler"": 0.0, ""angle"": -40.45413115138162, ""elevation"": 0.0}, {""range"": 1.3378159495951478, ""doppler"": 0.0, ""angle"": -31.82273480806504, ""elevation"": 0.0}, {""range"": 1.4316659344440716, ""doppler"": 0.0, ""angle"": -6.562258109488931, ""elevation"": 0.0}, {""range"": 1.454631166224237, ""doppler"": 0.0, ""angle"": -10.754645762402255, ""elevation"": 0.0}, {""range"": 0.44474792838567984, ""doppler"": 0.0, ""angle"": 7.8336407970128406, ""elevation"": 0.0}, {""range"": 0.47373221213738154, ""doppler"": 0.0, ""angle"": 13.134022306396323, ""elevation"": 0.0}, {""range"": 0.5006094334990187, ""doppler"": 0.0, ""angle"": 18.10488529289002, ""elevation"": 0.0}, {""range"": 0.5165812009623343, ""doppler"": 0.0, ""angle"": 19.093492000485615, ""elevation"": 0.0}, {""range"": 0.5539031417616337, ""doppler"": 0.0, ""angle"": 35.52692690466237, ""elevation"": 0.0}]",1784934303583.952
9,"[{""range"": 1.3577829035341198, ""doppler"": 0.0, ""angle"": -41.54581141112168, ""elevation"": 0.0}, {""range"": 1.3350904682279905, ""doppler"": 0.0, ""angle"": -32.65776532096531, ""elevation"": 0.0}, {""range"": 1.4304625234573152, ""doppler"": 0.0, ""angle"": -5.854552079571645, ""elevation"": 0.0}, {""range"": 1.4534467478962865, ""doppler"": 0.0, ""angle"": -9.660484483644204, ""elevation"": 0.0}, {""range"": 0.4502824595236873, ""doppler"": 0.0, ""angle"": 7.943471810590411, ""elevation"": 0.0}, {""range"": 0.5520830342418812, ""doppler"": 0.0, ""angle"": 6.098369661439367, ""elevation"": 0.0}, {""range"": 0.47892747861200324, ""doppler"": 0.0, ""angle"": 14.331981078097307, ""elevation"": 0.0}, {""range"": 0.5186044637284112, ""doppler"": 0.0, ""angle"": 13.926040983919911, ""elevation"": 0.0}, {""range"": 0.5052969198014703, ""doppler"": 0.0, ""angle"": 18.614478430804333, ""elevation"": 0.0}]",1784934303584.366
8,"[{""range"": 1.3439795313870215, ""doppler"": 0.0, ""angle"": -34.31378836464106, ""elevation"": 0.0}, {""range"": 1.3621970991397478, ""doppler"": 0.0, ""angle"": -41.47176844461149, ""elevation"": 0.0}, {""range"": 1.4523569031776806, ""doppler"": 0.0, ""angle"": -11.433059759470696, ""elevation"": 0.0}, {""range"": 0.43516008576202536, ""doppler"": 0.0, ""angle"": 8.316559369850514, ""elevation"": 0.0}, {""range"": 0.5590889817302075, ""doppler"": 0.0, ""angle"": 10.224533760083965, ""elevation"": 0.0}, {""range"": 0.6027635514581383, ""doppler"": 0.0, ""angle"": 5.566833919188916, ""elevation"": 0.0}, {""range"": 0.5246629982997061, ""doppler"": 0.0, ""angle"": 15.457213338810686, ""elevation"": 0.0}, {""range"": 0.5408939740775934, ""doppler"": 0.0, ""angle"": 11.228208777542811, ""elevation"": 0.0}]",1784934303584.768
9,"[{""range"": 1.3440485349925928, ""doppler"": 0.0, ""angle"": -34.38564246930318, ""elevation"": 0.0}, {""range"": 1.35939685198335, ""doppler"": 0.0, ""angle"": -41.395076909615895, ""elevation"": 0.0}, {""range"": 1.4561766840459573, ""doppler"": 0.0, ""angle"": -11.711464128378196, ""elevation"": 0.0}, {""range"": 1.4267536815123407, ""doppler"": 0.0, ""angle"": -6.6066375625041545, ""elevation"": 0.0}, {""range"": 0.496686080716897, ""doppler"": 0.0, ""angle"": 3.322854734204261, ""elevation"": 0.0}, {""range"": 0.4466960338369751, ""doppler"": 0.0, ""angle"": 8.447976492678745, ""elevation"": 0.0}, {""range"": 0.4607528524344119, ""doppler"": 0.0, ""angle"": 6.126558277538416, ""elevation"": 0.0}, {""range"": 0.527336723366893, ""doppler"": 0.0, ""angle"": 7.913042701954886, ""elevation"": 0.0}, {""range"": 0.5634672217996883, ""doppler"": 0.0, ""angle"": 26.9472342168215, ""elevation"": 0.0}]",1784934303585.1719
