distance_cm,timestamp_ms
123.0,1785099371014.169
116.0,1785099371014.7751
106.0,1785099371059.5999
87.0,1785099371138.915
86.0,1785099371178.5789
122.0,1785099371263.9517
115.0,1785099371300.323
106.0,1785099371379.503
107.0,1785099371413.482
111.0,1785099371499.839
109.0,1785099371539.032
129.0,1785099371623.2341
131.0,1785099371663.1382
133.0,1785099371738.8743
66.0,1785099371779.348
52.0,1785099371860.2021
64.0,1785099371903.246
52.0,1785099371979.0398
58.0,1785099372019.364
53.0,1785099372093.568
41.0,1785099372139.6602
50.0,1785099372223.064
50.0,1785099372263.297
50.0,1785099372333.466
51.0,1785099372379.5159
50.0,1785099372460.156
46.0,1785099372500.0261
44.0,1785099372580.218
46.0,1785099372623.159
46.0,1785099372703.9841
34.0,1785099372743.501
39.0,1785099372819.4702
37.0,1785099372883.2068
40.0,1785099372899.489
34.0,1785099372909.952
36.0,1785099372923.345
34.0,1785099372939.5662
39.0,1785099372949.933
38.0,1785099372963.39
41.0,1785099372979.594
35.0,1785099373003.731
39.0,1785099373009.3801
40.0,1785099373059.7817
43.0,1785099373129.431
39.0,1785099373239.9868
36.0,1785099373269.831
34.0,1785099373293.791
37.0,1785099373309.872
36.0,1785099373323.052
35.0,1785099373339.562
35.0,1785099373363.734
39.0,1785099373380.045
36.0,1785099373393.307
37.0,1785099373398.7688
38.0,1785099373420.406
34.0,1785099373433.2778
33.0,1785099373448.993
36.0,1785099373459.599
33.0,1785099373483.4968
35.0,1785099373499.613
33.0,1785099373510.023
36.0,1785099373523.519
34.0,1785099373539.253
38.0,1785099373549.6462
32.0,1785099373573.386
36.0,1785099373579.0652
33.0,1785099373601.9368
29.0,1785099373609.497
31.0,1785099373634.55
32.0,1785099373659.816
37.0,1785099373670.378
38.0,1785099373683.166
37.0,1785099373698.986
33.0,1785099373720.131
31.0,1785099373730.102
35.0,1785099373743.489
31.0,1785099373759.0762
34.0,1785099373789.9158
33.0,1785099373802.914
33.0,1785099373818.573
33.0,1785099373839.358
39.0,1785099373849.684
34.0,1785099373862.934
35.0,1785099373878.6309
35.0,1785099373899.4507
36.0,1785099373912.706
35.0,1785099373928.385
32.0,1785099373938.845
37.0,1785099373959.5771
32.0,1785099373972.863
33.0,1785099373988.528
33.0,1785099373998.894
34.0,1785099374019.7708
33.0,1785099374032.9568
36.0,1785099374048.6099
31.0,1785099374059.0332
32.0,1785099374079.9912
31.0,1785099374093.239
35.0,1785099374109.203
30.0,1785099374119.715
40.0,1785099374143.357
38.0,1785099374158.925
37.0,1785099374169.3398
33.0,1785099374179.7222
34.0,1785099374203.7803
34.0,1785099374209.3171
32.0,1785099374229.8298
32.0,1785099374243.181
31.0,1785099374259.1282
35.0,1785099374269.617
32.0,1785099374293.528
33.0,1785099374319.607
30.0,1785099374329.7122
35.0,1785099374353.96
34.0,1785099374379.6238
38.0,1785099374389.8308
32.0,1785099374403.3079
36.0,1785099374418.9429
39.0,1785099374439.403
36.0,1785099374450.0151
32.0,1785099374463.3337
31.0,1785099374478.991
29.0,1785099374499.613
31.0,1785099374509.9749
32.0,1785099374523.4712
34.0,1785099374539.0261
36.0,1785099374559.5388
37.0,1785099374570.799
31.0,1785099374619.9622
30.0,1785099374690.397
33.0,1785099374800.201
39.0,1785099374839.3691
35.0,1785099374924.074
41.0,1785099374960.2803
36.0,1785099375039.442
31.0,1785099375079.191
39.0,1785099375162.0989
31.0,1785099375199.5242
37.0,1785099375278.982
34.0,1785099375319.0898
36.0,1785099375399.575
36.0,1785099375434.098
31.0,1785099375519.413
31.0,1785099375558.889
34.0,1785099375639.796
36.0,1785099375679.026
37.0,1785099375759.948
34.0,1785099375799.156
37.0,1785099375880.045
31.0,1785099375919.481
