num_points,points,timestamp_ms
7,"[{""range"": 1.1829371055630846, ""doppler"": 0.0, ""angle"": -11.8279940943889, ""elevation"": 0.0}, {""range"": 0.7859781281056261, ""doppler"": 0.0, ""angle"": 7.490416089833718, ""elevation"": 0.0}, {""range"": 0.8072481739028247, ""doppler"": 0.0, ""angle"": 10.697619276904168, ""elevation"": 0.0}, {""range"": 0.8225760699879264, ""doppler"": 0.0, ""angle"": 14.631353805518417, ""elevation"": 0.0}, {""range"": 0.8450573623000496, ""doppler"": 0.0, ""angle"": 16.080287619161464, ""elevation"": 0.0}, {""range"": 1.880098464579167, ""doppler"": 0.0, ""angle"": 50.99892151316169, ""elevation"": 0.0}, {""range"": 1.8955852728702933, ""doppler"": 0.0, ""angle"": 52.31178585919121, ""elevation"": 0.0}]",1785099448926.552
8,"[{""range"": 1.1630544628113075, ""doppler"": 0.0, ""angle"": -9.066965446612182, ""elevation"": 0.0}, {""range"": 1.1803836117966182, ""doppler"": 0.0, ""angle"": -7.547037420233838, ""elevation"": 0.0}, {""range"": 0.7911844750346341, ""doppler"": 0.0, ""angle"": 4.329183729105372, ""elevation"": 0.0}, {""range"": 0.8098603899621658, ""doppler"": 0.0, ""angle"": 6.822174083815176, ""elevation"": 0.0}, {""range"": 0.8107942184206028, ""doppler"": 0.0, ""angle"": 9.508024208749191, ""elevation"": 0.0}, {""range"": 0.8331068813859686, ""doppler"": 0.0, ""angle"": 17.68048651111336, ""elevation"": 0.0}, {""range"": 1.880920868698849, ""doppler"": 0.0, ""angle"": 50.229996851010455, ""elevation"": 0.0}, {""range"": 1.8912019385437813, ""doppler"": 0.0, ""angle"": 50.27072705335736, ""elevation"": 0.0}]",1785099448926.896
9,"[{""range"": 1.1585110275253832, ""doppler"": 0.0, ""angle"": -10.898887619079144, ""elevation"": 0.0}, {""range"": 1.1766598199915035, ""doppler"": 0.0, ""angle"": -10.790814675941355, ""elevation"": 0.0}, {""range"": 0.7879508602478262, ""doppler"": 0.0, ""angle"": 3.122130462115708, ""elevation"": 0.0}, {""range"": 0.8061205254606499, ""doppler"": 0.0, ""angle"": 3.446316916939573, ""elevation"": 0.0}, {""range"": 0.8115775108369677, ""doppler"": 0.0, ""angle"": 4.448084066855236, ""elevation"": 0.0}, {""range"": 0.8397190696277619, ""doppler"": 0.0, ""angle"": 7.4882176931769555, ""elevation"": 0.0}, {""range"": 2.0178664131407356, ""doppler"": 0.0, ""angle"": 42.13024408142364, ""elevation"": 0.0}, {""range"": 1.8773998901631037, ""doppler"": 0.0, ""angle"": 48.05375593468058, ""elevation"": 0.0}, {""range"": 1.8979690716698563, ""doppler"": 0.0, ""angle"": 43.90064236122438, ""elevation"": 0.0}]",1785099448927.188
8,"[{""range"": 0.8688132051235663, ""doppler"": 0.0, ""angle"": -20.366960034297872, ""elevation"": 0.0}, {""range"": 1.155223890299829, ""doppler"": 0.0, ""angle"": -12.097854146171954, ""elevation"": 0.0}, {""range"": 0.7849033522650981, ""doppler"": 0.0, ""angle"": 4.324622930456543, ""elevation"": 0.0}, {""range"": 0.8055183708973787, ""doppler"": 0.0, ""angle"": 10.242277887001622, ""elevation"": 0.0}, {""range"": 0.8179665518707593, ""doppler"": 0.0, ""angle"": 15.780229256360672, ""elevation"": 0.0}, {""range"": 2.0176451876912913, ""doppler"": 0.0, ""angle"": 40.06043114988733, ""elevation"": 0.0}, {""range"": 1.8794860441831618, ""doppler"": 0.0, ""angle"": 49.86639389615643, ""elevation"": 0.0}, {""range"": 1.8997863259842984, ""doppler"": 0.0, ""angle"": 49.90994787447626, ""elevation"": 0.0}]",1785099448927.4912
5,"[{""range"": 0.7987720722302027, ""doppler"": 0.0, ""angle"": -5.008630517211383, ""elevation"": 0.0}, {""range"": 0.7830269534335592, ""doppler"": 0.0, ""angle"": 0.07850524365074799, ""elevation"": 0.0}, {""range"": 0.824055824462044, ""doppler"": 0.0, ""angle"": 21.526672592050698, ""elevation"": 0.0}, {""range"": 0.8363808985862264, ""doppler"": 0.0, ""angle"": 24.47740950216499, ""elevation"": 0.0}, {""range"": 2.0245663467269672, ""doppler"": 0.0, ""angle"": 43.71886116419106, ""elevation"": 0.0}]",1785099448927.7498
8,"[{""range"": 0.7876602798166153, ""doppler"": 0.0, ""angle"": -13.455765370443958, ""elevation"": 0.0}, {""range"": 0.8054920531998587, ""doppler"": 0.0, ""angle"": -14.659401507013063, ""elevation"": 0.0}, {""range"": 0.8062707806765993, ""doppler"": 0.0, ""angle"": -13.897557811280096, ""elevation"": 0.0}, {""range"": 1.1832512029187712, ""doppler"": 0.0, ""angle"": -11.984089228792529, ""elevation"": 0.0}, {""range"": 0.8500631823020611, ""doppler"": 0.0, ""angle"": 24.985584709958278, ""elevation"": 0.0}, {""range"": 2.021577792961111, ""doppler"": 0.0, ""angle"": 42.329257044819, ""elevation"": 0.0}, {""range"": 1.8756349234915135, ""doppler"": 0.0, ""angle"": 47.11709365755289, ""elevation"": 0.0}, {""range"": 1.8925877062960679, ""doppler"": 0.0, ""angle"": 47.21686837238472, ""elevation"": 0.0}]",1785099448928.0242
7,"[{""range"": 0.8238336571694668, ""doppler"": 0.0, ""angle"": 14.12069707208077, ""elevation"": 0.0}, {""range"": 0.8241207558507221, ""doppler"": 0.0, ""angle"": 11.946282257866837, ""elevation"": 0.0}, {""range"": 0.8359274502619505, ""doppler"": 0.0, ""angle"": 21.114066088946494, ""elevation"": 0.0}, {""range"": 2.0258928506671388, ""doppler"": 0.0, ""angle"": 39.89751673068458, ""elevation"": 0.0}, {""range"": 2.036548511470082, ""doppler"": 0.0, ""angle"": 38.1860469731952, ""elevation"": 0.0}, {""range"": 1.8801862855458797, ""doppler"": 0.0, ""angle"": 48.64747757140958, ""elevation"": 0.0}, {""range"": 1.8978033355015116, ""doppler"": 0.0, ""angle"": 50.78542101911711, ""elevation"": 0.0}]",1785099448928.3
4,"[{""range"": 1.1845176649191824, ""doppler"": 0.0, ""angle"": -12.865606044408418, ""elevation"": 0.0}, {""range"": 0.8242019177424027, ""doppler"": 0.0, ""angle"": 5.103270725325281, ""elevation"": 0.0}, {""range"": 0.8326453139450017, ""doppler"": 0.0, ""angle"": 6.5603186399124755, ""elevation"": 0.0}, {""range"": 0.8504940562905056, ""doppler"": 0.0, ""angle"": 5.913165237740838, ""elevation"": 0.0}]",1785099448928.57
7,"[{""range"": 1.184195357702864, ""doppler"": 0.0, ""angle"": -15.358315948218392, ""elevation"": 0.0}, {""range"": 0.8240179535397938, ""doppler"": 0.0, ""angle"": 1.3304854401377335, ""elevation"": 0.0}, {""range"": 0.8275216197057366, ""doppler"": 0.0, ""angle"": 2.0060806705917815, ""elevation"": 0.0}, {""range"": 1.8405518388952633, ""doppler"": 0.0, ""angle"": 0.26718910723257444, ""elevation"": 0.0}, {""range"": 0.8426889859380898, ""doppler"": 0.0, ""angle"": 5.2351555418374645, ""elevation"": 0.0}, {""range"": 1.883064480084917, ""doppler"": 0.0, ""angle"": 48.630330155429704, ""elevation"": 0.0}, {""range"": 1.9044091411719009, ""doppler"": 0.0, ""angle"": 47.69808415678774, ""elevation"": 0.0}]",1785099448928.832
7,"[{""range"": 1.1856036469206142, ""doppler"": 0.0, ""angle"": -11.025218449846621, ""elevation"": 0.0}, {""range"": 0.7919766854411107, ""doppler"": 0.0, ""angle"": 0.28460076367641907, ""elevation"": 0.0}, {""range"": 0.8224758736678263, ""doppler"": 0.0, ""angle"": 8.337975688251102, ""elevation"": 0.0}, {""range"": 0.8352343746510543, ""doppler"": 0.0, ""angle"": 8.718184443833993, ""elevation"": 0.0}, {""range"": 0.8491855855972339, ""doppler"": 0.0, ""angle"": 7.440770706502375, ""elevation"": 0.0}, {""range"": 1.8775009592573628, ""doppler"": 0.0, ""angle"": 45.62510425646372, ""elevation"": 0.0}, {""range"": 1.8985240203123184, ""doppler"": 0.0, ""angle"": 45.70976887240251, ""elevation"": 0.0}]",1785099448929.1038
