ax,ay,az,gx,gy,gz,timestamp_ms
0.76,-0.595,-0.437,195.81,-2.38,54.05,1785099670386.945
0.703,-0.478,-0.472,201.57,-7.9,74.59,1785099670436.257
0.599,-0.404,-0.497,189.95,-12.15,92.72,1785099670436.58
0.513,-0.393,-0.464,167.15,-14.1,107.18,1785099670436.842
0.468,-0.475,-0.393,145.21,-14.5,117.59,1785099670437.113
0.46,-0.602,-0.305,130.99,-14.59,125.92,1785099670437.376
0.509,-0.752,-0.223,131.35,-16.27,135.17,1785099670437.642
0.6,-0.881,-0.214,145.21,-20.48,147.22,1785099670437.897
0.683,-0.936,-0.264,164.8,-23.71,162.72,1785099670438.1519
0.707,-0.92,-0.338,179.72,-27.22,181.77,1785099670438.413
0.674,-0.846,-0.422,177.68,-34.33,201.39,1785099670438.674
0.614,-0.811,-0.477,155.16,-42.6,217.02,1785099670438.931
0.551,-0.849,-0.481,118.81,-49.29,225.81,1785099670439.1802
0.482,-0.936,-0.459,80.72,-56.4,229.71,1785099670439.4329
0.462,-1.057,-0.468,51.64,-64.61,231.82,1785099670439.6802
0.473,-1.124,-0.507,35.68,-70.5,231.57,1785099670439.926
0.471,-1.145,-0.541,33.6,-73.92,234.29,1785099670440.179
0.459,-1.182,-0.556,43.12,-75.53,241.28,1785099670440.4329
0.427,-1.263,-0.576,57.53,-75.72,245.74,1785099670440.6763
0.348,-1.3,-0.589,65.25,-76.17,246.01,1785099670440.928
0.258,-1.218,-0.58,62.2,-77.12,247.72,1785099670441.17
0.216,-1.189,-0.586,56.86,-77.06,251.84,1785099670441.4412
0.172,-1.266,-0.625,46.57,-75.2,250.92,1785099670441.6692
0.081,-1.314,-0.665,23.83,-72.33,245.89,1785099670441.908
-0.018,-1.256,-0.639,-6.01,-68.88,245.98,1785099670442.1438
-0.013,-1.303,-0.549,-23.93,-65.4,255.53,1785099670442.38
0.128,-1.416,-0.493,-23.29,-64.09,251.66,1785099670442.611
0.037,-1.326,-0.417,-17.98,-51.33,220.44,1785099670442.85
-0.029,-1.299,-0.382,-9.34,-44.31,212.56,1785099670443.0962
-0.066,-1.262,-0.376,-0.21,-52.25,216.59,1785099670443.3223
-0.052,-1.164,-0.376,8.39,-59.57,224.68,1785099670443.5542
-0.05,-1.07,-0.423,19.32,-58.87,231.6,1785099670443.7927
-0.123,-0.987,-0.519,20.75,-59.05,231.97,1785099670444.0452
-0.194,-0.95,-0.578,5.77,-60.49,232.89,1785099670444.277
-0.155,-1.062,-0.598,-12.42,-61.28,229.77,1785099670444.5332
-0.226,-1.232,-0.588,-31.34,-54.41,203.47,1785099670444.7842
-0.382,-1.419,-0.54,-50.97,-49.75,182.53,1785099670445.016
-0.402,-1.498,-0.46,-55.45,-49.04,175.51,1785099670445.25
-0.399,-1.422,-0.385,-42.42,-50.97,172.28,1785099670445.494
-0.283,-1.243,-0.329,-8.21,-43.92,172.98,1785099670445.73
-0.334,-1.053,-0.368,27.22,-40.44,169.99,1785099670445.9573
-0.278,-0.996,-0.433,42.94,-42.33,167.12,1785099670446.2058
-0.315,-1.171,-0.467,43.58,-33.42,147.83,1785099670446.4363
-0.47,-1.119,-0.426,57.83,-23.77,125.77,1785099670446.665
-0.473,-1.028,-0.509,71.08,-31.43,131.29,1785099670446.887
-0.448,-1.02,-0.536,52.8,-25.21,132.76,1785099670447.103
-0.518,-0.664,-0.421,16.45,-26.15,132.48,1785099670447.316
-0.448,-0.763,-0.556,-25.39,-29.76,138.98,1785099670447.5369
-0.596,-0.734,-0.427,-78.8,-17.85,123.57,1785099670447.7507
-0.67,-0.833,-0.438,-112.34,-22.61,124.7,1785099670447.968
-0.696,-0.869,-0.482,-140.29,-27.92,120.24,1785099670448.191
-0.773,-0.804,-0.455,-167.55,-28.53,113.77,1785099670448.405
-0.82,-0.81,-0.454,-183.87,-23.87,109.2,1785099670448.621
-0.877,-0.804,-0.417,-196.48,-23.22,105.2,1785099670448.8372
-0.972,-0.712,-0.332,-201.24,-26.4,101.81,1785099670449.055
-0.913,-0.646,-0.308,-194.59,-29.88,110.66,1785099670449.265
-0.871,-0.534,-0.279,-184.76,-31.04,110.39,1785099670449.485
-0.911,-0.498,-0.275,-170.54,-26.89,105.72,1785099670449.707
-0.957,-0.522,-0.304,-156.93,-32.07,103.67,1785099670449.9268
-1.0,-0.541,-0.307,-143.59,-40.16,100.31,1785099670450.133
-0.989,-0.587,-0.311,-120.21,-39.61,99.58,1785099670450.349
-1.006,-0.602,-0.33,-90.37,-37.51,99.06,1785099670450.5652
-1.015,-0.605,-0.344,-58.81,-38.73,100.71,1785099670450.774
-0.995,-0.6,-0.345,-27.04,-39.31,103.58,1785099670451.009
-0.963,-0.569,-0.354,3.88,-36.38,104.98,1785099670451.225
