ax,ay,az,gx,gy,gz,timestamp_ms
-0.964,-0.449,-0.991,-48.13,124.82,-77.43,1785110416150.271
-1.006,-0.475,-0.963,-39.06,129.34,-79.71,1785110416150.757
-1.04,-0.463,-0.94,-26.58,130.5,-81.09,1785110416151.192
-1.051,-0.447,-0.945,-14.68,130.59,-80.42,1785110416151.626
-1.038,-0.43,-0.973,-6.2,130.77,-78.19,1785110416152.056
-1.015,-0.405,-1.008,-2.2,131.96,-76.6,1785110416152.478
-1.0,-0.395,-1.023,-3.11,134.46,-75.75,1785110416152.91
-1.002,-0.39,-1.018,-9.09,138.13,-74.89,1785110416153.3281
-1.003,-0.393,-0.976,-16.94,141.7,-73.4,1785110416153.744
-0.991,-0.391,-0.911,-23.29,144.2,-71.05,1785110416154.154
-0.963,-0.384,-0.863,-25.15,145.15,-68.33,1785110416154.5652
-0.935,-0.393,-0.839,-22.1,144.69,-66.32,1785110416154.993
-0.912,-0.413,-0.842,-16.48,144.17,-66.16,1785110416155.4119
-0.903,-0.427,-0.844,-10.5,144.38,-67.35,1785110416155.833
-0.896,-0.433,-0.832,-4.52,144.63,-68.42,1785110416156.241
-0.873,-0.444,-0.834,1.65,143.96,-69.43,1785110416156.648
-0.843,-0.448,-0.834,5.49,143.01,-70.71,1785110416157.076
-0.82,-0.441,-0.809,6.26,141.82,-72.05,1785110416157.423
-0.787,-0.434,-0.813,7.66,139.96,-73.0,1785110416157.773
-0.763,-0.413,-0.83,8.97,139.84,-74.43,1785110416158.13
-0.763,-0.413,-0.83,6.68,141.18,-77.21,1785110416158.481
-0.755,-0.382,-0.86,-1.16,144.38,-80.14,1785110416158.835
-0.736,-0.353,-0.861,-9.49,146.28,-81.55,1785110416159.19
-0.695,-0.361,-0.835,-12.48,146.24,-81.42,1785110416159.554
-0.658,-0.384,-0.803,-11.35,145.05,-80.6,1785110416159.915
-0.626,-0.388,-0.784,-11.35,145.05,-80.6,1785110416160.276
-0.598,-0.378,-0.786,-9.89,143.62,-79.2,1785110416160.63
-0.573,-0.356,-0.795,-9.89,142.49,-77.36,1785110416160.985
-0.535,-0.34,-0.791,-11.14,141.33,-75.14,1785110416161.3372
-0.497,-0.328,-0.78,-12.51,139.87,-72.97,1785110416161.695
-0.471,-0.315,-0.775,-13.79,137.88,-70.71,1785110416162.0532
-0.438,-0.298,-0.775,-15.56,136.27,-68.3,1785110416162.414
-0.412,-0.285,-0.751,-18.4,135.14,-65.89,1785110416162.773
-0.381,-0.263,-0.712,-21.09,132.82,-62.62,1785110416163.1318
-0.342,-0.242,-0.693,-23.22,129.95,-59.3,1785110416163.4922
-0.31,-0.237,-0.667,-24.9,127.26,-56.25,1785110416163.861
-0.292,-0.242,-0.633,-25.12,123.97,-54.17,1785110416164.22
-0.267,-0.249,-0.609,-22.77,120.52,-51.7,1785110416164.566
-0.235,-0.255,-0.604,-17.49,116.46,-49.44,1785110416164.8892
-0.217,-0.254,-0.604,-10.96,111.58,-46.94,1785110416165.202
-0.184,-0.26,-0.614,-3.94,106.78,-44.34,1785110416165.523
-0.141,-0.254,-0.6,2.69,102.21,-42.36,1785110416165.871
-0.09,-0.246,-0.604,9.0,97.69,-41.35,1785110416166.186
-0.054,-0.249,-0.618,13.15,94.64,-41.41,1785110416166.496
-0.002,-0.268,-0.641,14.71,88.87,-40.19,1785110416166.817
0.041,-0.273,-0.688,15.08,83.93,-40.31,1785110416167.141
0.039,-0.265,-0.722,11.69,81.88,-41.08,1785110416167.484
0.052,-0.276,-0.739,3.97,79.81,-41.2,1785110416167.791
0.095,-0.292,-0.737,-5.16,77.64,-40.96,1785110416168.181
0.115,-0.296,-0.703,-12.15,76.72,-40.74,1785110416168.522
0.119,-0.298,-0.667,-15.87,76.08,-40.19,1785110416168.827
0.13,-0.287,-0.618,-16.97,75.05,-39.34,1785110416169.139
0.15,-0.265,-0.573,-15.17,73.0,-37.97,1785110416169.46
0.166,-0.244,-0.544,-11.29,70.44,-36.56,1785110416169.7732
0.176,-0.225,-0.511,-6.9,67.84,-35.62,1785110416170.076
0.191,-0.217,-0.487,-2.08,64.61,-35.71,1785110416170.381
0.19,-0.194,-0.468,2.47,60.67,-36.47,1785110416170.701
0.198,-0.16,-0.456,6.9,56.22,-36.23,1785110416171.0051
0.225,-0.145,-0.456,11.11,52.61,-35.4,1785110416171.304
0.22,-0.131,-0.442,13.95,49.78,-35.98,1785110416171.6108
0.21,-0.124,-0.418,15.5,46.33,-36.53,1785110416171.921
0.208,-0.119,-0.382,16.08,42.27,-36.84,1785110416172.226
0.207,-0.107,-0.341,17.24,37.63,-36.96,1785110416172.521
0.201,-0.085,-0.304,19.93,32.35,-35.71,1785110416172.8079
0.198,-0.064,-0.277,24.2,26.52,-32.5,1785110416173.089
0.202,-0.062,-0.27,30.03,20.36,-28.6,1785110416173.368
0.177,-0.065,-0.254,36.29,14.71,-25.82,1785110416173.6519
0.142,-0.062,-0.215,42.36,9.43,-22.92,1785110416173.933
0.124,-0.072,-0.206,49.59,2.78,-20.33,1785110416174.2148
0.166,-0.047,-0.213,55.21,-4.85,-17.73,1785110416174.491
0.179,-0.047,-0.25,58.32,-14.4,-14.62,1785110416174.774
0.161,-0.053,-0.271,55.82,-20.84,-10.99,1785110416175.0579
0.166,-0.083,-0.289,51.36,-27.56,-8.12,1785110416175.3398
0.162,-0.112,-0.324,44.74,-35.52,-6.84,1785110416175.616
0.149,-0.12,-0.364,34.3,-41.99,-4.7,1785110416175.8982
0.127,-0.128,-0.404,24.72,-46.72,-1.59,1785110416176.175
0.105,-0.125,-0.432,15.56,-49.99,0.46,1785110416176.4539
0.082,-0.121,-0.425,7.57,-52.19,1.74,1785110416176.732
0.037,-0.116,-0.378,2.66,-54.84,2.59,1785110416177.0098
0.009,-0.135,-0.368,2.26,-59.51,3.57,1785110416177.2852
0.005,-0.169,-0.374,5.98,-64.03,3.51,1785110416177.554
-0.012,-0.196,-0.37,14.68,-67.81,3.45,1785110416177.836
-0.022,-0.226,-0.385,28.99,-72.79,4.27,1785110416178.118
-0.045,-0.246,-0.408,47.12,-78.28,5.98,1785110416178.3838
-0.072,-0.238,-0.439,65.37,-84.51,9.92,1785110416178.648
-0.078,-0.232,-0.495,80.42,-90.7,15.14,1785110416178.915
-0.081,-0.246,-0.554,89.08,-95.65,20.05,1785110416179.183
-0.088,-0.275,-0.615,90.82,-99.64,24.51,1785110416179.445
-0.097,-0.309,-0.67,89.36,-100.77,28.96,1785110416179.717
-0.128,-0.343,-0.698,89.6,-99.31,33.42,1785110416179.984
-0.173,-0.357,-0.689,90.4,-97.72,38.97,1785110416180.2502
-0.193,-0.375,-0.665,92.14,-97.26,45.5,1785110416180.51
-0.167,-0.412,-0.641,96.47,-98.64,52.86,1785110416180.7869
-0.155,-0.453,-0.63,102.42,-102.15,60.03,1785110416181.062
-0.191,-0.482,-0.631,106.6,-106.51,68.51,1785110416181.3308
-0.228,-0.513,-0.642,108.31,-110.54,77.94,1785110416181.601
-0.28,-0.547,-0.677,108.28,-113.86,86.34,1785110416181.8728
-0.359,-0.576,-0.721,104.28,-115.24,93.6,1785110416182.146
-0.421,-0.622,-0.741,98.15,-114.87,100.56,1785110416182.414
-0.436,-0.671,-0.766,91.74,-113.38,105.87,1785110416182.689
-0.417,-0.704,-0.752,84.63,-112.03,111.27,1785110416182.961
-0.346,-0.772,-0.766,82.06,-115.12,117.89,1785110416183.231
-0.366,-0.767,-0.811,77.61,-114.84,117.86,1785110416183.496
-0.409,-0.781,-0.861,66.07,-114.11,120.43,1785110416183.768
-0.459,-0.813,-0.9,49.65,-114.81,122.99,1785110416184.042
-0.508,-0.866,-0.903,37.48,-114.51,125.03,1785110416184.311
-0.556,-0.923,-0.881,32.5,-112.7,125.49,1785110416184.562
-0.583,-0.968,-0.829,35.25,-110.6,125.8,1785110416184.819
-0.601,-0.984,-0.797,47.03,-109.23,127.51,1785110416185.0737
-0.596,-0.955,-0.746,60.49,-106.94,130.31,1785110416185.3262
-0.545,-0.949,-0.726,71.63,-106.97,132.54,1785110416185.576
-0.515,-0.935,-0.757,75.69,-108.92,133.64,1785110416185.832
-0.53,-0.939,-0.845,72.88,-109.62,134.31,1785110416186.087
-0.574,-0.956,-0.91,61.56,-108.13,132.27,1785110416186.338
-0.589,-1.022,-0.96,46.91,-107.36,130.59,1785110416186.5908
-0.626,-1.057,-0.975,33.02,-104.65,127.17,1785110416186.8438
-0.693,-1.054,-0.958,22.31,-99.67,123.6,1785110416187.0999
-0.759,-1.029,-0.916,13.7,-94.58,119.48,1785110416187.348
-0.786,-0.999,-0.876,9.06,-91.19,115.3,1785110416187.598
-0.792,-0.955,-0.834,9.28,-88.17,111.58,1785110416187.894
-0.778,-0.92,-0.827,12.85,-85.3,108.28,1785110416188.185
-0.76,-0.91,-0.822,17.73,-82.49,104.13,1785110416188.4631
-0.752,-0.915,-0.803,21.55,-79.9,99.28,1785110416188.7202
-0.757,-0.922,-0.786,24.9,-76.45,95.1,1785110416188.972
-0.757,-0.917,-0.766,28.32,-72.66,92.01,1785110416189.223
-0.757,-0.895,-0.757,31.8,-69.03,89.6,1785110416189.4688
-0.767,-0.859,-0.747,33.81,-65.74,87.95,1785110416189.719
-0.756,-0.817,-0.725,33.69,-63.11,86.73,1785110416189.97
-0.729,-0.781,-0.706,32.01,-60.0,85.42,1785110416190.2158
-0.721,-0.753,-0.689,27.5,-56.73,83.25,1785110416190.466
-0.726,-0.729,-0.679,19.32,-53.99,80.78,1785110416190.719
-0.723,-0.746,-0.703,9.74,-49.56,78.77,1785110416190.967
-0.736,-0.789,-0.727,-0.55,-43.92,76.02,1785110416191.211
-0.752,-0.822,-0.723,-7.97,-38.97,74.07,1785110416191.4602
-0.747,-0.849,-0.694,-7.45,-34.94,74.5,1785110416191.709
-0.736,-0.85,-0.695,1.13,-30.52,74.43,1785110416191.9592
-0.71,-0.809,-0.687,8.64,-25.03,72.18,1785110416192.1978
-0.726,-0.766,-0.65,11.41,-25.36,69.15,1785110416192.437
-0.708,-0.789,-0.643,13.18,-26.55,73.15,1785110416192.676
-0.689,-0.763,-0.682,15.69,-27.41,70.47,1785110416192.9111
-0.704,-0.741,-0.706,14.89,-27.59,67.14,1785110416193.149
-0.705,-0.745,-0.722,11.02,-28.17,65.0,1785110416193.387
-0.695,-0.701,-0.735,5.19,-27.47,57.71,1785110416193.6208
-0.707,-0.636,-0.755,-2.93,-26.06,46.3,1785110416193.857
-0.726,-0.609,-0.781,-18.04,-22.83,37.35,1785110416194.0952
-0.736,-0.61,-0.753,-39.31,-16.48,31.19,1785110416194.336
-0.743,-0.633,-0.687,-56.73,-10.01,24.75,1785110416194.5688
-0.747,-0.655,-0.624,-65.46,-4.97,17.98,1785110416194.803
-0.756,-0.657,-0.562,-66.71,-1.37,11.99,1785110416195.0422
-0.756,-0.657,-0.562,-62.32,1.13,7.63,1785110416195.274
-0.769,-0.649,-0.507,-53.83,2.69,4.15,1785110416195.505
-0.781,-0.625,-0.469,-42.63,3.33,1.4,1785110416195.7388
-0.783,-0.593,-0.443,-30.73,3.54,-1.19,1785110416195.9722
