num_points,points,timestamp_ms
4,"[{""range"": 0.748762954249098, ""doppler"": 0.0, ""angle"": -14.663471789388874, ""elevation"": 0.0}, {""range"": 0.7996375408838382, ""doppler"": 0.0, ""angle"": 24.071764901365928, ""elevation"": 0.0}, {""range"": 0.8031911109140278, ""doppler"": 0.0, ""angle"": 22.957402969324004, ""elevation"": 0.0}, {""range"": 0.8291995654846565, ""doppler"": 0.0, ""angle"": 19.80259643694625, ""elevation"": 0.0}]",1785110602220.199
5,"[{""range"": 0.8017275045999205, ""doppler"": 0.0, ""angle"": -16.721276363461747, ""elevation"": 0.0}, {""range"": 0.8570435472657416, ""doppler"": 0.0, ""angle"": -13.267899773093784, ""elevation"": 0.0}, {""range"": 0.7230451050326391, ""doppler"": 0.0, ""angle"": -3.005340110418502, ""elevation"": 0.0}, {""range"": 0.7334847541988886, ""doppler"": 0.0, ""angle"": -1.229274551961422, ""elevation"": 0.0}, {""range"": 0.7469236120859487, ""doppler"": 0.0, ""angle"": -3.5686337894213276, ""elevation"": 0.0}]",1785110602220.706
6,"[{""range"": 0.7306868833867574, ""doppler"": 0.0, ""angle"": -2.917720829269978, ""elevation"": 0.0}, {""range"": 0.7574387082726886, ""doppler"": 0.0, ""angle"": -1.7180875988789635, ""elevation"": 0.0}, {""range"": 2.8884218642990134, ""doppler"": 0.0, ""angle"": -0.7058743973338266, ""elevation"": 0.0}, {""range"": 0.7783339843098338, ""doppler"": 0.0, ""angle"": 3.635452957126282, ""elevation"": 0.0}, {""range"": 0.7952911303343958, ""doppler"": 0.0, ""angle"": 10.991597791304958, ""elevation"": 0.0}, {""range"": 0.8246617359445143, ""doppler"": 0.0, ""angle"": 13.837373824903938, ""elevation"": 0.0}]",1785110602221.14
4,"[{""range"": 0.8666444554164374, ""doppler"": 0.0, ""angle"": -12.20952517611077, ""elevation"": 0.0}, {""range"": 0.7134318566870893, ""doppler"": 0.0, ""angle"": -6.519394103387931, ""elevation"": 0.0}, {""range"": 0.7291165964452515, ""doppler"": 0.0, ""angle"": -7.5677151713345525, ""elevation"": 0.0}, {""range"": 0.744809836523514, ""doppler"": 0.0, ""angle"": -5.220581695054393, ""elevation"": 0.0}]",1785110602221.58
5,"[{""range"": 0.7924525393859263, ""doppler"": 0.0, ""angle"": -3.9852143238735196, ""elevation"": 0.0}, {""range"": 0.7511723948275948, ""doppler"": 0.0, ""angle"": 2.114533942318206, ""elevation"": 0.0}, {""range"": 2.9715838690259266, ""doppler"": 0.0, ""angle"": 9.91690611994235, ""elevation"": 0.0}, {""range"": 2.990425666017885, ""doppler"": 0.0, ""angle"": 9.832933834767998, ""elevation"": 0.0}, {""range"": 2.947636929592087, ""doppler"": 0.0, ""angle"": 12.201570541042729, ""elevation"": 0.0}]",1785110602222.017
5,"[{""range"": 0.7695861113722025, ""doppler"": 0.0, ""angle"": -2.7168126717372036, ""elevation"": 0.0}, {""range"": 0.8015044738854459, ""doppler"": 0.0, ""angle"": 6.558990007880692, ""elevation"": 0.0}, {""range"": 0.8285707509064851, ""doppler"": 0.0, ""angle"": 19.123153315961705, ""elevation"": 0.0}, {""range"": 0.844238892478562, ""doppler"": 0.0, ""angle"": 24.447972153815723, ""elevation"": 0.0}, {""range"": 2.091064223405548, ""doppler"": 0.0, ""angle"": 57.058703281741856, ""elevation"": 0.0}]",1785110602222.454
8,"[{""range"": 1.1497675630787816, ""doppler"": 0.0, ""angle"": -10.166965141700254, ""elevation"": 0.0}, {""range"": 1.1679312027332474, ""doppler"": 0.0, ""angle"": -7.477547745886284, ""elevation"": 0.0}, {""range"": 0.7282164270191818, ""doppler"": 0.0, ""angle"": -2.6881669026442934, ""elevation"": 0.0}, {""range"": 0.7535220041170874, ""doppler"": 0.0, ""angle"": 0.02719305895162035, ""elevation"": 0.0}, {""range"": 0.7689906707145823, ""doppler"": 0.0, ""angle"": 3.3860195414551644, ""elevation"": 0.0}, {""range"": 0.8421273893495679, ""doppler"": 0.0, ""angle"": 8.806284700586845, ""elevation"": 0.0}, {""range"": 0.8167465967089153, ""doppler"": 0.0, ""angle"": 21.042014065346613, ""elevation"": 0.0}, {""range"": 0.9010250331361002, ""doppler"": 0.0, ""angle"": 33.66168454637626, ""elevation"": 0.0}]",1785110602222.826
6,"[{""range"": 0.7343957944557713, ""doppler"": 0.0, ""angle"": -5.5190295248806125, ""elevation"": 0.0}, {""range"": 0.7587589364047896, ""doppler"": 0.0, ""angle"": -2.2555311084780176, ""elevation"": 0.0}, {""range"": 0.7810318571629251, ""doppler"": 0.0, ""angle"": 1.1281887335998955, ""elevation"": 0.0}, {""range"": 0.80479287048383, ""doppler"": 0.0, ""angle"": 3.1332240830648534, ""elevation"": 0.0}, {""range"": 0.851211745014457, ""doppler"": 0.0, ""angle"": 10.273626720514606, ""elevation"": 0.0}, {""range"": 0.9049339332083645, ""doppler"": 0.0, ""angle"": 6.21641595111976, ""elevation"": 0.0}]",1785110602223.2102
7,"[{""range"": 0.913417142595297, ""doppler"": 0.0, ""angle"": -6.023096238261321, ""elevation"": 0.0}, {""range"": 1.1563549287949029, ""doppler"": 0.0, ""angle"": -7.043694354217406, ""elevation"": 0.0}, {""range"": 0.7294880956947408, ""doppler"": 0.0, ""angle"": -1.6012795985369155, ""elevation"": 0.0}, {""range"": 0.7651241810753522, ""doppler"": 0.0, ""angle"": -1.165041093252585, ""elevation"": 0.0}, {""range"": 0.7907792273147354, ""doppler"": 0.0, ""angle"": -3.3055967590753528, ""elevation"": 0.0}, {""range"": 0.8078957813806286, ""doppler"": 0.0, ""angle"": -0.34240098075245734, ""elevation"": 0.0}, {""range"": 0.8420250956479897, ""doppler"": 0.0, ""angle"": 10.028420175112915, ""elevation"": 0.0}]",1785110602223.598
4,"[{""range"": 1.1514944299729246, ""doppler"": 0.0, ""angle"": -8.789455405305711, ""elevation"": 0.0}, {""range"": 0.903178898032105, ""doppler"": 0.0, ""angle"": 7.1193883562365246, ""elevation"": 0.0}, {""range"": 0.8589970153632884, ""doppler"": 0.0, ""angle"": 20.992982854223957, ""elevation"": 0.0}, {""range"": 0.8310730168316038, ""doppler"": 0.0, ""angle"": 31.56631364324082, ""elevation"": 0.0}]",1785110602223.9739
5,"[{""range"": 0.8440804331195424, ""doppler"": 0.0, ""angle"": -18.822621189847858, ""elevation"": 0.0}, {""range"": 0.8693483314329941, ""doppler"": 0.0, ""angle"": -16.563788133832134, ""elevation"": 0.0}, {""range"": 2.083470266830916, ""doppler"": 0.0, ""angle"": 51.58978307307269, ""elevation"": 0.0}, {""range"": 2.0897604978737743, ""doppler"": 0.0, ""angle"": 52.663368581741224, ""elevation"": 0.0}, {""range"": 0.7838884729173461, ""doppler"": 0.0, ""angle"": 59.7266286799372, ""elevation"": 0.0}]",1785110602224.334
5,"[{""range"": 0.7643879912596838, ""doppler"": 0.0, ""angle"": -1.0857282704909885, ""elevation"": 0.0}, {""range"": 0.7899539416254813, ""doppler"": 0.0, ""angle"": 1.0505859198612097, ""elevation"": 0.0}, {""range"": 0.8237028123811502, ""doppler"": 0.0, ""angle"": 10.924518789573794, ""elevation"": 0.0}, {""range"": 0.8563213367279361, ""doppler"": 0.0, ""angle"": 13.833119245933096, ""elevation"": 0.0}, {""range"": 0.8904153469366191, ""doppler"": 0.0, ""angle"": 12.738475704352647, ""elevation"": 0.0}]",1785110602224.6987
4,"[{""range"": 0.762398137062172, ""doppler"": 0.0, ""angle"": 2.0161509904650443, ""elevation"": 0.0}, {""range"": 0.7925342211023901, ""doppler"": 0.0, ""angle"": 3.686808416429537, ""elevation"": 0.0}, {""range"": 0.8076944655875448, ""doppler"": 0.0, ""angle"": 4.965894710044011, ""elevation"": 0.0}, {""range"": 0.8366628891811085, ""doppler"": 0.0, ""angle"": 4.879571369313178, ""elevation"": 0.0}]",1785110602225.076
6,"[{""range"": 1.1540276177310946, ""doppler"": 0.0, ""angle"": -11.330825549372168, ""elevation"": 0.0}, {""range"": 1.1749160294112633, ""doppler"": 0.0, ""angle"": -12.53448261878792, ""elevation"": 0.0}, {""range"": 0.7978776533501899, ""doppler"": 0.0, ""angle"": -5.156065096405399, ""elevation"": 0.0}, {""range"": 0.8138882746135306, ""doppler"": 0.0, ""angle"": -6.0788482908075805, ""elevation"": 0.0}, {""range"": 0.8497722244983381, ""doppler"": 0.0, ""angle"": -6.027306882128554, ""elevation"": 0.0}, {""range"": 0.7611078109497322, ""doppler"": 0.0, ""angle"": 2.6123419339140295, ""elevation"": 0.0}]",1785110602225.44
5,"[{""range"": 0.725464064646664, ""doppler"": 0.0, ""angle"": -1.3276231105001524, ""elevation"": 0.0}, {""range"": 0.7543629235228051, ""doppler"": 0.0, ""angle"": -2.051225368486842, ""elevation"": 0.0}, {""range"": 0.7766567873496601, ""doppler"": 0.0, ""angle"": -2.573211393319107, ""elevation"": 0.0}, {""range"": 0.7992987864767981, ""doppler"": 0.0, ""angle"": -0.06408921209959514, ""elevation"": 0.0}, {""range"": 0.8416643295193166, ""doppler"": 0.0, ""angle"": 2.0210787033287407, ""elevation"": 0.0}]",1785110602225.796
6,"[{""range"": 0.7447174676610887, ""doppler"": 0.0, ""angle"": 3.014233636931975, ""elevation"": 0.0}, {""range"": 2.944286371270037, ""doppler"": 0.0, ""angle"": 7.934735767553198, ""elevation"": 0.0}, {""range"": 2.9609593995081873, ""doppler"": 0.0, ""angle"": 7.125445524341207, ""elevation"": 0.0}, {""range"": 0.79804929333869, ""doppler"": 0.0, ""angle"": 12.921486386193838, ""elevation"": 0.0}, {""range"": 0.8239362108266336, ""doppler"": 0.0, ""angle"": 14.401160594979018, ""elevation"": 0.0}, {""range"": 0.8472851997281902, ""doppler"": 0.0, ""angle"": 11.331275216115621, ""elevation"": 0.0}]",1785110602226.269
