num_points,points,timestamp_ms
8,"[{""range"": 1.622748108892911, ""doppler"": 0.0, ""angle"": -28.72836656492242, ""elevation"": 0.0}, {""range"": 1.637646162672012, ""doppler"": 0.0, ""angle"": -28.507106288346904, ""elevation"": 0.0}, {""range"": 1.661687335453098, ""doppler"": 0.0, ""angle"": -27.22958403358799, ""elevation"": 0.0}, {""range"": 1.052847850789749, ""doppler"": 0.0, ""angle"": 9.5119150803233, ""elevation"": 0.0}, {""range"": 1.0652769564648161, ""doppler"": 0.0, ""angle"": 8.63063199258676, ""elevation"": 0.0}, {""range"": 1.0719847639262383, ""doppler"": 0.0, ""angle"": 7.177175610734395, ""elevation"": 0.0}, {""range"": 1.0938389205954038, ""doppler"": 0.0, ""angle"": 3.617816638316361, ""elevation"": 0.0}, {""range"": 1.2593897892326296, ""doppler"": 0.0, ""angle"": 36.739735655901896, ""elevation"": 0.0}]",1784841219428.087
9,"[{""range"": 1.619966710643685, ""doppler"": 0.0, ""angle"": -28.24250137889547, ""elevation"": 0.0}, {""range"": 1.6336839726050056, ""doppler"": 0.0, ""angle"": -27.729040271133094, ""elevation"": 0.0}, {""range"": 1.657462711909875, ""doppler"": 0.0, ""angle"": -27.269981771149894, ""elevation"": 0.0}, {""range"": 1.0581712033901374, ""doppler"": 0.0, ""angle"": 15.6262100688369, ""elevation"": 0.0}, {""range"": 1.0726546549887972, ""doppler"": 0.0, ""angle"": 16.921553816824588, ""elevation"": 0.0}, {""range"": 1.0842241611941756, ""doppler"": 0.0, ""angle"": 18.709861270184806, ""elevation"": 0.0}, {""range"": 1.1082754649022502, ""doppler"": 0.0, ""angle"": 22.671775523047206, ""elevation"": 0.0}, {""range"": 1.1795323573106948, ""doppler"": 0.0, ""angle"": 28.33664099721226, ""elevation"": 0.0}, {""range"": 1.2450308200860796, ""doppler"": 0.0, ""angle"": 31.886754963415488, ""elevation"": 0.0}]",1784841219428.241
9,"[{""range"": 1.6197705059860517, ""doppler"": 0.0, ""angle"": -29.125868997922463, ""elevation"": 0.0}, {""range"": 1.633135180088513, ""doppler"": 0.0, ""angle"": -27.434802760485134, ""elevation"": 0.0}, {""range"": 1.6609358272315489, ""doppler"": 0.0, ""angle"": -26.56505117707799, ""elevation"": 0.0}, {""range"": 1.0656062465517333, ""doppler"": 0.0, ""angle"": 0.5768804504124112, ""elevation"": 0.0}, {""range"": 1.0155159453636882, ""doppler"": 0.0, ""angle"": 6.4705434023791275, ""elevation"": 0.0}, {""range"": 1.04656488582871, ""doppler"": 0.0, ""angle"": 6.770458766972607, ""elevation"": 0.0}, {""range"": 1.0549533103261184, ""doppler"": 0.0, ""angle"": 4.442651253210328, ""elevation"": 0.0}, {""range"": 1.2224671737742105, ""doppler"": 0.0, ""angle"": 18.37399306957444, ""elevation"": 0.0}, {""range"": 1.2453331203964353, ""doppler"": 0.0, ""angle"": 27.845519521681993, ""elevation"": 0.0}]",1784841219428.338
9,"[{""range"": 1.6182948835722553, ""doppler"": 0.0, ""angle"": -28.966671561673085, ""elevation"": 0.0}, {""range"": 1.6304668516750824, ""doppler"": 0.0, ""angle"": -28.529719765259028, ""elevation"": 0.0}, {""range"": 1.6539555675131072, ""doppler"": 0.0, ""angle"": -28.651492211126737, ""elevation"": 0.0}, {""range"": 1.0499104122636496, ""doppler"": 0.0, ""angle"": 9.014733102739344, ""elevation"": 0.0}, {""range"": 1.0628072704397706, ""doppler"": 0.0, ""angle"": 6.278448333822096, ""elevation"": 0.0}, {""range"": 1.0629351986683757, ""doppler"": 0.0, ""angle"": 3.9839811385179855, ""elevation"": 0.0}, {""range"": 1.2180398458181698, ""doppler"": 0.0, ""angle"": 21.007920155700727, ""elevation"": 0.0}, {""range"": 1.2390098412888635, ""doppler"": 0.0, ""angle"": 23.131273161075757, ""elevation"": 0.0}, {""range"": 1.1542713010975552, ""doppler"": 0.0, ""angle"": 37.95283112970702, ""elevation"": 0.0}]",1784841219428.4338
6,"[{""range"": 1.6193944727546736, ""doppler"": 0.0, ""angle"": -29.911242147220253, ""elevation"": 0.0}, {""range"": 1.631093485835927, ""doppler"": 0.0, ""angle"": -29.091209358176492, ""elevation"": 0.0}, {""range"": 1.6581028145761982, ""doppler"": 0.0, ""angle"": -28.306196126031736, ""elevation"": 0.0}, {""range"": 1.051702177241625, ""doppler"": 0.0, ""angle"": 1.6855435011298692, ""elevation"": 0.0}, {""range"": 1.0361350858677607, ""doppler"": 0.0, ""angle"": 5.049403807602713, ""elevation"": 0.0}, {""range"": 1.1305067913755664, ""doppler"": 0.0, ""angle"": 31.975603699583612, ""elevation"": 0.0}]",1784841219428.503
9,"[{""range"": 1.6198870473123683, ""doppler"": 0.0, ""angle"": -28.819937703412954, ""elevation"": 0.0}, {""range"": 1.6317868849029213, ""doppler"": 0.0, ""angle"": -28.797865498592888, ""elevation"": 0.0}, {""range"": 1.6577363926758029, ""doppler"": 0.0, ""angle"": -30.168798396194106, ""elevation"": 0.0}, {""range"": 1.0095844866740444, ""doppler"": 0.0, ""angle"": 6.651737138168231, ""elevation"": 0.0}, {""range"": 1.041344943024683, ""doppler"": 0.0, ""angle"": 10.397244742973479, ""elevation"": 0.0}, {""range"": 1.0590019116258729, ""doppler"": 0.0, ""angle"": 14.68151820278798, ""elevation"": 0.0}, {""range"": 1.0748881746502827, ""doppler"": 0.0, ""angle"": 17.81402770979055, ""elevation"": 0.0}, {""range"": 1.1093319178946999, ""doppler"": 0.0, ""angle"": 19.08040080965941, ""elevation"": 0.0}, {""range"": 1.1736838445915423, ""doppler"": 0.0, ""angle"": 20.149416403290502, ""elevation"": 0.0}]",1784841219428.631
11,"[{""range"": 1.6190492693655807, ""doppler"": 0.0, ""angle"": -28.554906750861257, ""elevation"": 0.0}, {""range"": 1.6305365070163327, ""doppler"": 0.0, ""angle"": -27.815606634262938, ""elevation"": 0.0}, {""range"": 1.6593750147746087, ""doppler"": 0.0, ""angle"": -27.24983968401159, ""elevation"": 0.0}, {""range"": 1.0578514172452913, ""doppler"": 0.0, ""angle"": 3.1492081930066167, ""elevation"": 0.0}, {""range"": 1.072215468266484, ""doppler"": 0.0, ""angle"": -2.6190496967173282, ""elevation"": 0.0}, {""range"": 1.52099041091704, ""doppler"": 0.0, ""angle"": 3.1674999296074042, ""elevation"": 0.0}, {""range"": 1.0375123168856646, ""doppler"": 0.0, ""angle"": 3.8639966252824247, ""elevation"": 0.0}, {""range"": 1.1247068970465304, ""doppler"": 0.0, ""angle"": 33.41720848163132, ""elevation"": 0.0}, {""range"": 1.2511106119782287, ""doppler"": 0.0, ""angle"": 33.61057527576104, ""elevation"": 0.0}, {""range"": 1.2112645524565586, ""doppler"": 0.0, ""angle"": 34.522898662895585, ""elevation"": 0.0}, {""range"": 1.26941402381744, ""doppler"": 0.0, ""angle"": 34.42206332753644, ""elevation"": 0.0}]",1784841219428.786
7,"[{""range"": 1.6191632065673545, ""doppler"": 0.0, ""angle"": -29.333625812632455, ""elevation"": 0.0}, {""range"": 1.63247283059862, ""doppler"": 0.0, ""angle"": -29.229551569808, ""elevation"": 0.0}, {""range"": 1.6612426670310676, ""doppler"": 0.0, ""angle"": -29.636258034990785, ""elevation"": 0.0}, {""range"": 1.0341836335652523, ""doppler"": 0.0, ""angle"": 7.430980865644236, ""elevation"": 0.0}, {""range"": 1.039218405107507, ""doppler"": 0.0, ""angle"": 9.968003086381588, ""elevation"": 0.0}, {""range"": 1.0625756518391745, ""doppler"": 0.0, ""angle"": 14.541368681818568, ""elevation"": 0.0}, {""range"": 1.2015600934722779, ""doppler"": 0.0, ""angle"": 20.034100196575928, ""elevation"": 0.0}]",1784841219428.8298
9,"[{""range"": 1.6199013676574, ""doppler"": 0.0, ""angle"": -29.624072159532886, ""elevation"": 0.0}, {""range"": 1.6325883574594333, ""doppler"": 0.0, ""angle"": -29.13384289256646, ""elevation"": 0.0}, {""range"": 1.6596074206393872, ""doppler"": 0.0, ""angle"": -29.285452885103762, ""elevation"": 0.0}, {""range"": 1.5201047018869676, ""doppler"": 0.0, ""angle"": 3.5204184341100775, ""elevation"": 0.0}, {""range"": 1.0421997244915502, ""doppler"": 0.0, ""angle"": 18.537534613356506, ""elevation"": 0.0}, {""range"": 1.0648456117919047, ""doppler"": 0.0, ""angle"": 20.053799393521253, ""elevation"": 0.0}, {""range"": 1.0821864511095418, ""doppler"": 0.0, ""angle"": 18.686428317812744, ""elevation"": 0.0}, {""range"": 1.1360425840026454, ""doppler"": 0.0, ""angle"": 19.7897122339291, ""elevation"": 0.0}, {""range"": 1.1851392594353476, ""doppler"": 0.0, ""angle"": 23.888758310590426, ""elevation"": 0.0}]",1784841219428.853
8,"[{""range"": 1.6190397997459662, ""doppler"": 0.0, ""angle"": -29.053374839701384, ""elevation"": 0.0}, {""range"": 1.6324645259030515, ""doppler"": 0.0, ""angle"": -28.684589367046577, ""elevation"": 0.0}, {""range"": 1.6584303069119628, ""doppler"": 0.0, ""angle"": -29.060604411085315, ""elevation"": 0.0}, {""range"": 1.059854867019374, ""doppler"": 0.0, ""angle"": 3.181974964818941, ""elevation"": 0.0}, {""range"": 1.516424788476516, ""doppler"": 0.0, ""angle"": 2.236873578110515, ""elevation"": 0.0}, {""range"": 1.010893940714388, ""doppler"": 0.0, ""angle"": 8.022605708216533, ""elevation"": 0.0}, {""range"": 1.0349862354138326, ""doppler"": 0.0, ""angle"": 8.664881032601983, ""elevation"": 0.0}, {""range"": 1.0420163661983732, ""doppler"": 0.0, ""angle"": 7.464047889385494, ""elevation"": 0.0}]",1784841219428.874
