ax,ay,az,gx,gy,gz,timestamp_ms
-0.902,-0.238,-0.298,3.39,0.15,-1.43,1785102647205.3801
-0.904,-0.239,-0.299,3.57,-0.03,-1.59,1785102647205.906
-0.905,-0.24,-0.297,3.85,-0.03,-1.59,1785102647206.4153
-0.905,-0.24,-0.297,3.94,0.0,-1.19,1785102647206.927
-0.903,-0.24,-0.297,3.85,-0.09,-1.13,1785102647207.375
-0.904,-0.239,-0.299,3.78,-0.18,-1.19,1785102647207.77
-0.908,-0.24,-0.299,3.66,-0.24,-1.22,1785102647208.158
-0.907,-0.24,-0.299,3.36,-0.4,-1.28,1785102647208.547
-0.905,-0.239,-0.303,3.36,-0.4,-1.28,1785102647208.948
-0.903,-0.239,-0.305,2.84,-0.43,-1.22,1785102647209.3408
-0.903,-0.239,-0.303,2.14,-0.58,-1.31,1785102647209.748
-0.903,-0.24,-0.304,1.31,-0.61,-1.46,1785102647210.134
-0.9,-0.238,-0.306,0.61,-0.61,-1.59,1785102647210.529
-0.896,-0.235,-0.303,-0.27,-0.43,-1.56,1785102647210.925
-0.897,-0.237,-0.299,-1.07,-0.21,-1.16,1785102647211.314
-0.9,-0.238,-0.297,-1.25,-0.24,-1.07,1785102647211.71
-0.898,-0.242,-0.295,-0.85,-0.4,-1.13,1785102647212.102
-0.901,-0.243,-0.297,-0.52,-0.49,-1.4,1785102647212.497
-0.9,-0.242,-0.297,-0.06,-0.52,-1.34,1785102647212.8809
-0.899,-0.242,-0.298,0.12,-0.31,-1.28,1785102647213.334
-0.9,-0.241,-0.299,0.52,-0.34,-1.19,1785102647213.726
-0.903,-0.241,-0.297,1.13,-0.37,-1.31,1785102647214.062
-0.903,-0.244,-0.296,1.71,-0.24,-1.25,1785102647214.4019
-0.91,-0.245,-0.295,2.26,-0.24,-1.31,1785102647214.735
-0.907,-0.243,-0.298,2.47,-0.31,-1.25,1785102647215.07
-0.896,-0.24,-0.299,2.2,-0.06,-0.58,1785102647215.393
-0.901,-0.246,-0.295,1.89,0.21,-0.12,1785102647215.7231
-0.909,-0.244,-0.296,1.95,-0.21,-0.79,1785102647216.0552
-0.903,-0.245,-0.296,2.04,-0.31,-0.92,1785102647216.3809
-0.9,-0.243,-0.298,2.01,-0.15,-0.85,1785102647216.733
-0.905,-0.249,-0.297,1.65,-0.06,-0.34,1785102647217.067
-0.909,-0.247,-0.304,1.56,-0.18,-0.76,1785102647217.397
-0.906,-0.248,-0.303,1.4,-0.27,-0.89,1785102647217.715
-0.9,-0.247,-0.305,1.4,-0.34,-0.98,1785102647218.038
-0.9,-0.241,-0.304,0.73,0.03,-0.89,1785102647218.493
-0.9,-0.242,-0.304,0.34,0.18,-0.82,1785102647218.842
-0.902,-0.245,-0.305,0.34,0.43,-0.95,1785102647219.176
-0.902,-0.243,-0.307,0.12,0.79,-1.13,1785102647219.536
-0.895,-0.24,-0.303,-0.27,1.31,-0.34,1785102647219.881
-0.901,-0.247,-0.292,-0.64,1.95,0.15,1785102647220.1997
-0.908,-0.251,-0.292,0.06,1.62,-0.7,1785102647220.526
-0.898,-0.244,-0.296,0.82,1.53,-1.22,1785102647220.843
-0.898,-0.248,-0.287,1.01,2.44,-0.49,1785102647221.1357
-0.913,-0.256,-0.281,2.56,2.14,-1.07,1785102647221.424
-0.916,-0.243,-0.289,4.27,1.62,-2.2,1785102647221.713
-0.916,-0.243,-0.289,4.64,2.14,-1.34,1785102647221.996
-0.918,-0.245,-0.291,4.7,2.14,-0.79,1785102647222.2788
-0.922,-0.241,-0.295,4.73,2.26,-0.37,1785102647222.563
-0.922,-0.239,-0.297,4.12,2.35,0.31,1785102647222.8447
-0.916,-0.242,-0.294,3.48,2.17,0.92,1785102647223.124
-0.913,-0.239,-0.293,2.69,2.01,1.28,1785102647223.411
-0.909,-0.242,-0.292,2.66,1.65,1.68,1785102647223.716
-0.904,-0.24,-0.293,2.93,1.43,1.77,1785102647223.9949
-0.902,-0.239,-0.296,3.23,1.19,1.83,1785102647224.283
-0.899,-0.238,-0.296,3.57,0.92,2.01,1785102647224.5737
-0.895,-0.24,-0.299,4.09,0.58,2.2,1785102647224.8918
-0.894,-0.243,-0.299,4.43,0.34,2.11,1785102647225.183
-0.894,-0.245,-0.297,4.43,-0.15,2.04,1785102647225.47
-0.893,-0.245,-0.297,4.52,-0.52,1.98,1785102647225.764
-0.894,-0.246,-0.298,4.97,-0.67,1.95,1785102647226.04
-0.896,-0.248,-0.301,5.28,-0.73,1.89,1785102647226.322
-0.896,-0.249,-0.301,5.52,-0.85,2.01,1785102647226.605
-0.897,-0.25,-0.301,5.74,-0.92,2.04,1785102647226.882
-0.899,-0.252,-0.303,5.89,-0.89,2.11,1785102647227.172
-0.901,-0.256,-0.305,5.71,-0.79,2.29,1785102647227.4548
-0.902,-0.254,-0.301,5.28,-0.85,2.47,1785102647227.743
-0.902,-0.256,-0.301,4.91,-0.82,2.72,1785102647228.02
-0.902,-0.254,-0.303,4.64,-0.52,2.59,1785102647228.302
-0.899,-0.255,-0.304,4.21,-0.4,2.44,1785102647228.5771
-0.899,-0.257,-0.305,3.72,-0.24,2.11,1785102647228.8267
-0.901,-0.256,-0.303,3.08,-0.18,1.83,1785102647229.0771
-0.903,-0.255,-0.301,2.35,-0.18,1.71,1785102647229.325
-0.899,-0.255,-0.303,1.83,-0.34,1.68,1785102647229.57
-0.901,-0.253,-0.305,1.25,-0.24,1.4,1785102647229.815
-0.899,-0.253,-0.305,0.82,-0.34,1.19,1785102647230.0632
-0.899,-0.251,-0.304,0.03,-0.46,1.04,1785102647230.31
-0.896,-0.251,-0.306,-0.76,-0.49,0.79,1785102647230.5532
-0.899,-0.25,-0.306,-1.31,-0.61,0.55,1785102647230.809
-0.904,-0.25,-0.307,-1.71,-0.98,0.52,1785102647231.061
-0.904,-0.25,-0.308,-1.89,-1.07,0.61,1785102647231.315
