num_points,points,timestamp_ms
12,"[{""range"": 7.614175042872215, ""doppler"": 2.999478045385331, ""angle"": 45.483112461628345, ""elevation"": 11.251030433633304}, {""range"": 3.4769356266651843, ""doppler"": 10.291049007413676, ""angle"": 72.43716781506816, ""elevation"": 63.609228966514834}, {""range"": 5.926619996667396, ""doppler"": 10.194221196725266, ""angle"": 5.2418199469795566, ""elevation"": 31.92526771339652}, {""range"": 2.850257705108342, ""doppler"": 0.46812242310261354, ""angle"": 89.07148583225948, ""elevation"": 2.7760487947661896}, {""range"": 0.26987951768883345, ""doppler"": 0.0, ""angle"": 30.865298994355012, ""elevation"": 7.308591518659109}, {""range"": 0.0017970577993013067, ""doppler"": 0.0, ""angle"": 84.28940686250037, ""elevation"": 0.0}, {""range"": 0.001975064459536182, ""doppler"": 0.0, ""angle"": 90.0, ""elevation"": 5.194428907734806}, {""range"": 0.05382329126447162, ""doppler"": 0.04732186236651614, ""angle"": -0.19035072662975377, ""elevation"": 0.0}, {""range"": 6.659894547851893, ""doppler"": 5.380859765398782, ""angle"": -65.90995893729739, ""elevation"": -15.47725578478062}, {""range"": 4.078594682217908, ""doppler"": 0.004004157584859058, ""angle"": 90.0, ""elevation"": 45.454718861693145}, {""range"": 1.2969468710542666, ""doppler"": 0.0, ""angle"": -48.52128183010414, ""elevation"": 0.0}, {""range"": 1.3295069144083307, ""doppler"": 0.0, ""angle"": -46.34058120507982, ""elevation"": 0.0}]",1785102743910.757
4,"[{""range"": 1.3320536495910755, ""doppler"": 0.0, ""angle"": -41.13021251187245, ""elevation"": 0.0}, {""range"": 0.6577925956944936, ""doppler"": 0.0, ""angle"": 11.71619205538868, ""elevation"": 0.0}, {""range"": 0.6701789055016681, ""doppler"": 0.0, ""angle"": 14.162306585765135, ""elevation"": 0.0}, {""range"": 1.9081016670787978, ""doppler"": 0.0, ""angle"": 47.711863705607726, ""elevation"": 0.0}]",1785102743911.244
8,"[{""range"": 0.8216793111640947, ""doppler"": 0.0, ""angle"": -44.259375589956115, ""elevation"": 0.0}, {""range"": 1.3272010125969522, ""doppler"": 0.0, ""angle"": -44.36680260638305, ""elevation"": 0.0}, {""range"": 0.7729951825444403, ""doppler"": 0.0, ""angle"": -32.175379014516125, ""elevation"": 0.0}, {""range"": 0.6497769178167364, ""doppler"": 0.0, ""angle"": 1.2141796295432952, ""elevation"": 0.0}, {""range"": 0.6683343686543536, ""doppler"": 0.0, ""angle"": 5.065356444954773, ""elevation"": 0.0}, {""range"": 0.6975874437679099, ""doppler"": 0.0, ""angle"": 9.38264418421229, ""elevation"": 0.0}, {""range"": 1.8917440830616667, ""doppler"": 0.0, ""angle"": 49.27005925528575, ""elevation"": 0.0}, {""range"": 1.9091959413633524, ""doppler"": 0.0, ""angle"": 48.13205049694449, ""elevation"": 0.0}]",1785102743911.664
5,"[{""range"": 1.325014318045651, ""doppler"": 0.0, ""angle"": -44.08142143154846, ""elevation"": 0.0}, {""range"": 0.6437631936341388, ""doppler"": 0.0, ""angle"": -4.09355389687393, ""elevation"": 0.0}, {""range"": 0.6594899592940593, ""doppler"": 0.0, ""angle"": -8.24654363386463, ""elevation"": 0.0}, {""range"": 1.890057914635128, ""doppler"": 0.0, ""angle"": 49.254657777724574, ""elevation"": 0.0}, {""range"": 1.9100260392252302, ""doppler"": 0.0, ""angle"": 46.16449594546705, ""elevation"": 0.0}]",1785102743912.0671
9,"[{""range"": 1.3267409394991565, ""doppler"": 0.0, ""angle"": -44.96177733754937, ""elevation"": 0.0}, {""range"": 0.7526135961592701, ""doppler"": 0.0, ""angle"": -16.238968521369113, ""elevation"": 0.0}, {""range"": 0.7039904821515534, ""doppler"": 0.0, ""angle"": -0.014553156789665381, ""elevation"": 0.0}, {""range"": 0.6394503549566369, ""doppler"": 0.0, ""angle"": 5.761609149628259, ""elevation"": 0.0}, {""range"": 0.653826420549311, ""doppler"": 0.0, ""angle"": 7.401007317529303, ""elevation"": 0.0}, {""range"": 0.6686691067522658, ""doppler"": 0.0, ""angle"": 8.225443552693024, ""elevation"": 0.0}, {""range"": 1.8940585489460344, ""doppler"": 0.0, ""angle"": 48.908212471477356, ""elevation"": 0.0}, {""range"": 1.9079835419866424, ""doppler"": 0.0, ""angle"": 47.94772994323384, ""elevation"": 0.0}, {""range"": 2.063385311907952, ""doppler"": 0.0, ""angle"": 44.91924737690809, ""elevation"": 0.0}]",1785102743912.4658
7,"[{""range"": 0.6356957088383476, ""doppler"": 0.0, ""angle"": 0.3545685115025882, ""elevation"": 0.0}, {""range"": 0.6453355004638426, ""doppler"": 0.0, ""angle"": 1.3336962828515337, ""elevation"": 0.0}, {""range"": 0.6596744861617814, ""doppler"": 0.0, ""angle"": 5.022885170273259, ""elevation"": 0.0}, {""range"": 0.6841889644912783, ""doppler"": 0.0, ""angle"": 10.678526767772524, ""elevation"": 0.0}, {""range"": 1.8901377196799507, ""doppler"": 0.0, ""angle"": 47.875803270183276, ""elevation"": 0.0}, {""range"": 1.9081484944730178, ""doppler"": 0.0, ""angle"": 46.65175731629763, ""elevation"": 0.0}, {""range"": 1.9362592570525352, ""doppler"": 0.0, ""angle"": 47.02831539673542, ""elevation"": 0.0}]",1785102743912.874
9,"[{""range"": 1.325992363852789, ""doppler"": 0.0, ""angle"": -35.327501396469266, ""elevation"": 0.0}, {""range"": 1.2893361220210025, ""doppler"": 0.0, ""angle"": -28.495040030936618, ""elevation"": 0.0}, {""range"": 0.7458376358430058, ""doppler"": 0.0, ""angle"": -15.205722686108954, ""elevation"": 0.0}, {""range"": 0.6431404283380057, ""doppler"": 0.0, ""angle"": -4.209328801322681, ""elevation"": 0.0}, {""range"": 0.6583644711483831, ""doppler"": 0.0, ""angle"": -5.798854767923544, ""elevation"": 0.0}, {""range"": 0.6946766466822321, ""doppler"": 0.0, ""angle"": -9.990892905993851, ""elevation"": 0.0}, {""range"": 0.6348925157639778, ""doppler"": 0.0, ""angle"": -3.4877534793544744, ""elevation"": 0.0}, {""range"": 1.8890145903583881, ""doppler"": 0.0, ""angle"": 47.80839814978971, ""elevation"": 0.0}, {""range"": 1.9039982281475116, ""doppler"": 0.0, ""angle"": 48.761936696654104, ""elevation"": 0.0}]",1785102743913.29
8,"[{""range"": 0.6754558795831938, ""doppler"": 0.0, ""angle"": -11.08088146316233, ""elevation"": 0.0}, {""range"": 0.720971153042882, ""doppler"": 0.0, ""angle"": -13.102193371225273, ""elevation"": 0.0}, {""range"": 0.7611257071582739, ""doppler"": 0.0, ""angle"": -14.22559635187802, ""elevation"": 0.0}, {""range"": 0.6328245599077117, ""doppler"": 0.0, ""angle"": -0.14570808250149783, ""elevation"": 0.0}, {""range"": 0.6699765117884197, ""doppler"": 0.0, ""angle"": 28.555540090945303, ""elevation"": 0.0}, {""range"": 1.884792149020532, ""doppler"": 0.0, ""angle"": 51.69164831358403, ""elevation"": 0.0}, {""range"": 2.071431276504733, ""doppler"": 0.0, ""angle"": 45.510619115111375, ""elevation"": 0.0}, {""range"": 1.9037141481995346, ""doppler"": 0.0, ""angle"": 54.76637199354232, ""elevation"": 0.0}]",1785102743913.6992
8,"[{""range"": 0.7929683707431635, ""doppler"": 0.0, ""angle"": -28.397012865050133, ""elevation"": 0.0}, {""range"": 0.7199351010191384, ""doppler"": 0.0, ""angle"": -21.109031095374668, ""elevation"": 0.0}, {""range"": 0.7600424805079468, ""doppler"": 0.0, ""angle"": -25.60649293411859, ""elevation"": 0.0}, {""range"": 0.6355922870895021, ""doppler"": 0.0, ""angle"": -0.951080613118921, ""elevation"": 0.0}, {""range"": 0.6448976043548142, ""doppler"": 0.0, ""angle"": -1.6683374482933075, ""elevation"": 0.0}, {""range"": 0.6564623625297626, ""doppler"": 0.0, ""angle"": -1.467200541803068, ""elevation"": 0.0}, {""range"": 1.8839220122328195, ""doppler"": 0.0, ""angle"": 48.29736216567988, ""elevation"": 0.0}, {""range"": 1.9004346286169198, ""doppler"": 0.0, ""angle"": 51.141494429762695, ""elevation"": 0.0}]",1785102743914.0989
5,"[{""range"": 0.7452032257757755, ""doppler"": 0.0, ""angle"": -27.960882950180636, ""elevation"": 0.0}, {""range"": 0.7748654003164211, ""doppler"": 0.0, ""angle"": -27.635378358040818, ""elevation"": 0.0}, {""range"": 0.7930135910752735, ""doppler"": 0.0, ""angle"": -27.60510236488441, ""elevation"": 0.0}, {""range"": 1.8851461634128037, ""doppler"": 0.0, ""angle"": 52.10070676777798, ""elevation"": 0.0}, {""range"": 1.9094933469516757, ""doppler"": 0.0, ""angle"": 56.58969770551125, ""elevation"": 0.0}]",1785102743914.493
