distance_cm,timestamp_ms
45.0,1785112978986.741
48.0,1785112978987.5488
46.0,1785112979005.42
44.0,1785112979025.3801
46.0,1785112979045.324
49.0,1785112979066.1938
46.0,1785112979089.823
43.0,1785112979105.4739
44.0,1785112979126.292
45.0,1785112979149.9907
49.0,1785112979165.703
43.0,1785112979186.454
44.0,1785112979210.1892
48.0,1785112979226.0388
45.0,1785112979246.8071
49.0,1785112979266.8792
45.0,1785112979286.531
44.0,1785112979306.907
44.0,1785112979326.2012
42.0,1785112979346.457
46.0,1785112979367.1191
45.0,1785112979395.9858
49.0,1785112979406.532
42.0,1785112979427.114
41.0,1785112979446.295
45.0,1785112979466.609
43.0,1785112979486.7651
47.0,1785112979506.3628
49.0,1785112979526.02
47.0,1785112979549.8682
46.0,1785112979576.088
49.0,1785112979586.58
42.0,1785112979610.095
41.0,1785112979636.249
47.0,1785112979646.4993
46.0,1785112979670.27
43.0,1785112979696.195
49.0,1785112979706.5852
48.0,1785112979730.191
46.0,1785112979746.5542
44.0,1785112979766.689
43.0,1785112979790.314
41.0,1785112979806.2598
41.0,1785112979826.762
42.0,1785112979850.341
45.0,1785112979866.2751
44.0,1785112979886.8743
45.0,1785112979905.609
42.0,1785112979926.422
45.0,1785112979946.719
44.0,1785112979966.745
48.0,1785112979986.419
49.0,1785112980007.759
45.0,1785112980025.857
47.0,1785112980046.362
48.0,1785112980067.061
50.0,1785112980086.494
44.0,1785112980106.393
51.0,1785112980127.1318
49.0,1785112980146.2551
49.0,1785112980166.416
45.0,1785112980189.863
47.0,1785112980216.1392
45.0,1785112980226.46
42.0,1785112980250.143
44.0,1785112980276.195
48.0,1785112980286.6292
43.0,1785112980310.187
43.0,1785112980326.049
42.0,1785112980346.642
43.0,1785112980370.3943
45.0,1785112980386.847
44.0,1785112980406.373
44.0,1785112980430.2988
45.0,1785112980446.1829
43.0,1785112980466.7368
41.0,1785112980490.491
44.0,1785112980506.262
43.0,1785112980526.8582
44.0,1785112980545.9521
46.0,1785112980566.376
44.0,1785112980586.619
46.0,1785112980606.124
44.0,1785112980626.2168
40.0,1785112980647.1082
46.0,1785112980666.2058
42.0,1785112980686.319
46.0,1785112980707.0469
44.0,1785112980726.15
46.0,1785112980746.325
42.0,1785112980767.245
44.0,1785112980786.5
46.0,1785112980806.4268
42.0,1785112980830.065
46.0,1785112980855.732
46.0,1785112980866.1199
45.0,1785112980889.7622
49.0,1785112980915.848
46.0,1785112980926.3152
46.0,1785112980949.884
48.0,1785112980975.9329
46.0,1785112980986.269
45.0,1785112981009.938
48.0,1785112981026.23
45.0,1785112981046.3071
46.0,1785112981070.486
44.0,1785112981086.318
45.0,1785112981106.776
46.0,1785112981130.385
46.0,1785112981146.72
45.0,1785112981166.888
46.0,1785112981186.343
45.0,1785112981206.261
44.0,1785112981226.925
45.0,1785112981246.145
46.0,1785112981266.422
43.0,1785112981286.741
46.0,1785112981306.185
47.0,1785112981326.237
43.0,1785112981347.05
54.0,1785112981366.2563
47.0,1785112981386.714
46.0,1785112981407.1501
51.0,1785112981426.3308
48.0,1785112981446.994
48.0,1785112981470.253
46.0,1785112981486.332
46.0,1785112981506.4902
42.0,1785112981530.137
45.0,1785112981545.9832
45.0,1785112981566.561
41.0,1785112981590.2788
46.0,1785112981606.135
43.0,1785112981626.3528
45.0,1785112981650.3042
49.0,1785112981666.28
46.0,1785112981686.7358
47.0,1785112981710.3591
42.0,1785112981726.313
44.0,1785112981746.724
43.0,1785112981770.457
42.0,1785112981786.3
44.0,1785112981808.3147
45.0,1785112981826.064
44.0,1785112981846.205
44.0,1785112981866.981
46.0,1785112981886.301
46.0,1785112981905.986
46.0,1785112981927.0798
47.0,1785112981946.1528
46.0,1785112981966.3098
