num_points,points,timestamp_ms
8,"[{""range"": 0.6965353623225323, ""doppler"": 0.0, ""angle"": -5.081235766012345, ""elevation"": 0.0}, {""range"": 0.7140753289136019, ""doppler"": 0.0, ""angle"": -4.135705851891442, ""elevation"": 0.0}, {""range"": 0.7228741450948448, ""doppler"": 0.0, ""angle"": -3.2757436007183234, ""elevation"": 0.0}, {""range"": 0.7383750476398585, ""doppler"": 0.0, ""angle"": -2.901208007161195, ""elevation"": 0.0}, {""range"": 0.7843956487143166, ""doppler"": 0.0, ""angle"": -0.9927139771444754, ""elevation"": 0.0}, {""range"": 1.2429403008410076, ""doppler"": 0.0, ""angle"": 0.1566130196407659, ""elevation"": 0.0}, {""range"": 2.075292528144554, ""doppler"": 0.0, ""angle"": 54.64883685255646, ""elevation"": 0.0}, {""range"": 2.0824914383114583, ""doppler"": 0.0, ""angle"": 55.44890938800025, ""elevation"": 0.0}]",1785113069934.6829
7,"[{""range"": 1.1777322786613893, ""doppler"": 0.0, ""angle"": -42.15080343166996, ""elevation"": 0.0}, {""range"": 0.7284714870035149, ""doppler"": 0.0, ""angle"": 1.209601023706759, ""elevation"": 0.0}, {""range"": 0.7299732347049922, ""doppler"": 0.0, ""angle"": 0.7017750404725286, ""elevation"": 0.0}, {""range"": 0.7405314577640003, ""doppler"": 0.0, ""angle"": -0.747113435106475, ""elevation"": 0.0}, {""range"": 0.7766163374504077, ""doppler"": 0.0, ""angle"": -3.511324685526031, ""elevation"": 0.0}, {""range"": 2.074736500668379, ""doppler"": 0.0, ""angle"": 51.631708009501814, ""elevation"": 0.0}, {""range"": 2.0842870430318343, ""doppler"": 0.0, ""angle"": 55.524641027663684, ""elevation"": 0.0}]",1785113069935.2163
8,"[{""range"": 1.1876603584779792, ""doppler"": 0.0, ""angle"": -37.801594492739554, ""elevation"": 0.0}, {""range"": 0.6840380926937144, ""doppler"": 0.0, ""angle"": -2.037389859599253, ""elevation"": 0.0}, {""range"": 0.6949606030569369, ""doppler"": 0.0, ""angle"": -2.7578657775581754, ""elevation"": 0.0}, {""range"": 0.7043807488093523, ""doppler"": 0.0, ""angle"": -2.9393980631690355, ""elevation"": 0.0}, {""range"": 0.7435986005124117, ""doppler"": 0.0, ""angle"": 3.874563669835605, ""elevation"": 0.0}, {""range"": 0.8110177893131165, ""doppler"": 0.0, ""angle"": 17.144523581157742, ""elevation"": 0.0}, {""range"": 2.071086255221893, ""doppler"": 0.0, ""angle"": 48.34592012530028, ""elevation"": 0.0}, {""range"": 2.0851628743733293, ""doppler"": 0.0, ""angle"": 51.50747373719688, ""elevation"": 0.0}]",1785113069935.71
6,"[{""range"": 0.6791230107572997, ""doppler"": 0.0, ""angle"": -4.9089699257043105, ""elevation"": 0.0}, {""range"": 0.7040286102257329, ""doppler"": 0.0, ""angle"": 1.9212726752199065, ""elevation"": 0.0}, {""range"": 0.7201488064989506, ""doppler"": 0.0, ""angle"": 10.09616131787972, ""elevation"": 0.0}, {""range"": 0.7378068567790371, ""doppler"": 0.0, ""angle"": 11.519626628904463, ""elevation"": 0.0}, {""range"": 2.071874795282514, ""doppler"": 0.0, ""angle"": 50.52619292438588, ""elevation"": 0.0}, {""range"": 2.080063572755127, ""doppler"": 0.0, ""angle"": 53.691614540449756, ""elevation"": 0.0}]",1785113069936.188
7,"[{""range"": 0.6896868282427766, ""doppler"": 0.0, ""angle"": -0.11883992190655909, ""elevation"": 0.0}, {""range"": 0.7005494992919302, ""doppler"": 0.0, ""angle"": 1.1261697393283896, ""elevation"": 0.0}, {""range"": 0.7024570621192877, ""doppler"": 0.0, ""angle"": 2.0131338722564225, ""elevation"": 0.0}, {""range"": 0.7303361988820977, ""doppler"": 0.0, ""angle"": 3.8747289649583907, ""elevation"": 0.0}, {""range"": 0.8122593000369307, ""doppler"": 0.0, ""angle"": 13.170462965910323, ""elevation"": 0.0}, {""range"": 2.0853038834315414, ""doppler"": 0.0, ""angle"": 53.827778245622156, ""elevation"": 0.0}, {""range"": 2.0750613381077514, ""doppler"": 0.0, ""angle"": 55.00069911337704, ""elevation"": 0.0}]",1785113069936.658
6,"[{""range"": 1.697635167671664, ""doppler"": 0.0, ""angle"": -12.241440965965307, ""elevation"": 0.0}, {""range"": 0.68404466014212, ""doppler"": 0.0, ""angle"": -0.8837079558027632, ""elevation"": 0.0}, {""range"": 0.7022177105871565, ""doppler"": 0.0, ""angle"": 0.37934008170624073, ""elevation"": 0.0}, {""range"": 0.7214409230799934, ""doppler"": 0.0, ""angle"": 0.9799264520280951, ""elevation"": 0.0}, {""range"": 0.7528135442079527, ""doppler"": 0.0, ""angle"": -0.24496858599438381, ""elevation"": 0.0}, {""range"": 0.7923653814190592, ""doppler"": 0.0, ""angle"": -3.273069711297325, ""elevation"": 0.0}]",1785113069937.129
7,"[{""range"": 0.8005638831761615, ""doppler"": 0.0, ""angle"": -9.474945667487155, ""elevation"": 0.0}, {""range"": 0.6877613733000124, ""doppler"": 0.0, ""angle"": 0.6405657487914732, ""elevation"": 0.0}, {""range"": 0.7017080058493586, ""doppler"": 0.0, ""angle"": 0.6278338200452186, ""elevation"": 0.0}, {""range"": 0.7134690320567009, ""doppler"": 0.0, ""angle"": 0.11487860197591133, ""elevation"": 0.0}, {""range"": 0.7503124945953348, ""doppler"": 0.0, ""angle"": -2.185280014645034, ""elevation"": 0.0}, {""range"": 2.0843620577069606, ""doppler"": 0.0, ""angle"": 48.33502970834191, ""elevation"": 0.0}, {""range"": 2.079627250861047, ""doppler"": 0.0, ""angle"": 50.670037736044726, ""elevation"": 0.0}]",1785113069937.618
6,"[{""range"": 0.8111221013074594, ""doppler"": 0.0, ""angle"": -28.37860440695014, ""elevation"": 0.0}, {""range"": 0.7145882934534624, ""doppler"": 0.0, ""angle"": 3.90276939690846, ""elevation"": 0.0}, {""range"": 0.7222973020074903, ""doppler"": 0.0, ""angle"": 4.486824186169185, ""elevation"": 0.0}, {""range"": 0.7412268961971353, ""doppler"": 0.0, ""angle"": 7.150732585735573, ""elevation"": 0.0}, {""range"": 2.080323348467333, ""doppler"": 0.0, ""angle"": 53.80679269443531, ""elevation"": 0.0}, {""range"": 2.087100316352793, ""doppler"": 0.0, ""angle"": 54.05202608844988, ""elevation"": 0.0}]",1785113069938.118
6,"[{""range"": 0.6865329249667149, ""doppler"": 0.0, ""angle"": -3.0308274894706693, ""elevation"": 0.0}, {""range"": 0.6979519945875485, ""doppler"": 0.0, ""angle"": -2.9664966226958005, ""elevation"": 0.0}, {""range"": 0.7038209586719406, ""doppler"": 0.0, ""angle"": -1.3247742725080447, ""elevation"": 0.0}, {""range"": 0.7389473233584338, ""doppler"": 0.0, ""angle"": 15.97015392277133, ""elevation"": 0.0}, {""range"": 2.0778295274326393, ""doppler"": 0.0, ""angle"": 55.96941115638641, ""elevation"": 0.0}, {""range"": 2.0869852368336383, ""doppler"": 0.0, ""angle"": 56.91583260117269, ""elevation"": 0.0}]",1785113069938.612
6,"[{""range"": 0.8122032229467244, ""doppler"": 0.0, ""angle"": -42.83202536878949, ""elevation"": 0.0}, {""range"": 0.6959736034537622, ""doppler"": 0.0, ""angle"": -3.7122366678560414, ""elevation"": 0.0}, {""range"": 0.7160573803268464, ""doppler"": 0.0, ""angle"": -2.0178322448271877, ""elevation"": 0.0}, {""range"": 0.734972886993241, ""doppler"": 0.0, ""angle"": 2.9006915093914354, ""elevation"": 0.0}, {""range"": 2.075188896807457, ""doppler"": 0.0, ""angle"": 58.73566543171709, ""elevation"": 0.0}, {""range"": 2.084907612376413, ""doppler"": 0.0, ""angle"": 59.720571093806775, ""elevation"": 0.0}]",1785113069939.09
