ax,ay,az,gx,gy,gz,timestamp_ms
-0.911,-0.159,-0.297,12.33,3.39,-1.5,1785113204105.7322
-0.918,-0.158,-0.304,9.83,2.69,-1.13,1785113204127.267
-0.922,-0.16,-0.309,6.38,2.26,-0.64,1785113204127.836
-0.922,-0.166,-0.314,2.53,1.83,-0.21,1785113204128.382
-0.921,-0.173,-0.318,-1.07,1.62,0.12,1785113204128.8608
-0.915,-0.174,-0.323,-4.39,1.62,0.21,1785113204129.343
-0.909,-0.176,-0.321,-7.26,1.74,0.31,1785113204129.817
-0.903,-0.181,-0.312,-9.28,1.86,0.21,1785113204130.29
-0.899,-0.183,-0.303,-10.16,1.95,-0.15,1785113204130.707
-0.894,-0.182,-0.299,-9.64,2.01,-0.55,1785113204131.124
-0.889,-0.18,-0.295,-8.24,2.04,-1.13,1785113204131.522
-0.889,-0.177,-0.298,-6.35,1.83,-1.59,1785113204131.921
-0.888,-0.174,-0.3,-3.91,1.59,-1.95,1785113204132.327
-0.89,-0.172,-0.305,-1.37,1.5,-2.14,1785113204132.719
-0.889,-0.175,-0.314,1.1,1.65,-2.47,1785113204133.118
-0.89,-0.177,-0.318,3.33,1.92,-2.66,1785113204133.513
-0.893,-0.18,-0.317,5.31,2.32,-2.69,1785113204133.913
-0.893,-0.181,-0.309,7.6,2.9,-2.41,1785113204134.3
-0.897,-0.18,-0.301,10.47,3.14,-1.92,1785113204134.691
-0.901,-0.177,-0.298,13.4,3.2,-1.19,1785113204135.081
-0.903,-0.177,-0.295,15.78,3.39,-0.4,1785113204135.466
-0.903,-0.176,-0.298,17.61,3.33,0.27,1785113204135.862
-0.906,-0.174,-0.302,18.59,3.08,1.19,1785113204136.249
-0.91,-0.176,-0.31,18.74,2.81,2.08,1785113204136.775
-0.91,-0.181,-0.312,18.22,2.66,2.75,1785113204137.2852
-0.908,-0.184,-0.314,17.18,2.59,3.36,1785113204137.6938
-0.904,-0.187,-0.31,15.93,2.44,3.75,1785113204138.0962
-0.902,-0.187,-0.309,14.95,2.29,4.03,1785113204138.441
