ax,ay,az,gx,gy,gz,timestamp_ms
0.469,-0.753,-0.481,1.5,-4.94,-4.15,1784845500447.5369
0.474,-0.744,-0.476,1.8,-4.67,-4.76,1784845500449.74
0.473,-0.739,-0.475,2.35,-4.55,-5.55,1784845500450.572
0.469,-0.728,-0.481,3.94,-4.43,-5.68,1784845500451.175
0.467,-0.725,-0.497,3.88,-3.91,-6.1,1784845500451.753
0.47,-0.733,-0.497,1.1,-3.57,-7.42,1784845500452.851
0.476,-0.745,-0.487,-2.75,-3.69,-8.55,1784845500453.791
0.473,-0.754,-0.478,-5.28,-3.85,-9.7,1784845500454.4792
0.468,-0.756,-0.469,-5.16,-3.94,-10.56,1784845500455.336
0.464,-0.745,-0.461,-3.57,-4.09,-10.35,1784845500455.9229
0.457,-0.728,-0.46,-2.72,-4.52,-9.7,1784845500456.5261
0.449,-0.716,-0.454,-3.2,-5.22,-9.31,1784845500457.119
0.438,-0.713,-0.453,-4.64,-6.41,-9.83,1784845500457.835
0.444,-0.707,-0.456,-5.83,-7.57,-10.65,1784845500458.455
0.447,-0.7,-0.457,-6.23,-8.21,-11.2,1784845500459.436
0.439,-0.693,-0.448,-5.92,-8.73,-11.14,1784845500460.119
0.428,-0.683,-0.446,-5.37,-9.46,-9.98,1784845500460.7083
0.414,-0.669,-0.439,-6.16,-10.5,-7.72,1784845500461.377
0.417,-0.669,-0.437,-7.87,-11.72,-5.43,1784845500461.949
0.415,-0.675,-0.433,-8.18,-12.67,-4.3,1784845500462.515
0.407,-0.678,-0.435,-6.56,-13.58,-4.03,1784845500462.983
0.421,-0.673,-0.434,-4.18,-14.07,-4.09,1784845500464.0962
0.432,-0.668,-0.439,-1.56,-14.53,-3.88,1784845500464.8472
0.428,-0.65,-0.452,-0.37,-15.26,-3.33,1784845500465.5403
0.431,-0.632,-0.474,-1.62,-16.21,-1.98,1784845500466.1611
0.435,-0.639,-0.496,-4.91,-17.37,-0.09,1784845500466.706
0.434,-0.65,-0.511,-8.88,-18.68,1.71,1784845500467.183
0.439,-0.663,-0.515,-12.67,-19.65,3.45,1784845500467.653
0.442,-0.674,-0.513,-14.77,-19.81,4.43,1784845500468.126
0.45,-0.705,-0.515,-14.83,-19.9,5.28,1784845500468.601
0.463,-0.749,-0.502,-13.25,-19.47,5.43,1784845500469.331
