ax,ay,az,gx,gy,gz,timestamp_ms
-0.076,-0.385,-0.295,22.22,-119.24,-77.06,1784845591495.548
-0.039,-0.352,-0.315,19.62,-129.95,-77.91,1784845591496.069
-0.007,-0.339,-0.359,16.82,-139.44,-78.16,1784845591496.5872
-0.014,-0.331,-0.415,10.99,-148.32,-78.55,1784845591497.105
-0.04,-0.338,-0.485,3.2,-156.93,-78.37,1784845591497.7632
-0.09,-0.37,-0.523,-5.01,-163.76,-77.15,1784845591498.352
-0.149,-0.403,-0.53,-13.06,-169.77,-75.14,1784845591498.966
-0.183,-0.42,-0.523,-18.43,-175.05,-71.57,1784845591499.5789
-0.195,-0.443,-0.511,-17.49,-178.47,-66.68,1784845591500.176
-0.174,-0.468,-0.541,-11.96,-180.91,-60.73,1784845591501.03
-0.115,-0.459,-0.641,-5.46,-182.5,-55.09,1784845591501.6372
-0.1,-0.429,-0.703,0.95,-182.47,-49.78,1784845591502.245
-0.119,-0.415,-0.713,4.7,-183.05,-43.76,1784845591502.837
-0.138,-0.44,-0.727,7.57,-185.95,-38.7,1784845591503.4658
-0.188,-0.48,-0.694,13.52,-189.34,-34.73,1784845591504.214
-0.248,-0.541,-0.642,30.67,-192.6,-29.45,1784845591504.8398
-0.282,-0.627,-0.573,66.62,-192.88,-25.36,1784845591505.4478
-0.301,-0.724,-0.611,123.33,-189.12,-24.51,1784845591506.044
-0.315,-0.756,-0.815,181.43,-175.85,-20.48,1784845591506.643
-0.35,-0.739,-0.992,222.72,-157.6,-9.49,1784845591507.242
-0.417,-0.654,-1.068,234.17,-148.63,2.87,1784845591507.857
-0.436,-0.621,-1.087,213.48,-149.24,14.8,1784845591508.575
-0.408,-0.68,-0.972,173.71,-154.73,19.07,1784845591509.175
-0.371,-0.741,-0.837,130.59,-163.88,19.71,1784845591509.776
-0.368,-0.797,-0.719,96.65,-169.32,25.21,1784845591510.376
-0.38,-0.854,-0.706,77.73,-171.3,34.27,1784845591511.4087
-0.391,-0.875,-0.836,69.34,-168.19,43.31,1784845591512.133
-0.438,-0.879,-0.984,67.08,-162.21,50.48,1784845591512.6292
-0.479,-0.873,-1.11,62.75,-159.22,56.0,1784845591513.118
-0.494,-0.861,-1.19,52.03,-157.81,61.31,1784845591513.7852
-0.505,-0.849,-1.209,38.27,-156.32,65.71,1784845591514.271
-0.52,-0.838,-1.223,23.44,-154.15,68.18,1784845591514.8262
-0.535,-0.823,-1.236,9.13,-149.91,68.73,1784845591515.326
-0.556,-0.819,-1.196,0.0,-143.62,68.15,1784845591515.8232
-0.584,-0.813,-1.132,-0.43,-136.54,68.76,1784845591516.309
-0.606,-0.802,-1.074,4.94,-127.45,72.57,1784845591516.7942
-0.621,-0.79,-1.017,14.62,-116.61,77.79,1784845591517.28
-0.639,-0.765,-0.977,25.7,-104.98,83.07,1784845591517.76
-0.653,-0.737,-0.961,36.41,-93.23,88.47,1784845591518.2422
-0.68,-0.709,-0.951,45.84,-81.88,92.65,1784845591518.7268
-0.689,-0.681,-0.947,51.97,-70.96,96.65,1784845591519.2058
