num_points,points,timestamp_ms
7,"[{""range"": 0.7930385891712688, ""doppler"": 0.0, ""angle"": -37.40475296510878, ""elevation"": 0.0}, {""range"": 1.639444876463797, ""doppler"": 0.0, ""angle"": -4.1844600828736, ""elevation"": 0.0}, {""range"": 0.6896290602847253, ""doppler"": 0.0, ""angle"": -1.6938562547140206, ""elevation"": 0.0}, {""range"": 0.701959510996633, ""doppler"": 0.0, ""angle"": -1.0363201846325687, ""elevation"": 0.0}, {""range"": 0.7093927622963563, ""doppler"": 0.0, ""angle"": 0.5921460354423312, ""elevation"": 0.0}, {""range"": 0.7291418557093876, ""doppler"": 0.0, ""angle"": 9.129681013347128, ""elevation"": 0.0}, {""range"": 2.6968513234148053, ""doppler"": 0.0, ""angle"": 51.93409665205049, ""elevation"": 0.0}]",1785094519232.012
7,"[{""range"": 0.7903166475522896, ""doppler"": 0.0, ""angle"": -20.862534205059013, ""elevation"": 0.0}, {""range"": 0.7202372453598399, ""doppler"": 0.0, ""angle"": -12.590523887801169, ""elevation"": 0.0}, {""range"": 0.7281776333937683, ""doppler"": 0.0, ""angle"": -13.302553595338043, ""elevation"": 0.0}, {""range"": 0.7463731317831627, ""doppler"": 0.0, ""angle"": -16.79390879802151, ""elevation"": 0.0}, {""range"": 1.653885380859692, ""doppler"": 0.0, ""angle"": -10.2006815055519, ""elevation"": 0.0}, {""range"": 2.0069363683630805, ""doppler"": 0.0, ""angle"": 60.05186444473524, ""elevation"": 0.0}, {""range"": 2.691781664468198, ""doppler"": 0.0, ""angle"": 57.57784980646172, ""elevation"": 0.0}]",1785094519232.581
7,"[{""range"": 0.7858554854828581, ""doppler"": 0.0, ""angle"": -31.679245776207377, ""elevation"": 0.0}, {""range"": 0.7482776909428716, ""doppler"": 0.0, ""angle"": -21.592923434250523, ""elevation"": 0.0}, {""range"": 0.6900220279871019, ""doppler"": 0.0, ""angle"": -4.101484670206467, ""elevation"": 0.0}, {""range"": 0.7065713317868728, ""doppler"": 0.0, ""angle"": -5.227248115689191, ""elevation"": 0.0}, {""range"": 0.7168244504165053, ""doppler"": 0.0, ""angle"": -9.128664534118855, ""elevation"": 0.0}, {""range"": 2.01290338354546, ""doppler"": 0.0, ""angle"": 58.74294973922474, ""elevation"": 0.0}, {""range"": 2.045505813055886, ""doppler"": 0.0, ""angle"": 57.4366120992631, ""elevation"": 0.0}]",1785094519233.106
10,"[{""range"": 0.801067466490198, ""doppler"": 0.0, ""angle"": -38.92945695994848, ""elevation"": 0.0}, {""range"": 0.794500816256651, ""doppler"": 0.0, ""angle"": -12.491043188527726, ""elevation"": 0.0}, {""range"": 0.6873626475129722, ""doppler"": 0.0, ""angle"": 0.1341470013994574, ""elevation"": 0.0}, {""range"": 0.6976367612598822, ""doppler"": 0.0, ""angle"": 1.5715668883051839, ""elevation"": 0.0}, {""range"": 0.7076431942397498, ""doppler"": 0.0, ""angle"": 3.9556454803841574, ""elevation"": 0.0}, {""range"": 0.7365074190903657, ""doppler"": 0.0, ""angle"": 13.6212595056383, ""elevation"": 0.0}, {""range"": 0.790946909844258, ""doppler"": 0.0, ""angle"": 27.289175657607753, ""elevation"": 0.0}, {""range"": 1.975871675028911, ""doppler"": 0.0, ""angle"": 47.81699749543767, ""elevation"": 0.0}, {""range"": 2.004302808672851, ""doppler"": 0.0, ""angle"": 50.67678565357425, ""elevation"": 0.0}, {""range"": 2.6973389013528606, ""doppler"": 0.0, ""angle"": 49.89679875094695, ""elevation"": 0.0}]",1785094519233.6277
11,"[{""range"": 0.8002231235023465, ""doppler"": 0.0, ""angle"": -22.7833500639319, ""elevation"": 0.0}, {""range"": 0.6924649201034804, ""doppler"": 0.0, ""angle"": -7.433321593947023, ""elevation"": 0.0}, {""range"": 0.7087896552435592, ""doppler"": 0.0, ""angle"": -5.123761269782643, ""elevation"": 0.0}, {""range"": 0.7204742496910721, ""doppler"": 0.0, ""angle"": -4.270009831859636, ""elevation"": 0.0}, {""range"": 0.7441771497124304, ""doppler"": 0.0, ""angle"": -7.191613505480923, ""elevation"": 0.0}, {""range"": 1.6272092586016718, ""doppler"": 0.0, ""angle"": -5.441824380639558, ""elevation"": 0.0}, {""range"": 1.606028199106134, ""doppler"": 0.0, ""angle"": -2.0162647018500715, ""elevation"": 0.0}, {""range"": 1.9260254141781703, ""doppler"": 0.0, ""angle"": 50.280925888064566, ""elevation"": 0.0}, {""range"": 2.6927126559007033, ""doppler"": 0.0, ""angle"": 52.64460166444497, ""elevation"": 0.0}, {""range"": 1.9553186307693267, ""doppler"": 0.0, ""angle"": 63.172502198036966, ""elevation"": 0.0}, {""range"": 2.007361316282071, ""doppler"": 0.0, ""angle"": 64.97354812951352, ""elevation"": 0.0}]",1785094519234.174
7,"[{""range"": 0.7530817998096228, ""doppler"": 0.0, ""angle"": -38.69592751550941, ""elevation"": 0.0}, {""range"": 0.8041026431324529, ""doppler"": 0.0, ""angle"": -38.68965602150523, ""elevation"": 0.0}, {""range"": 0.8747136835186575, ""doppler"": 0.0, ""angle"": -41.104388919135836, ""elevation"": 0.0}, {""range"": 0.7058935703597147, ""doppler"": 0.0, ""angle"": 3.0638974405312682, ""elevation"": 0.0}, {""range"": 0.7043725779024227, ""doppler"": 0.0, ""angle"": 4.30945966469057, ""elevation"": 0.0}, {""range"": 2.6960786920371427, ""doppler"": 0.0, ""angle"": 48.54918093241087, ""elevation"": 0.0}, {""range"": 2.722645144810559, ""doppler"": 0.0, ""angle"": 60.217312651533064, ""elevation"": 0.0}]",1785094519234.679
8,"[{""range"": 0.7178494246244941, ""doppler"": 0.0, ""angle"": -9.187800118447468, ""elevation"": 0.0}, {""range"": 0.721940039907461, ""doppler"": 0.0, ""angle"": -6.427953265150426, ""elevation"": 0.0}, {""range"": 0.7370715795470552, ""doppler"": 0.0, ""angle"": -0.0694999410624355, ""elevation"": 0.0}, {""range"": 1.9231008015417594, ""doppler"": 0.0, ""angle"": 39.48020091937754, ""elevation"": 0.0}, {""range"": 1.9569802992408811, ""doppler"": 0.0, ""angle"": 39.118491745184784, ""elevation"": 0.0}, {""range"": 2.0921748717316575, ""doppler"": 0.0, ""angle"": 39.409309817325, ""elevation"": 0.0}, {""range"": 2.0108722508080747, ""doppler"": 0.0, ""angle"": 45.53680571936528, ""elevation"": 0.0}, {""range"": 2.0539804246582642, ""doppler"": 0.0, ""angle"": 46.36862894419008, ""elevation"": 0.0}]",1785094519235.1748
8,"[{""range"": 0.6834820147972063, ""doppler"": 0.0, ""angle"": 2.384071925193822, ""elevation"": 0.0}, {""range"": 0.7072661430496013, ""doppler"": 0.0, ""angle"": -2.3473488368911988, ""elevation"": 0.0}, {""range"": 0.7206408761550122, ""doppler"": 0.0, ""angle"": -2.8872537714846778, ""elevation"": 0.0}, {""range"": 0.7367252362213985, ""doppler"": 0.0, ""angle"": -2.545730566802008, ""elevation"": 0.0}, {""range"": 0.7848877702979644, ""doppler"": 0.0, ""angle"": -2.258785723589911, ""elevation"": 0.0}, {""range"": 2.8160080794353344, ""doppler"": 0.0, ""angle"": -3.432904022781088, ""elevation"": 0.0}, {""range"": 1.9229081656524043, ""doppler"": 0.0, ""angle"": 56.88477734230907, ""elevation"": 0.0}, {""range"": 2.698279262438956, ""doppler"": 0.0, ""angle"": 59.66594225103886, ""elevation"": 0.0}]",1785094519235.677
7,"[{""range"": 0.7532502547137275, ""doppler"": 0.0, ""angle"": -38.755396719814584, ""elevation"": 0.0}, {""range"": 0.6980041493502435, ""doppler"": 0.0, ""angle"": -15.253831359954367, ""elevation"": 0.0}, {""range"": 0.6866204780621122, ""doppler"": 0.0, ""angle"": -4.690531929131865, ""elevation"": 0.0}, {""range"": 0.675273818517624, ""doppler"": 0.0, ""angle"": -1.5629142988496498, ""elevation"": 0.0}, {""range"": 0.8127507389649425, ""doppler"": 0.0, ""angle"": 5.669200804151783, ""elevation"": 0.0}, {""range"": 2.021305705952291, ""doppler"": 0.0, ""angle"": 47.41638225185926, ""elevation"": 0.0}, {""range"": 2.0546461896886075, ""doppler"": 0.0, ""angle"": 44.39705725701105, ""elevation"": 0.0}]",1785094519236.275
7,"[{""range"": 0.8900415936160012, ""doppler"": 0.0, ""angle"": -41.91363026137811, ""elevation"": 0.0}, {""range"": 0.7403955003886482, ""doppler"": 0.0, ""angle"": -29.041163850786706, ""elevation"": 0.0}, {""range"": 0.7119567009993677, ""doppler"": 0.0, ""angle"": -19.636400101313267, ""elevation"": 0.0}, {""range"": 0.6978950024065523, ""doppler"": 0.0, ""angle"": -15.332371392666033, ""elevation"": 0.0}, {""range"": 1.9230352920413232, ""doppler"": 0.0, ""angle"": 53.47320589464013, ""elevation"": 0.0}, {""range"": 1.9580783653312714, ""doppler"": 0.0, ""angle"": 60.60946888099715, ""elevation"": 0.0}, {""range"": 2.6988351624639333, ""doppler"": 0.0, ""angle"": 64.30930164199226, ""elevation"": 0.0}]",1785094519236.691
