ax,ay,az,gx,gy,gz,timestamp_ms
-0.904,-0.49,-0.364,-20.6,-35.92,42.88,1785094593252.776
-0.897,-0.481,-0.377,-16.02,-35.62,41.14,1785094593253.4722
-0.906,-0.468,-0.375,-14.1,-33.45,36.93,1785094593254.07
-0.908,-0.462,-0.38,-13.92,-32.47,33.75,1785094593254.56
-0.902,-0.442,-0.369,-16.48,-31.71,29.88,1785094593255.004
-0.895,-0.412,-0.342,-19.68,-31.4,25.64,1785094593255.404
-0.892,-0.388,-0.334,-23.07,-31.37,21.3,1785094593255.8
-0.891,-0.375,-0.336,-28.53,-30.95,16.97,1785094593256.208
-0.888,-0.363,-0.346,-36.13,-30.0,12.18,1785094593256.595
-0.886,-0.359,-0.364,-45.05,-28.47,6.65,1785094593256.985
-0.888,-0.365,-0.363,-53.47,-26.46,1.16,1785094593257.3782
-0.908,-0.376,-0.349,-59.94,-24.32,-4.03,1785094593257.7642
-0.89,-0.388,-0.324,-64.97,-22.92,-7.32,1785094593258.162
-0.899,-0.363,-0.288,-67.17,-20.05,-11.69,1785094593258.558
-0.891,-0.382,-0.278,-64.88,-18.86,-12.3,1785094593258.95
-0.89,-0.386,-0.261,-61.62,-18.59,-14.31,1785094593259.3438
-0.883,-0.384,-0.255,-56.92,-18.25,-14.92,1785094593259.746
-0.875,-0.376,-0.254,-52.1,-17.94,-14.95,1785094593260.1443
-0.876,-0.364,-0.265,-47.61,-17.3,-15.2,1785094593260.538
-0.866,-0.371,-0.284,-43.89,-16.75,-15.14,1785094593260.931
-0.873,-0.357,-0.295,-40.74,-14.56,-16.45,1785094593261.3271
-0.882,-0.347,-0.307,-37.51,-13.03,-14.89,1785094593261.727
-0.877,-0.337,-0.297,-34.18,-11.57,-12.67,1785094593262.119
-0.87,-0.332,-0.284,-29.42,-8.76,-11.54,1785094593262.504
-0.863,-0.344,-0.264,-23.56,-6.62,-10.32,1785094593262.8647
-0.864,-0.351,-0.254,-17.52,-5.1,-8.88,1785094593263.191
-0.867,-0.346,-0.251,-12.36,-4.24,-6.59,1785094593263.5142
-0.867,-0.334,-0.254,-9.25,-3.94,-4.27,1785094593263.835
-0.862,-0.331,-0.255,-7.72,-3.69,-2.2,1785094593264.158
-0.861,-0.331,-0.26,-6.74,-2.84,-1.31,1785094593264.482
-0.862,-0.331,-0.271,-5.95,-2.41,-0.85,1785094593264.7979
-0.873,-0.329,-0.282,-5.92,-2.35,0.03,1785094593265.145
-0.881,-0.329,-0.28,-5.46,-2.11,1.16,1785094593265.506
-0.883,-0.324,-0.274,-5.04,-1.1,1.86,1785094593265.866
-0.884,-0.322,-0.27,-5.07,-0.79,2.59,1785094593266.2202
-0.885,-0.324,-0.263,-5.86,-0.34,3.08,1785094593266.552
-0.89,-0.325,-0.267,-7.11,0.0,3.17,1785094593266.904
-0.895,-0.334,-0.275,-8.64,-0.27,3.33,1785094593267.2341
-0.896,-0.344,-0.264,-10.13,-0.18,2.81,1785094593267.562
-0.894,-0.349,-0.254,-11.08,-0.15,2.23,1785094593267.89
-0.892,-0.341,-0.25,-11.17,0.12,1.95,1785094593268.208
-0.891,-0.341,-0.249,-10.32,0.55,2.08,1785094593268.543
-0.894,-0.35,-0.252,-8.55,0.79,2.14,1785094593268.8442
-0.901,-0.351,-0.256,-6.13,1.31,0.92,1785094593269.1208
-0.902,-0.347,-0.262,-4.88,1.5,-0.7,1785094593269.403
-0.899,-0.346,-0.259,-6.04,1.19,-2.2,1785094593269.689
-0.9,-0.344,-0.252,-8.51,0.61,-3.42,1785094593269.9749
-0.9,-0.341,-0.25,-10.59,0.18,-3.45,1785094593270.2542
-0.901,-0.349,-0.248,-11.05,-0.09,-3.51,1785094593270.5688
-0.9,-0.349,-0.245,-11.08,-0.7,-4.18,1785094593270.855
-0.896,-0.342,-0.243,-11.08,-1.19,-5.28,1785094593271.137
-0.892,-0.337,-0.248,-11.54,-1.5,-6.23,1785094593271.4229
-0.894,-0.337,-0.256,-11.99,-1.86,-6.38,1785094593271.7068
-0.892,-0.343,-0.264,-12.12,-1.92,-6.5,1785094593271.989
