num_points,points,timestamp_ms
6,"[{""range"": 1.3138955992141246, ""doppler"": 0.0, ""angle"": -7.255585505629588, ""elevation"": 0.0}, {""range"": 0.5377502279864248, ""doppler"": 0.0, ""angle"": 1.6958866052049055, ""elevation"": 0.0}, {""range"": 0.5489377513238243, ""doppler"": 0.0, ""angle"": 2.4830672804032803, ""elevation"": 0.0}, {""range"": 0.5801803482403246, ""doppler"": 0.0, ""angle"": 1.8014935358475197, ""elevation"": 0.0}, {""range"": 0.6502852868188586, ""doppler"": 0.0, ""angle"": 19.969646065559473, ""elevation"": 0.0}, {""range"": 0.6579299494550409, ""doppler"": 0.0, ""angle"": 22.83667558930325, ""elevation"": 0.0}]",1785104836410.067
8,"[{""range"": 1.2844020809857513, ""doppler"": 0.0, ""angle"": -5.568518754128034, ""elevation"": 0.0}, {""range"": 1.3111163584755787, ""doppler"": 0.0, ""angle"": -4.568312976671256, ""elevation"": 0.0}, {""range"": 0.578465150345946, ""doppler"": 0.0, ""angle"": 3.189654498971155, ""elevation"": 0.0}, {""range"": 0.552550970700175, ""doppler"": 0.0, ""angle"": 5.6644687073466855, ""elevation"": 0.0}, {""range"": 0.5629079977291208, ""doppler"": 0.0, ""angle"": 4.335888713625172, ""elevation"": 0.0}, {""range"": 0.6211353931360251, ""doppler"": 0.0, ""angle"": 16.301110936087348, ""elevation"": 0.0}, {""range"": 0.6591608677244439, ""doppler"": 0.0, ""angle"": 22.118898340287007, ""elevation"": 0.0}, {""range"": 2.615608438683013, ""doppler"": 0.0, ""angle"": 22.429137841130117, ""elevation"": 0.0}]",1785104836410.5742
4,"[{""range"": 0.5620524742155494, ""doppler"": 0.0, ""angle"": 6.503243624216329, ""elevation"": 0.0}, {""range"": 0.5925065213886583, ""doppler"": 0.0, ""angle"": 6.063310447525288, ""elevation"": 0.0}, {""range"": 0.6326499161541541, ""doppler"": 0.0, ""angle"": 9.550178685049726, ""elevation"": 0.0}, {""range"": 0.6549866544523076, ""doppler"": 0.0, ""angle"": 10.380395764314114, ""elevation"": 0.0}]",1785104836411.0159
4,"[{""range"": 0.5586648697520752, ""doppler"": 0.0, ""angle"": 3.6335317559820877, ""elevation"": 0.0}, {""range"": 0.5956262358954844, ""doppler"": 0.0, ""angle"": 6.879662620783771, ""elevation"": 0.0}, {""range"": 0.6376361484273402, ""doppler"": 0.0, ""angle"": 20.040761942076003, ""elevation"": 0.0}, {""range"": 0.6545966621136281, ""doppler"": 0.0, ""angle"": 22.586154470182677, ""elevation"": 0.0}]",1785104836411.4812
4,"[{""range"": 0.6377587417748635, ""doppler"": 0.0, ""angle"": 1.7191608661100344, ""elevation"": 0.0}, {""range"": 0.6656165145273442, ""doppler"": 0.0, ""angle"": 2.4481001387886687, ""elevation"": 0.0}, {""range"": 0.5673156062135069, ""doppler"": 0.0, ""angle"": 7.971756571602655, ""elevation"": 0.0}, {""range"": 0.5939819404484403, ""doppler"": 0.0, ""angle"": 8.53503002140166, ""elevation"": 0.0}]",1785104836411.9329
5,"[{""range"": 0.6534640182757696, ""doppler"": 0.0, ""angle"": 2.823258074842711, ""elevation"": 0.0}, {""range"": 0.5595755445842038, ""doppler"": 0.0, ""angle"": 5.298859114944039, ""elevation"": 0.0}, {""range"": 0.5910590396042492, ""doppler"": 0.0, ""angle"": 8.157067379104083, ""elevation"": 0.0}, {""range"": 0.6246432461504932, ""doppler"": 0.0, ""angle"": 8.262317796257513, ""elevation"": 0.0}, {""range"": 2.6038271871622, ""doppler"": 0.0, ""angle"": 18.41504063070266, ""elevation"": 0.0}]",1785104836412.352
5,"[{""range"": 0.5561596306685342, ""doppler"": 0.0, ""angle"": 5.091025098191066, ""elevation"": 0.0}, {""range"": 0.5841683747909291, ""doppler"": 0.0, ""angle"": 6.485449977221325, ""elevation"": 0.0}, {""range"": 0.6722873412542684, ""doppler"": 0.0, ""angle"": 16.058434082921845, ""elevation"": 0.0}, {""range"": 1.9430300430066993, ""doppler"": 0.0, ""angle"": 49.58343571960084, ""elevation"": 0.0}, {""range"": 1.967276294692797, ""doppler"": 0.0, ""angle"": 59.05678567104625, ""elevation"": 0.0}]",1785104836412.7732
4,"[{""range"": 0.6689368100869266, ""doppler"": 0.0, ""angle"": -38.1718503184229, ""elevation"": 0.0}, {""range"": 0.6366672579984887, ""doppler"": 0.0, ""angle"": -33.15002047351979, ""elevation"": 0.0}, {""range"": 0.5553117904272211, ""doppler"": 0.0, ""angle"": 2.7315763435173968, ""elevation"": 0.0}, {""range"": 1.9690670230103293, ""doppler"": 0.0, ""angle"": 51.2670586108123, ""elevation"": 0.0}]",1785104836413.1829
3,"[{""range"": 0.6809544531196898, ""doppler"": 0.0, ""angle"": -32.21270990260002, ""elevation"": 0.0}, {""range"": 1.2850181568388035, ""doppler"": 0.0, ""angle"": 3.358501550792362, ""elevation"": 0.0}, {""range"": 0.5474526949928092, ""doppler"": 0.0, ""angle"": 4.98433176980325, ""elevation"": 0.0}]",1785104836413.575
4,"[{""range"": 0.5582728534910557, ""doppler"": 0.0, ""angle"": 7.268420527199975, ""elevation"": 0.0}, {""range"": 0.5934239930539308, ""doppler"": 0.0, ""angle"": 14.358667530843409, ""elevation"": 0.0}, {""range"": 0.6275488208837611, ""doppler"": 0.0, ""angle"": 15.552949832137948, ""elevation"": 0.0}, {""range"": 0.6588946275738014, ""doppler"": 0.0, ""angle"": 17.97273749089092, ""elevation"": 0.0}]",1785104836414.268
