distance_cm,timestamp_ms
55.0,1785106259544.032
53.0,1785106259544.916
53.0,1785106259547.5159
50.0,1785106259567.057
54.0,1785106259586.9539
51.0,1785106259614.077
52.0,1785106259634.956
54.0,1785106259648.2593
51.0,1785106259674.3623
55.0,1785106259697.998
51.0,1785106259713.988
50.0,1785106259734.942
52.0,1785106259748.2148
52.0,1785106259774.821
51.0,1785106259788.338
49.0,1785106259815.13
50.0,1785106259828.367
48.0,1785106259855.542
48.0,1785106259868.743
49.0,1785106259897.977
55.0,1785106259914.8271
54.0,1785106259938.685
58.0,1785106259955.4062
53.0,1785106259968.618
31.0,1785106259998.442
69.0,1785106260014.946
54.0,1785106260038.841
57.0,1785106260068.6
32.0,1785106260095.459
47.0,1785106260108.8489
44.0,1785106260135.615
43.0,1785106260148.8918
33.0,1785106260178.695
35.0,1785106260195.4172
31.0,1785106260208.728
39.0,1785106260238.56
38.0,1785106260255.277
47.0,1785106260268.618
48.0,1785106260298.562
52.0,1785106260315.0999
48.0,1785106260328.379
54.0,1785106260355.5168
57.0,1785106260368.802
62.0,1785106260398.7358
64.0,1785106260415.634
69.0,1785106260428.9841
67.0,1785106260448.264
74.0,1785106260478.7058
63.0,1785106260495.61
63.0,1785106260508.888
66.0,1785106260538.8647
65.0,1785106260555.389
67.0,1785106260568.727
69.0,1785106260595.6511
76.0,1785106260608.9548
71.0,1785106260635.593
68.0,1785106260648.8408
69.0,1785106260675.585
72.0,1785106260688.9028
71.0,1785106260715.5789
80.0,1785106260728.789
75.0,1785106260755.526
69.0,1785106260768.7969
60.0,1785106260798.757
62.0,1785106260815.344
67.0,1785106260828.563
64.0,1785106260858.269
80.0,1785106260874.773
79.0,1785106260898.3018
82.0,1785106260914.9001
74.0,1785106260928.3672
74.0,1785106260955.942
77.0,1785106260968.8
61.0,1785106260998.1538
85.0,1785106261015.2869
86.0,1785106261028.22
80.0,1785106261058.146
66.0,1785106261075.571
75.0,1785106261088.674
75.0,1785106261118.891
76.0,1785106261138.251
77.0,1785106261155.312
71.0,1785106261168.604
79.0,1785106261198.778
86.0,1785106261218.1829
87.0,1785106261235.1538
85.0,1785106261248.398
84.0,1785106261278.7322
84.0,1785106261295.686
88.0,1785106261309.1982
88.0,1785106261328.32
92.0,1785106261358.6782
91.0,1785106261375.691
92.0,1785106261388.6973
85.0,1785106261418.946
99.0,1785106261435.5251
97.0,1785106261448.7942
98.0,1785106261478.652
93.0,1785106261494.951
97.0,1785106261518.872
103.0,1785106261538.176
104.0,1785106261555.1418
100.0,1785106261568.4412
73.0,1785106261598.6072
156.0,1785106261615.407
134.0,1785106261628.644
131.0,1785106261658.5942
117.0,1785106261675.312
114.0,1785106261688.571
96.0,1785106261715.1301
119.0,1785106261728.385
123.0,1785106261754.92
127.0,1785106261778.741
129.0,1785106261794.968
126.0,1785106261818.85
124.0,1785106261835.338
118.0,1785106261848.5461
117.0,1785106261875.453
118.0,1785106261888.58
119.0,1785106261915.173
114.0,1785106261938.903
109.0,1785106261955.21
116.0,1785106261968.4219
123.0,1785106261995.5398
117.0,1785106262008.8818
82.0,1785106262038.4463
121.0,1785106262054.9177
122.0,1785106262078.899
111.0,1785106262095.304
115.0,1785106262108.757
104.0,1785106262135.5178
92.0,1785106262148.9512
94.0,1785106262178.414
92.0,1785106262194.976
94.0,1785106262218.896
82.0,1785106262235.2869
86.0,1785106262248.55
86.0,1785106262275.6428
83.0,1785106262288.793
79.0,1785106262318.572
77.0,1785106262335.222
75.0,1785106262348.506
72.0,1785106262378.534
66.0,1785106262394.94
67.0,1785106262418.709
64.0,1785106262435.153
67.0,1785106262448.459
67.0,1785106262475.636
69.0,1785106262488.776
62.0,1785106262518.54
