ax,ay,az,gx,gy,gz,timestamp_ms
-0.869,-0.303,-0.376,-17.24,-13.61,-8.88,1785106391855.7078
-0.872,-0.308,-0.375,-19.47,-12.51,-9.74,1785106391856.164
-0.867,-0.317,-0.364,-21.33,-11.32,-10.56,1785106391856.542
-0.865,-0.329,-0.358,-21.64,-10.19,-11.26,1785106391856.917
-0.868,-0.332,-0.353,-20.54,-9.25,-11.9,1785106391857.2659
-0.872,-0.323,-0.356,-18.59,-8.76,-12.57,1785106391857.6262
-0.875,-0.307,-0.36,-17.61,-8.21,-13.12,1785106391857.991
-0.877,-0.293,-0.353,-18.04,-7.87,-13.15,1785106391858.3438
-0.877,-0.288,-0.355,-19.38,-7.72,-12.91,1785106391858.693
-0.877,-0.288,-0.351,-21.49,-6.96,-12.7,1785106391859.0432
-0.877,-0.289,-0.343,-22.55,-5.86,-12.15,1785106391859.4072
-0.879,-0.29,-0.338,-21.88,-4.79,-11.44,1785106391859.761
-0.879,-0.293,-0.331,-20.23,-3.45,-10.68,1785106391860.111
-0.875,-0.298,-0.319,-17.91,-2.14,-10.1,1785106391860.4648
-0.875,-0.308,-0.306,-15.44,-1.13,-9.8,1785106391860.82
-0.877,-0.316,-0.298,-13.31,-0.31,-9.43,1785106391861.1782
-0.879,-0.319,-0.301,-10.04,0.34,-8.97,1785106391861.532
-0.878,-0.32,-0.309,-6.56,0.79,-8.45,1785106391861.8901
-0.877,-0.314,-0.321,-3.6,1.25,-8.21,1785106391862.24
-0.871,-0.309,-0.328,-2.11,1.59,-7.72,1785106391862.571
-0.868,-0.306,-0.327,-1.62,1.95,-7.17,1785106391862.893
-0.871,-0.304,-0.326,-2.11,2.5,-6.96,1785106391863.1968
-0.868,-0.31,-0.322,-3.63,2.78,-6.81,1785106391863.575
-0.866,-0.315,-0.325,-5.65,3.3,-6.96,1785106391863.9119
-0.866,-0.322,-0.329,-7.35,3.88,-7.42,1785106391864.254
-0.868,-0.316,-0.329,-9.43,4.09,-8.06,1785106391864.591
-0.872,-0.313,-0.333,-11.44,4.52,-7.93,1785106391864.8901
-0.877,-0.32,-0.329,-13.06,4.91,-8.36,1785106391865.191
-0.883,-0.328,-0.318,-14.01,5.04,-8.85,1785106391865.497
-0.881,-0.342,-0.313,-13.58,4.91,-9.16,1785106391865.7988
-0.883,-0.352,-0.308,-11.6,4.79,-9.09,1785106391866.103
-0.884,-0.356,-0.299,-8.24,4.52,-9.13,1785106391866.406
-0.887,-0.351,-0.296,-4.27,3.88,-9.4,1785106391866.7048
-0.887,-0.344,-0.303,-0.49,3.3,-9.03,1785106391867.004
-0.885,-0.336,-0.306,1.86,2.87,-8.85,1785106391867.316
-0.885,-0.336,-0.306,3.39,2.78,-8.85,1785106391867.6172
-0.885,-0.33,-0.305,4.15,2.81,-8.61,1785106391867.913
-0.885,-0.333,-0.306,4.33,2.99,-8.58,1785106391868.211
-0.882,-0.334,-0.308,3.88,3.23,-8.7,1785106391868.511
-0.873,-0.329,-0.309,3.11,3.3,-8.76,1785106391868.807
-0.868,-0.329,-0.311,3.11,3.3,-8.76,1785106391869.107
-0.867,-0.332,-0.317,2.29,3.36,-9.4,1785106391869.4038
-0.868,-0.335,-0.317,1.31,3.33,-9.92,1785106391869.703
-0.863,-0.336,-0.318,0.03,3.08,-10.16,1785106391870.003
-0.863,-0.338,-0.323,-1.46,3.08,-10.62,1785106391870.314
-0.866,-0.332,-0.327,-2.9,3.08,-10.65,1785106391870.62
-0.868,-0.333,-0.331,-3.72,2.96,-10.56,1785106391870.9053
-0.866,-0.338,-0.325,-4.27,2.99,-10.71,1785106391871.1848
-0.863,-0.341,-0.319,-4.67,2.53,-10.47,1785106391871.468
-0.858,-0.345,-0.319,-4.24,2.44,-10.04,1785106391871.747
-0.857,-0.34,-0.318,-3.69,2.41,-9.61,1785106391872.021
-0.857,-0.338,-0.316,-2.96,2.38,-9.25,1785106391872.296
-0.86,-0.338,-0.313,-2.2,2.23,-8.91,1785106391872.5737
-0.86,-0.332,-0.318,-1.59,1.46,-8.55,1785106391872.848
-0.87,-0.33,-0.329,-1.28,1.53,-8.3,1785106391873.124
-0.87,-0.33,-0.325,-1.16,1.62,-7.42,1785106391873.398
-0.87,-0.318,-0.323,-0.95,0.67,-6.56,1785106391873.678
-0.872,-0.304,-0.324,-0.92,0.37,-5.22,1785106391873.954
-0.878,-0.291,-0.329,-1.74,0.37,-3.91,1785106391874.2368
-0.882,-0.279,-0.333,-2.75,0.4,-1.95,1785106391874.516
-0.882,-0.275,-0.337,-3.57,0.58,-0.03,1785106391874.79
-0.869,-0.278,-0.335,-4.36,0.55,2.14,1785106391875.0688
