ax,ay,az,gx,gy,gz,timestamp_ms
-0.155,-0.736,-0.722,48.98,48.22,-80.87,1785100928647.3657
-0.099,-0.714,-0.7,51.18,47.49,-79.96,1785100928699.298
-0.035,-0.683,-0.684,50.94,45.17,-78.55,1785100928699.6082
0.01,-0.658,-0.675,47.7,42.57,-76.63,1785100928699.901
0.039,-0.642,-0.672,43.46,41.57,-75.08,1785100928700.16
0.058,-0.63,-0.675,40.93,42.88,-73.76,1785100928700.414
0.065,-0.645,-0.673,42.39,46.45,-71.87,1785100928700.658
0.064,-0.666,-0.621,46.21,50.23,-70.68,1785100928700.9048
0.115,-0.666,-0.553,51.15,49.1,-67.84,1785100928701.2961
0.196,-0.651,-0.519,55.67,43.73,-63.08,1785100928701.5522
0.231,-0.628,-0.482,58.47,38.36,-58.05,1785100928701.801
0.229,-0.602,-0.454,60.06,32.75,-52.64,1785100928702.045
0.225,-0.593,-0.457,61.43,27.07,-47.3,1785100928702.293
0.226,-0.608,-0.485,63.02,23.5,-42.94,1785100928702.548
0.234,-0.643,-0.557,64.97,23.38,-39.58,1785100928702.826
0.255,-0.649,-0.605,65.4,27.04,-36.81,1785100928703.0652
0.3,-0.633,-0.568,64.97,29.51,-32.87,1785100928703.298
0.375,-0.625,-0.523,63.57,26.28,-28.08,1785100928703.5288
0.435,-0.641,-0.491,59.63,20.33,-24.66,1785100928703.764
0.428,-0.637,-0.438,52.06,13.95,-22.37,1785100928704.005
0.398,-0.652,-0.39,46.45,7.26,-18.62,1785100928704.244
0.383,-0.677,-0.433,42.57,1.04,-15.41,1785100928704.4658
0.374,-0.686,-0.521,38.58,-0.12,-13.46,1785100928704.698
0.361,-0.703,-0.569,35.71,3.6,-11.29,1785100928704.927
0.359,-0.751,-0.574,32.84,7.2,-10.62,1785100928705.154
0.369,-0.745,-0.587,24.63,9.83,-11.32,1785100928705.409
0.398,-0.71,-0.565,12.85,12.21,-7.57,1785100928705.6511
0.414,-0.685,-0.504,2.69,13.28,-1.22,1785100928705.869
0.402,-0.662,-0.45,-6.35,12.42,4.39,1785100928706.084
0.376,-0.635,-0.404,-16.48,11.26,9.49,1785100928706.304
0.37,-0.633,-0.4,-25.61,10.47,13.95,1785100928706.524
0.381,-0.647,-0.446,-37.02,10.9,15.9,1785100928706.743
0.396,-0.654,-0.496,-52.71,13.82,16.08,1785100928706.971
0.43,-0.661,-0.532,-68.94,18.62,16.27,1785100928707.236
0.47,-0.68,-0.544,-82.4,22.61,17.24,1785100928707.468
0.487,-0.669,-0.546,-94.91,23.8,18.62,1785100928707.724
0.481,-0.625,-0.508,-104.43,23.44,23.16,1785100928707.953
0.488,-0.637,-0.47,-104.37,22.49,29.97,1785100928708.1777
0.498,-0.721,-0.494,-97.63,21.79,33.39,1785100928708.4019
0.48,-0.736,-0.549,-93.69,22.71,32.41,1785100928708.621
0.492,-0.674,-0.633,-88.41,24.08,33.39,1785100928708.8352
0.539,-0.643,-0.727,-84.69,25.06,36.53,1785100928709.071
0.564,-0.585,-0.77,-90.61,25.54,39.22,1785100928709.2742
0.582,-0.521,-0.791,-95.22,27.22,42.66,1785100928709.486
0.59,-0.544,-0.786,-91.56,28.93,45.44,1785100928709.7017
0.569,-0.619,-0.739,-81.97,29.76,44.68,1785100928709.9111
0.526,-0.699,-0.695,-65.16,29.27,42.94,1785100928710.1172
0.487,-0.741,-0.658,-41.41,27.59,44.71,1785100928710.355
