num_points,points,timestamp_ms
8,"[{""range"": 1.2230586714695932, ""doppler"": 0.0, ""angle"": -26.95091334985791, ""elevation"": 0.0}, {""range"": 1.168549402852727, ""doppler"": 0.0, ""angle"": -20.6535305567615, ""elevation"": 0.0}, {""range"": 1.270790386790544, ""doppler"": 0.0, ""angle"": -24.960395507466824, ""elevation"": 0.0}, {""range"": 1.116847456323403, ""doppler"": 0.0, ""angle"": -10.90874083856691, ""elevation"": 0.0}, {""range"": 1.0793956181850337, ""doppler"": 0.0, ""angle"": -9.593397895235045, ""elevation"": 0.0}, {""range"": 1.0917250861655214, ""doppler"": 0.0, ""angle"": -9.979167466337932, ""elevation"": 0.0}, {""range"": 1.881266595106736, ""doppler"": 0.0, ""angle"": 53.187829433592356, ""elevation"": 0.0}, {""range"": 1.9014462698307544, ""doppler"": 0.0, ""angle"": 53.31976569228052, ""elevation"": 0.0}]",1785101135257.406
7,"[{""range"": 1.2217598380711194, ""doppler"": 0.0, ""angle"": -20.80632068510341, ""elevation"": 0.0}, {""range"": 1.1632896998240865, ""doppler"": 0.0, ""angle"": -16.521249967413787, ""elevation"": 0.0}, {""range"": 1.0780485078921727, ""doppler"": 0.0, ""angle"": -9.682617395142247, ""elevation"": 0.0}, {""range"": 1.0914832138725115, ""doppler"": 0.0, ""angle"": -9.686078457700074, ""elevation"": 0.0}, {""range"": 1.1157255882207966, ""doppler"": 0.0, ""angle"": -10.04202363552951, ""elevation"": 0.0}, {""range"": 1.8845824315606114, ""doppler"": 0.0, ""angle"": 54.92113366623129, ""elevation"": 0.0}, {""range"": 1.8984757934147334, ""doppler"": 0.0, ""angle"": 55.836956297545186, ""elevation"": 0.0}]",1785101135257.7332
9,"[{""range"": 0.3244168240004301, ""doppler"": 0.0, ""angle"": -18.944275611338348, ""elevation"": 0.0}, {""range"": 1.1659851180614804, ""doppler"": 0.0, ""angle"": -19.03792302876538, ""elevation"": 0.0}, {""range"": 1.2201085359096908, ""doppler"": 0.0, ""angle"": -24.070767825439503, ""elevation"": 0.0}, {""range"": 1.1155227287138116, ""doppler"": 0.0, ""angle"": -11.277511099573191, ""elevation"": 0.0}, {""range"": 1.0509266568058169, ""doppler"": 0.0, ""angle"": -8.276243637608328, ""elevation"": 0.0}, {""range"": 1.0784330197481116, ""doppler"": 0.0, ""angle"": -10.344783309012803, ""elevation"": 0.0}, {""range"": 1.0907046846614372, ""doppler"": 0.0, ""angle"": -10.475399124167863, ""elevation"": 0.0}, {""range"": 1.8835253965462255, ""doppler"": 0.0, ""angle"": 53.652293803599356, ""elevation"": 0.0}, {""range"": 1.898089352948732, ""doppler"": 0.0, ""angle"": 55.25295679012155, ""elevation"": 0.0}]",1785101135257.9949
5,"[{""range"": 1.0790988930064522, ""doppler"": 0.0, ""angle"": -9.442031124269198, ""elevation"": 0.0}, {""range"": 1.091276873410937, ""doppler"": 0.0, ""angle"": -9.678403537223101, ""elevation"": 0.0}, {""range"": 1.1143995700443197, ""doppler"": 0.0, ""angle"": -10.02608710771913, ""elevation"": 0.0}, {""range"": 1.8817741612714636, ""doppler"": 0.0, ""angle"": 52.11737614765855, ""elevation"": 0.0}, {""range"": 1.8932480920736043, ""doppler"": 0.0, ""angle"": 52.768612754279076, ""elevation"": 0.0}]",1785101135258.2532
8,"[{""range"": 1.2209187726116477, ""doppler"": 0.0, ""angle"": -19.854775890720376, ""elevation"": 0.0}, {""range"": 0.31519434361552945, ""doppler"": 0.0, ""angle"": -18.044348555198596, ""elevation"": 0.0}, {""range"": 1.159194398686706, ""doppler"": 0.0, ""angle"": -17.042947062794948, ""elevation"": 0.0}, {""range"": 1.0791536490952351, ""doppler"": 0.0, ""angle"": -9.855640185523194, ""elevation"": 0.0}, {""range"": 1.0914230999630834, ""doppler"": 0.0, ""angle"": -9.667571920595165, ""elevation"": 0.0}, {""range"": 1.1135242187425762, ""doppler"": 0.0, ""angle"": -10.398661918074762, ""elevation"": 0.0}, {""range"": 1.882726955479748, ""doppler"": 0.0, ""angle"": 51.81526601245068, ""elevation"": 0.0}, {""range"": 1.892850398362667, ""doppler"": 0.0, ""angle"": 51.86344562659399, ""elevation"": 0.0}]",1785101135258.521
10,"[{""range"": 1.1680758126500517, ""doppler"": 0.0, ""angle"": -18.243566043078676, ""elevation"": 0.0}, {""range"": 1.2170054038181717, ""doppler"": 0.0, ""angle"": -22.869180995005575, ""elevation"": 0.0}, {""range"": 0.31686621302461476, ""doppler"": 0.0, ""angle"": -14.577345473361856, ""elevation"": 0.0}, {""range"": 0.3243582742583767, ""doppler"": 0.0, ""angle"": -13.063274153619913, ""elevation"": 0.0}, {""range"": 0.33125593834534245, ""doppler"": 0.0, ""angle"": -12.153081067078356, ""elevation"": 0.0}, {""range"": 1.0766005057862624, ""doppler"": 0.0, ""angle"": -9.512385405410326, ""elevation"": 0.0}, {""range"": 1.0911248104154263, ""doppler"": 0.0, ""angle"": -10.07053153564895, ""elevation"": 0.0}, {""range"": 1.1172881441832425, ""doppler"": 0.0, ""angle"": -10.783011035256086, ""elevation"": 0.0}, {""range"": 1.8830211466422595, ""doppler"": 0.0, ""angle"": 51.628248719362254, ""elevation"": 0.0}, {""range"": 1.8938574128697523, ""doppler"": 0.0, ""angle"": 52.762237235546266, ""elevation"": 0.0}]",1785101135258.772
7,"[{""range"": 1.1717869626991304, ""doppler"": 0.0, ""angle"": -20.099637111451553, ""elevation"": 0.0}, {""range"": 1.2211654463859145, ""doppler"": 0.0, ""angle"": -24.748772089633103, ""elevation"": 0.0}, {""range"": 1.1183349110107283, ""doppler"": 0.0, ""angle"": -11.10870635544668, ""elevation"": 0.0}, {""range"": 1.0770375333190012, ""doppler"": 0.0, ""angle"": -9.065103690177782, ""elevation"": 0.0}, {""range"": 1.0900663166682354, ""doppler"": 0.0, ""angle"": -9.584389027509975, ""elevation"": 0.0}, {""range"": 1.882538018195193, ""doppler"": 0.0, ""angle"": 51.928360608439576, ""elevation"": 0.0}, {""range"": 1.8976257058570336, ""doppler"": 0.0, ""angle"": 50.92028317572771, ""elevation"": 0.0}]",1785101135259.026
7,"[{""range"": 1.221884182263759, ""doppler"": 0.0, ""angle"": -26.032570880288787, ""elevation"": 0.0}, {""range"": 1.1715202439152033, ""doppler"": 0.0, ""angle"": -20.617458754682527, ""elevation"": 0.0}, {""range"": 1.1205385288764955, ""doppler"": 0.0, ""angle"": -11.394209371182201, ""elevation"": 0.0}, {""range"": 1.077515987621028, ""doppler"": 0.0, ""angle"": -9.629579014746056, ""elevation"": 0.0}, {""range"": 1.092171460886462, ""doppler"": 0.0, ""angle"": -10.270446183536318, ""elevation"": 0.0}, {""range"": 1.8834278508518039, ""doppler"": 0.0, ""angle"": 53.683872504700155, ""elevation"": 0.0}, {""range"": 1.8975603363214832, ""doppler"": 0.0, ""angle"": 54.32988946351675, ""elevation"": 0.0}]",1785101135259.287
7,"[{""range"": 1.2227780072307626, ""doppler"": 0.0, ""angle"": -27.16459271588406, ""elevation"": 0.0}, {""range"": 1.1713561326365476, ""doppler"": 0.0, ""angle"": -22.132745486086606, ""elevation"": 0.0}, {""range"": 1.079753872788104, ""doppler"": 0.0, ""angle"": -8.24550425529794, ""elevation"": 0.0}, {""range"": 1.0942049531780402, ""doppler"": 0.0, ""angle"": -7.842758530223796, ""elevation"": 0.0}, {""range"": 1.117642706440815, ""doppler"": 0.0, ""angle"": -8.72386005051506, ""elevation"": 0.0}, {""range"": 1.8825118360328679, ""doppler"": 0.0, ""angle"": 52.07967042548549, ""elevation"": 0.0}, {""range"": 1.8988531212366246, ""doppler"": 0.0, ""angle"": 52.1491504501956, ""elevation"": 0.0}]",1785101135259.5188
7,"[{""range"": 1.1691570615631321, ""doppler"": 0.0, ""angle"": -19.950913679095876, ""elevation"": 0.0}, {""range"": 1.2180584836868737, ""doppler"": 0.0, ""angle"": -23.497894926196352, ""elevation"": 0.0}, {""range"": 1.125897858679399, ""doppler"": 0.0, ""angle"": -11.729314742327869, ""elevation"": 0.0}, {""range"": 1.0813627903908656, ""doppler"": 0.0, ""angle"": -9.41247948729921, ""elevation"": 0.0}, {""range"": 1.0984794973754424, ""doppler"": 0.0, ""angle"": -9.936121713236576, ""elevation"": 0.0}, {""range"": 1.8858188704741048, ""doppler"": 0.0, ""angle"": 52.93126133925085, ""elevation"": 0.0}, {""range"": 1.9029973443915686, ""doppler"": 0.0, ""angle"": 54.10245634675089, ""elevation"": 0.0}]",1785101135259.779
