num_points,points,timestamp_ms
8,"[{""range"": 0.30066328136068443, ""doppler"": 0.0, ""angle"": -15.912631387167979, ""elevation"": 0.0}, {""range"": 0.3460232596771675, ""doppler"": 0.0, ""angle"": -8.469275337412968, ""elevation"": 0.0}, {""range"": 0.37077801218045364, ""doppler"": 0.0, ""angle"": -7.87219102509766, ""elevation"": 0.0}, {""range"": 0.38253449779555726, ""doppler"": 0.0, ""angle"": -8.277820371612716, ""elevation"": 0.0}, {""range"": 3.141386714298288, ""doppler"": 0.0, ""angle"": 7.131488757017684, ""elevation"": 0.0}, {""range"": 3.1515949584067497, ""doppler"": 0.0, ""angle"": 5.071404780060155, ""elevation"": 0.0}, {""range"": 0.4626107248811921, ""doppler"": 0.0, ""angle"": 35.73591447669018, ""elevation"": 0.0}, {""range"": 0.4781424419306769, ""doppler"": 0.0, ""angle"": 39.47635169587983, ""elevation"": 0.0}]",1785111026018.2888
7,"[{""range"": 0.30800314788040456, ""doppler"": 0.0, ""angle"": -29.035219038517695, ""elevation"": 0.0}, {""range"": 0.27907791539829047, ""doppler"": 0.0, ""angle"": -14.054051013433307, ""elevation"": 0.0}, {""range"": 0.28027097789062566, ""doppler"": 0.0, ""angle"": -16.60820970614043, ""elevation"": 0.0}, {""range"": 0.3835059930451752, ""doppler"": 0.0, ""angle"": 2.88641854386461, ""elevation"": 0.0}, {""range"": 0.38851758231757705, ""doppler"": 0.0, ""angle"": 1.503273485017219, ""elevation"": 0.0}, {""range"": 0.4440010841811423, ""doppler"": 0.0, ""angle"": 22.31988978573652, ""elevation"": 0.0}, {""range"": 0.4787509258688168, ""doppler"": 0.0, ""angle"": 33.17368942020307, ""elevation"": 0.0}]",1785111026018.6492
6,"[{""range"": 0.2999196392645615, ""doppler"": 0.0, ""angle"": -18.456553565304198, ""elevation"": 0.0}, {""range"": 0.3365948966964239, ""doppler"": 0.0, ""angle"": -17.626392709684392, ""elevation"": 0.0}, {""range"": 0.3684843262400511, ""doppler"": 0.0, ""angle"": -7.080183979715791, ""elevation"": 0.0}, {""range"": 0.3822131010486935, ""doppler"": 0.0, ""angle"": -7.1216915778550405, ""elevation"": 0.0}, {""range"": 0.4120680502030717, ""doppler"": 0.0, ""angle"": -9.012696298731035, ""elevation"": 0.0}, {""range"": 0.4792109353088057, ""doppler"": 0.0, ""angle"": 37.78497857339086, ""elevation"": 0.0}]",1785111026018.912
7,"[{""range"": 0.29555909576649697, ""doppler"": 0.0, ""angle"": -21.582552388392532, ""elevation"": 0.0}, {""range"": 0.3412821689302083, ""doppler"": 0.0, ""angle"": -6.316985680142356, ""elevation"": 0.0}, {""range"": 3.153784265841126, ""doppler"": 0.0, ""angle"": -4.2823504415536995, ""elevation"": 0.0}, {""range"": 0.3662301891778176, ""doppler"": 0.0, ""angle"": 0.5874849623275807, ""elevation"": 0.0}, {""range"": 0.3772606622743136, ""doppler"": 0.0, ""angle"": -2.363332780546218, ""elevation"": 0.0}, {""range"": 0.4753912969395413, ""doppler"": 0.0, ""angle"": 31.118989202147986, ""elevation"": 0.0}, {""range"": 0.4457140245236927, ""doppler"": 0.0, ""angle"": 35.826265230611384, ""elevation"": 0.0}]",1785111026019.173
6,"[{""range"": 0.2921870572908875, ""doppler"": 0.0, ""angle"": -19.00045876438468, ""elevation"": 0.0}, {""range"": 0.37238661905027626, ""doppler"": 0.0, ""angle"": -12.648173743776717, ""elevation"": 0.0}, {""range"": 0.38372070432728095, ""doppler"": 0.0, ""angle"": -11.069063315641072, ""elevation"": 0.0}, {""range"": 3.148574319387857, ""doppler"": 0.0, ""angle"": 5.92623079720846, ""elevation"": 0.0}, {""range"": 0.4641283677221277, ""doppler"": 0.0, ""angle"": 31.546764693544603, ""elevation"": 0.0}, {""range"": 0.47792361955131196, ""doppler"": 0.0, ""angle"": 29.42314765793459, ""elevation"": 0.0}]",1785111026019.438
9,"[{""range"": 0.34465016298878126, ""doppler"": 0.0, ""angle"": -5.030258069017779, ""elevation"": 0.0}, {""range"": 0.3643938428364765, ""doppler"": 0.0, ""angle"": -5.632259112753939, ""elevation"": 0.0}, {""range"": 0.3896407738232555, ""doppler"": 0.0, ""angle"": -7.966485567692588, ""elevation"": 0.0}, {""range"": 3.1276798290673504, ""doppler"": 0.0, ""angle"": 2.824781883031633, ""elevation"": 0.0}, {""range"": 3.147427445500023, ""doppler"": 0.0, ""angle"": 6.28195777210357, ""elevation"": 0.0}, {""range"": 1.879457361188209, ""doppler"": 0.0, ""angle"": 25.560606611899534, ""elevation"": 0.0}, {""range"": 2.0536336626217193, ""doppler"": 0.0, ""angle"": 23.339430481454517, ""elevation"": 0.0}, {""range"": 0.4612744154513768, ""doppler"": 0.0, ""angle"": 33.665426831009036, ""elevation"": 0.0}, {""range"": 0.47597468130373144, ""doppler"": 0.0, ""angle"": 34.22139796257626, ""elevation"": 0.0}]",1785111026019.697
3,"[{""range"": 0.28314292981395806, ""doppler"": 0.0, ""angle"": -20.517929916194408, ""elevation"": 0.0}, {""range"": 0.4544934561284108, ""doppler"": 0.0, ""angle"": 35.9726812978149, ""elevation"": 0.0}, {""range"": 0.47473065553617066, ""doppler"": 0.0, ""angle"": 40.126103577795234, ""elevation"": 0.0}]",1785111026019.9731
7,"[{""range"": 0.2783265166935194, ""doppler"": 0.0, ""angle"": -18.854008408958425, ""elevation"": 0.0}, {""range"": 0.30156390848006914, ""doppler"": 0.0, ""angle"": -18.74651102590282, ""elevation"": 0.0}, {""range"": 0.3302646896353435, ""doppler"": 0.0, ""angle"": -14.517772496763712, ""elevation"": 0.0}, {""range"": 0.3590153660314111, ""doppler"": 0.0, ""angle"": -6.951575648293972, ""elevation"": 0.0}, {""range"": 0.3765823579581116, ""doppler"": 0.0, ""angle"": -5.586066716157479, ""elevation"": 0.0}, {""range"": 0.43983521006137694, ""doppler"": 0.0, ""angle"": 39.57294154436546, ""elevation"": 0.0}, {""range"": 0.46308721634471134, ""doppler"": 0.0, ""angle"": 35.66627031219678, ""elevation"": 0.0}]",1785111026020.256
6,"[{""range"": 0.3096385168712997, ""doppler"": 0.0, ""angle"": -20.590899018300032, ""elevation"": 0.0}, {""range"": 0.3548663781070181, ""doppler"": 0.0, ""angle"": -7.1787311264585645, ""elevation"": 0.0}, {""range"": 0.3706629985985334, ""doppler"": 0.0, ""angle"": -1.6863095226076819, ""elevation"": 0.0}, {""range"": 0.3795323123358093, ""doppler"": 0.0, ""angle"": 1.2418440771612909, ""elevation"": 0.0}, {""range"": 0.4346120402620034, ""doppler"": 0.0, ""angle"": 18.420039695100023, ""elevation"": 0.0}, {""range"": 0.47611032538386183, ""doppler"": 0.0, ""angle"": 28.85604585066187, ""elevation"": 0.0}]",1785111026020.532
7,"[{""range"": 0.2962560533532067, ""doppler"": 0.0, ""angle"": -18.948945653845275, ""elevation"": 0.0}, {""range"": 2.416033653008583, ""doppler"": 0.0, ""angle"": -19.211397703963467, ""elevation"": 0.0}, {""range"": 0.3461679363124068, ""doppler"": 0.0, ""angle"": -3.642796341723181, ""elevation"": 0.0}, {""range"": 0.3690044225537174, ""doppler"": 0.0, ""angle"": -2.8887487488597294, ""elevation"": 0.0}, {""range"": 0.3778671419452171, ""doppler"": 0.0, ""angle"": -3.1467424726266127, ""elevation"": 0.0}, {""range"": 0.44252836195571876, ""doppler"": 0.0, ""angle"": 31.76979131901007, ""elevation"": 0.0}, {""range"": 0.4737747656472617, ""doppler"": 0.0, ""angle"": 30.581765603745136, ""elevation"": 0.0}]",1785111026020.8098
