ax,ay,az,gx,gy,gz,timestamp_ms
-0.031,-0.994,0.209,0.55,-4.36,0.85,1785111039558.5999
-0.031,-0.977,0.209,0.27,-5.07,1.34,1785111039559.104
-0.031,-0.964,0.198,-0.64,-5.86,2.2,1785111039559.602
-0.024,-0.968,0.19,-0.92,-5.95,3.39,1785111039560.106
-0.023,-0.984,0.177,-0.55,-5.92,3.23,1785111039560.595
-0.024,-0.991,0.164,0.27,-5.89,3.36,1785111039561.0603
-0.019,-0.99,0.151,1.68,-5.43,3.97,1785111039561.534
-0.017,-0.985,0.141,2.08,-4.61,4.55,1785111039561.996
-0.017,-0.984,0.137,1.46,-3.63,5.01,1785111039562.404
-0.019,-0.999,0.14,0.55,-2.78,5.43,1785111039562.7993
-0.021,-1.006,0.144,-0.43,-2.32,5.37,1785111039563.2031
-0.019,-1.0,0.153,-0.43,-1.5,6.04,1785111039563.599
-0.016,-0.995,0.161,-0.37,-1.28,6.68,1785111039563.998
-0.013,-1.007,0.16,-0.82,-1.07,6.2,1785111039564.399
-0.017,-1.017,0.16,-2.04,-1.01,4.61,1785111039564.7932
-0.014,-1.017,0.15,-2.81,-0.7,3.6,1785111039565.2007
-0.008,-1.031,0.139,-1.07,0.24,2.93,1785111039565.602
-0.015,-1.038,0.135,2.04,1.1,2.23,1785111039566.029
-0.02,-1.029,0.131,4.85,1.77,1.62,1785111039566.4539
-0.024,-1.014,0.125,6.01,2.5,1.19,1785111039566.845
-0.029,-1.001,0.122,4.88,3.45,0.73,1785111039567.342
-0.033,-1.0,0.126,1.8,4.18,-0.03,1785111039567.7969
-0.028,-1.01,0.145,-1.5,4.97,-0.7,1785111039568.208
-0.026,-1.032,0.168,-2.08,5.22,-1.34,1785111039568.604
-0.032,-1.033,0.177,-0.15,5.04,-2.53,1785111039568.995
-0.032,-1.019,0.18,1.37,4.61,-3.08,1785111039569.4038
-0.031,-1.009,0.178,0.85,4.21,-3.14,1785111039569.792
-0.03,-1.001,0.175,-0.43,4.15,-3.33,1785111039570.174
-0.025,-0.992,0.179,-1.4,4.15,-3.2,1785111039570.5103
-0.027,-1.002,0.189,-2.08,3.78,-3.23,1785111039570.848
-0.03,-1.018,0.187,-1.07,3.48,-3.94,1785111039571.1848
-0.03,-1.022,0.177,2.08,3.36,-3.88,1785111039571.5159
-0.03,-1.009,0.169,4.03,2.72,-3.48,1785111039571.848
-0.028,-0.987,0.174,4.09,2.5,-3.08,1785111039572.191
-0.025,-0.979,0.16,4.61,2.53,-2.81,1785111039572.5498
-0.03,-0.956,0.167,2.53,3.02,-2.99,1785111039572.912
-0.029,-0.953,0.194,-1.71,2.5,-2.41,1785111039573.2842
-0.029,-0.995,0.217,-6.5,1.16,-2.96,1785111039573.625
-0.03,-1.019,0.214,-8.15,0.03,-3.78,1785111039573.952
-0.032,-1.002,0.204,-6.71,-0.34,-2.75,1785111039574.2888
-0.032,-1.002,0.204,-7.32,-1.13,-1.04,1785111039574.6292
-0.04,-0.972,0.192,-10.77,-1.92,-0.49,1785111039574.976
-0.046,-0.959,0.17,-13.15,-2.26,0.52,1785111039575.3323
-0.035,-0.97,0.159,-11.2,-3.02,1.37,1785111039575.68
-0.035,-0.992,0.16,-11.2,-3.02,1.37,1785111039576.0361
-0.041,-1.0,0.17,-7.42,-4.12,2.2,1785111039576.3672
-0.041,-0.996,0.167,-3.91,-5.31,2.99,1785111039576.716
-0.044,-0.993,0.161,-0.37,-6.13,3.85,1785111039577.08
-0.046,-0.986,0.162,2.2,-6.53,4.94,1785111039577.44
-0.043,-0.973,0.161,2.84,-6.9,5.77,1785111039577.7659
-0.038,-0.965,0.163,0.24,-6.93,6.04,1785111039578.086
-0.032,-0.961,0.178,-3.36,-6.78,6.78,1785111039578.379
-0.027,-0.988,0.178,-4.79,-6.56,7.26,1785111039578.6692
-0.032,-1.013,0.176,-4.46,-6.74,6.5,1785111039578.971
-0.032,-1.001,0.177,-3.42,-6.99,7.29,1785111039579.2708
-0.026,-1.004,0.168,-1.07,-7.14,9.03,1785111039579.5671
-0.03,-1.025,0.149,1.13,-7.42,8.39,1785111039579.8708
-0.032,-1.047,0.125,3.02,-7.97,6.81,1785111039580.184
-0.025,-1.056,0.099,4.79,-7.57,6.23,1785111039580.499
-0.022,-1.052,0.066,6.9,-5.65,6.01,1785111039580.82
-0.034,-1.017,0.063,6.41,-3.05,5.68,1785111039581.126
-0.032,-1.0,0.064,3.57,-1.34,5.95,1785111039581.44
-0.029,-0.99,0.059,0.34,1.07,5.31,1785111039581.752
-0.033,-0.985,0.088,-2.53,3.81,5.52,1785111039582.061
-0.035,-1.01,0.125,-2.81,5.04,5.77,1785111039582.3738
-0.04,-1.033,0.152,-1.01,4.91,3.97,1785111039582.6812
-0.039,-1.032,0.165,2.87,4.36,2.47,1785111039582.978
-0.038,-1.03,0.171,5.16,3.63,1.43,1785111039583.282
-0.036,-1.023,0.18,2.59,3.08,-0.46,1785111039583.607
-0.031,-1.012,0.186,-1.71,2.75,-1.59,1785111039583.9019
-0.026,-1.001,0.196,-4.91,2.56,-1.89,1785111039584.201
-0.023,-0.998,0.199,-6.1,1.83,-2.29,1785111039584.503
-0.019,-0.993,0.188,-5.68,1.19,-2.72,1785111039584.7979
-0.019,-0.983,0.171,-4.52,0.89,-2.75,1785111039585.101
-0.021,-0.956,0.162,-4.24,1.34,-1.77,1785111039585.403
-0.025,-0.943,0.164,-5.98,1.95,-0.49,1785111039585.706
-0.025,-0.949,0.191,-8.91,1.13,0.58,1785111039585.9749
-0.024,-0.977,0.193,-9.83,0.06,0.52,1785111039586.2542
-0.018,-0.977,0.215,-9.37,-0.27,0.95,1785111039586.559
-0.017,-0.958,0.221,-10.35,-2.04,2.69,1785111039586.835
-0.013,-0.937,0.213,-13.46,-3.57,5.77,1785111039587.1912
-0.018,-0.938,0.198,-15.56,-4.76,7.66,1785111039587.502
-0.026,-0.95,0.164,-12.6,-6.01,9.06,1785111039587.784
-0.03,-0.988,0.129,-2.78,-6.62,10.62,1785111039588.0588
-0.045,-1.023,0.103,7.23,-6.78,10.35,1785111039588.353
-0.058,-1.039,0.088,13.86,-6.16,9.43,1785111039588.643
-0.072,-1.045,0.087,17.18,-4.85,8.61,1785111039588.9211
-0.078,-1.038,0.092,17.27,-3.27,8.18,1785111039589.207
-0.076,-1.014,0.101,14.56,-1.71,7.69,1785111039589.502
-0.068,-1.012,0.119,11.75,-0.34,6.99,1785111039589.7888
-0.067,-1.038,0.133,9.03,0.09,5.43,1785111039590.06
-0.07,-1.059,0.151,6.59,0.4,3.48,1785111039590.344
-0.074,-1.061,0.166,5.62,0.18,2.44,1785111039590.637
-0.071,-1.038,0.171,5.16,0.09,1.89,1785111039590.9067
-0.063,-1.013,0.172,3.78,-0.06,0.76,1785111039591.2322
-0.061,-1.007,0.18,1.01,-0.61,-0.37,1785111039591.5232
-0.054,-1.011,0.187,-0.98,-1.22,-1.13,1785111039591.829
-0.048,-1.022,0.179,-0.95,-1.71,-1.89,1785111039592.104
-0.046,-1.031,0.169,0.58,-2.11,-2.72,1785111039592.371
-0.045,-1.03,0.159,2.66,-2.38,-3.6,1785111039592.639
-0.049,-1.03,0.149,4.91,-1.98,-4.52,1785111039592.897
-0.054,-1.006,0.144,6.29,-1.13,-4.61,1785111039593.1677
-0.046,-0.981,0.146,5.98,-0.95,-3.39,1785111039593.452
-0.044,-0.977,0.146,5.13,-0.27,-3.11,1785111039593.714
-0.047,-0.981,0.156,4.15,0.27,-3.33,1785111039593.9907
-0.046,-0.985,0.165,4.0,0.49,-3.54,1785111039594.254
-0.041,-0.98,0.164,4.7,0.67,-3.48,1785111039594.514
-0.041,-0.976,0.167,5.58,1.07,-3.23,1785111039594.7678
-0.039,-0.985,0.165,8.15,1.31,-2.99,1785111039595.03
-0.033,-0.99,0.158,9.95,0.95,-3.97,1785111039595.289
-0.031,-0.985,0.174,9.89,0.95,-5.22,1785111039595.5432
-0.032,-0.979,0.181,10.86,0.89,-5.04,1785111039595.808
-0.033,-0.945,0.211,9.34,0.4,-3.91,1785111039596.093
