num_points,points,timestamp_ms
9,"[{""range"": 0.42385963865665627, ""doppler"": 0.0, ""angle"": -32.28209799550473, ""elevation"": 0.0}, {""range"": 0.4452641107416887, ""doppler"": 0.0, ""angle"": -29.23115955622293, ""elevation"": 0.0}, {""range"": 0.4912848983077098, ""doppler"": 0.0, ""angle"": -23.05620022493615, ""elevation"": 0.0}, {""range"": 1.549460257358322, ""doppler"": 0.0, ""angle"": 8.501340071108848, ""elevation"": 0.0}, {""range"": 0.5762900132376184, ""doppler"": 0.0, ""angle"": 16.382517440014873, ""elevation"": 0.0}, {""range"": 0.5856190200882543, ""doppler"": 0.0, ""angle"": 13.688306256395219, ""elevation"": 0.0}, {""range"": 0.6206963675725913, ""doppler"": 0.0, ""angle"": 20.982997807453625, ""elevation"": 0.0}, {""range"": 0.6637581913116152, ""doppler"": 0.0, ""angle"": 27.048257138402807, ""elevation"": 0.0}, {""range"": 0.7039375672274724, ""doppler"": 0.0, ""angle"": 27.307081815839556, ""elevation"": 0.0}]",1784844336174.339
5,"[{""range"": 0.4581666989243963, ""doppler"": 0.0, ""angle"": -31.742277680090545, ""elevation"": 0.0}, {""range"": 0.5445826441899149, ""doppler"": 0.0, ""angle"": 6.655982241964082, ""elevation"": 0.0}, {""range"": 0.5729479729252156, ""doppler"": 0.0, ""angle"": 8.615648184164113, ""elevation"": 0.0}, {""range"": 0.5874399169706758, ""doppler"": 0.0, ""angle"": 8.630801788548439, ""elevation"": 0.0}, {""range"": 0.6010984066556984, ""doppler"": 0.0, ""angle"": 8.105998115143409, ""elevation"": 0.0}]",1784844336174.44
9,"[{""range"": 0.4476018528281085, ""doppler"": 0.0, ""angle"": -27.117825180810105, ""elevation"": 0.0}, {""range"": 0.41857744903855026, ""doppler"": 0.0, ""angle"": -25.941105756397732, ""elevation"": 0.0}, {""range"": 0.5339451448171397, ""doppler"": 0.0, ""angle"": -0.287819646187988, ""elevation"": 0.0}, {""range"": 1.5346832874557983, ""doppler"": 0.0, ""angle"": 0.660921764239008, ""elevation"": 0.0}, {""range"": 0.5655180297469241, ""doppler"": 0.0, ""angle"": 8.107043641649707, ""elevation"": 0.0}, {""range"": 1.5504660006614226, ""doppler"": 0.0, ""angle"": 8.208599915283363, ""elevation"": 0.0}, {""range"": 0.5885397908503112, ""doppler"": 0.0, ""angle"": 12.119073586751341, ""elevation"": 0.0}, {""range"": 0.6115359433424027, ""doppler"": 0.0, ""angle"": 14.962713370419463, ""elevation"": 0.0}, {""range"": 0.6436790008876205, ""doppler"": 0.0, ""angle"": 15.665543903027034, ""elevation"": 0.0}]",1784844336174.52
7,"[{""range"": 0.4646907658591266, ""doppler"": 0.0, ""angle"": -31.194405490751326, ""elevation"": 0.0}, {""range"": 0.5166616597811101, ""doppler"": 0.0, ""angle"": -11.236042620816816, ""elevation"": 0.0}, {""range"": 1.5514178989908058, ""doppler"": 0.0, ""angle"": 8.403742279148316, ""elevation"": 0.0}, {""range"": 0.5821717349047323, ""doppler"": 0.0, ""angle"": 12.217669640824594, ""elevation"": 0.0}, {""range"": 0.5944341071419672, ""doppler"": 0.0, ""angle"": 14.529511740790246, ""elevation"": 0.0}, {""range"": 0.6066566777146666, ""doppler"": 0.0, ""angle"": 15.892041410948048, ""elevation"": 0.0}, {""range"": 0.6340802118982409, ""doppler"": 0.0, ""angle"": 19.38536244421439, ""elevation"": 0.0}]",1784844336174.804
7,"[{""range"": 0.43260882004916634, ""doppler"": 0.0, ""angle"": -28.70496340607684, ""elevation"": 0.0}, {""range"": 0.419393969345929, ""doppler"": 0.0, ""angle"": -22.30040999277376, ""elevation"": 0.0}, {""range"": 0.5623625741955333, ""doppler"": 0.0, ""angle"": -6.774760573001851, ""elevation"": 0.0}, {""range"": 0.5274692824834329, ""doppler"": 0.0, ""angle"": -2.506426954647241, ""elevation"": 0.0}, {""range"": 0.5964187800251018, ""doppler"": 0.0, ""angle"": 32.946812621131556, ""elevation"": 0.0}, {""range"": 0.6159844169930537, ""doppler"": 0.0, ""angle"": 32.32449296443789, ""elevation"": 0.0}, {""range"": 0.651623026837926, ""doppler"": 0.0, ""angle"": 30.21682605533452, ""elevation"": 0.0}]",1784844336174.924
8,"[{""range"": 0.41217542770200105, ""doppler"": 0.0, ""angle"": -14.856162872062347, ""elevation"": 0.0}, {""range"": 0.4549226455634427, ""doppler"": 0.0, ""angle"": -18.04324978257563, ""elevation"": 0.0}, {""range"": 0.51970158992555, ""doppler"": 0.0, ""angle"": -7.115235574071389, ""elevation"": 0.0}, {""range"": 0.5713621192339852, ""doppler"": 0.0, ""angle"": -4.127776082121998, ""elevation"": 0.0}, {""range"": 0.6051507649881022, ""doppler"": 0.0, ""angle"": -6.719727497902448, ""elevation"": 0.0}, {""range"": 0.5531584419747752, ""doppler"": 0.0, ""angle"": -2.2972724286292223, ""elevation"": 0.0}, {""range"": 1.5330797734461281, ""doppler"": 0.0, ""angle"": 2.413208523182842, ""elevation"": 0.0}, {""range"": 1.552508557570668, ""doppler"": 0.0, ""angle"": 9.346237984376463, ""elevation"": 0.0}]",1784844336174.976
9,"[{""range"": 0.41858600444161603, ""doppler"": 0.0, ""angle"": -21.02872467684584, ""elevation"": 0.0}, {""range"": 0.43659083652437913, ""doppler"": 0.0, ""angle"": -22.23717671144838, ""elevation"": 0.0}, {""range"": 0.509954800365126, ""doppler"": 0.0, ""angle"": -2.572457426683243, ""elevation"": 0.0}, {""range"": 1.552188761569858, ""doppler"": 0.0, ""angle"": 7.253551761183575, ""elevation"": 0.0}, {""range"": 0.5703551796141236, ""doppler"": 0.0, ""angle"": 16.70784694548615, ""elevation"": 0.0}, {""range"": 0.5970534877416855, ""doppler"": 0.0, ""angle"": 15.851112985343773, ""elevation"": 0.0}, {""range"": 0.621909413799167, ""doppler"": 0.0, ""angle"": 15.95444736680539, ""elevation"": 0.0}, {""range"": 0.6607461598540935, ""doppler"": 0.0, ""angle"": 19.229310476480094, ""elevation"": 0.0}, {""range"": 0.700542926824844, ""doppler"": 0.0, ""angle"": 20.60910794647082, ""elevation"": 0.0}]",1784844336175.009
5,"[{""range"": 0.5732238713833049, ""doppler"": 0.0, ""angle"": 1.197584452626416, ""elevation"": 0.0}, {""range"": 0.5831123495057958, ""doppler"": 0.0, ""angle"": 0.03514000142851415, ""elevation"": 0.0}, {""range"": 1.5340370201539426, ""doppler"": 0.0, ""angle"": 3.8096322678486807, ""elevation"": 0.0}, {""range"": 1.551255186338655, ""doppler"": 0.0, ""angle"": 8.498108397296676, ""elevation"": 0.0}, {""range"": 0.6456087932668708, ""doppler"": 0.0, ""angle"": 51.99696885972593, ""elevation"": 0.0}]",1784844336175.0322
8,"[{""range"": 0.47856144654365, ""doppler"": 0.0, ""angle"": -28.499401605363143, ""elevation"": 0.0}, {""range"": 0.42771463302390444, ""doppler"": 0.0, ""angle"": -18.29860269858744, ""elevation"": 0.0}, {""range"": 0.4408965686749367, ""doppler"": 0.0, ""angle"": -23.216897823552294, ""elevation"": 0.0}, {""range"": 0.40619378989169397, ""doppler"": 0.0, ""angle"": -14.219765516512831, ""elevation"": 0.0}, {""range"": 0.573455172235245, ""doppler"": 0.0, ""angle"": 9.820654804767775, ""elevation"": 0.0}, {""range"": 0.5802346853184801, ""doppler"": 0.0, ""angle"": 9.436196867065014, ""elevation"": 0.0}, {""range"": 0.5984408713268627, ""doppler"": 0.0, ""angle"": 11.373724994437305, ""elevation"": 0.0}, {""range"": 1.5564797464948212, ""doppler"": 0.0, ""angle"": 11.121460194890352, ""elevation"": 0.0}]",1784844336175.06
4,"[{""range"": 0.3647650424434257, ""doppler"": 0.0, ""angle"": -40.76580592225804, ""elevation"": 0.0}, {""range"": 0.4525344042701061, ""doppler"": 0.0, ""angle"": -31.83739606363835, ""elevation"": 0.0}, {""range"": 1.527965916325896, ""doppler"": 0.0, ""angle"": 0.06034661497226809, ""elevation"": 0.0}, {""range"": 1.5521024778671617, ""doppler"": 0.0, ""angle"": 6.961267782117471, ""elevation"": 0.0}]",1784844336175.083
