num_points,points,timestamp_ms
5,"[{""range"": 0.7051975881051964, ""doppler"": 0.0, ""angle"": 6.157292533371019, ""elevation"": 0.0}, {""range"": 0.713814564999876, ""doppler"": 0.0, ""angle"": 7.021761575901911, ""elevation"": 0.0}, {""range"": 1.8560425561079519, ""doppler"": 0.0, ""angle"": 40.92161360297259, ""elevation"": 0.0}, {""range"": 1.8798091229539964, ""doppler"": 0.0, ""angle"": 44.290872788405444, ""elevation"": 0.0}, {""range"": 1.9006998025360091, ""doppler"": 0.0, ""angle"": 47.12730346763172, ""elevation"": 0.0}]",1785099023963.423
6,"[{""range"": 0.6804660602079872, ""doppler"": 0.0, ""angle"": -0.8732977311169378, ""elevation"": 0.0}, {""range"": 0.7009517401447923, ""doppler"": 0.0, ""angle"": -0.10231378323584403, ""elevation"": 0.0}, {""range"": 0.7094919834525295, ""doppler"": 0.0, ""angle"": 1.1264166920591903, ""elevation"": 0.0}, {""range"": 1.852692545593088, ""doppler"": 0.0, ""angle"": 36.50713097613419, ""elevation"": 0.0}, {""range"": 1.8777536890761377, ""doppler"": 0.0, ""angle"": 40.96111219190988, ""elevation"": 0.0}, {""range"": 1.8996008864979264, ""doppler"": 0.0, ""angle"": 41.852113337452685, ""elevation"": 0.0}]",1785099023963.799
5,"[{""range"": 0.7112314965567548, ""doppler"": 0.0, ""angle"": -3.0120303946320925, ""elevation"": 0.0}, {""range"": 0.7141405441911178, ""doppler"": 0.0, ""angle"": -2.7986437722622504, ""elevation"": 0.0}, {""range"": 1.8516531112809818, ""doppler"": 0.0, ""angle"": 41.06881139592382, ""elevation"": 0.0}, {""range"": 1.8788670679831334, ""doppler"": 0.0, ""angle"": 44.4486140697917, ""elevation"": 0.0}, {""range"": 1.901518652251888, ""doppler"": 0.0, ""angle"": 45.89535227535012, ""elevation"": 0.0}]",1785099023964.1887
9,"[{""range"": 0.664268447603994, ""doppler"": 0.0, ""angle"": -7.6262388037854585, ""elevation"": 0.0}, {""range"": 0.6950557430992431, ""doppler"": 0.0, ""angle"": -4.87013929951706, ""elevation"": 0.0}, {""range"": 0.707636687658279, ""doppler"": 0.0, ""angle"": -7.44826132283266, ""elevation"": 0.0}, {""range"": 0.8685989702605397, ""doppler"": 0.0, ""angle"": 30.43982921946583, ""elevation"": 0.0}, {""range"": 0.7672744233430944, ""doppler"": 0.0, ""angle"": 35.1604820161293, ""elevation"": 0.0}, {""range"": 0.8117438315903993, ""doppler"": 0.0, ""angle"": 36.84213072693913, ""elevation"": 0.0}, {""range"": 1.850316488230357, ""doppler"": 0.0, ""angle"": 40.12743419376935, ""elevation"": 0.0}, {""range"": 1.8758983361956556, ""doppler"": 0.0, ""angle"": 45.98869244102484, ""elevation"": 0.0}, {""range"": 1.9002959956617056, ""doppler"": 0.0, ""angle"": 56.277035665533745, ""elevation"": 0.0}]",1785099023964.524
6,"[{""range"": 0.7401473143404532, ""doppler"": 0.0, ""angle"": 24.98009894905545, ""elevation"": 0.0}, {""range"": 0.7691512556477963, ""doppler"": 0.0, ""angle"": 24.3425347201986, ""elevation"": 0.0}, {""range"": 0.7190530529659783, ""doppler"": 0.0, ""angle"": 32.21984869450667, ""elevation"": 0.0}, {""range"": 0.8100409577621828, ""doppler"": 0.0, ""angle"": 34.10400154648658, ""elevation"": 0.0}, {""range"": 1.875148604599508, ""doppler"": 0.0, ""angle"": 43.995456147425664, ""elevation"": 0.0}, {""range"": 1.902167633582576, ""doppler"": 0.0, ""angle"": 59.481476271068104, ""elevation"": 0.0}]",1785099023964.8389
7,"[{""range"": 0.6737744162704893, ""doppler"": 0.0, ""angle"": 2.646751655173544, ""elevation"": 0.0}, {""range"": 0.6945134130000516, ""doppler"": 0.0, ""angle"": 0.02950348838773198, ""elevation"": 0.0}, {""range"": 0.6984416423814552, ""doppler"": 0.0, ""angle"": -1.8192338463284874, ""elevation"": 0.0}, {""range"": 0.773048954295261, ""doppler"": 0.0, ""angle"": 38.699134156835534, ""elevation"": 0.0}, {""range"": 1.8753949254326077, ""doppler"": 0.0, ""angle"": 42.770529805907856, ""elevation"": 0.0}, {""range"": 1.8973468986704298, ""doppler"": 0.0, ""angle"": 44.392889837257385, ""elevation"": 0.0}, {""range"": 2.060242362589049, ""doppler"": 0.0, ""angle"": 45.253177198681044, ""elevation"": 0.0}]",1785099023965.145
6,"[{""range"": 0.6805297508235985, ""doppler"": 0.0, ""angle"": 3.163128246116908, ""elevation"": 0.0}, {""range"": 0.7025766731746242, ""doppler"": 0.0, ""angle"": 2.9177493782304493, ""elevation"": 0.0}, {""range"": 0.7073121863817509, ""doppler"": 0.0, ""angle"": 3.3043684993131275, ""elevation"": 0.0}, {""range"": 1.8797795263670294, ""doppler"": 0.0, ""angle"": 44.36794519876231, ""elevation"": 0.0}, {""range"": 1.9050563657591528, ""doppler"": 0.0, ""angle"": 47.54108977329239, ""elevation"": 0.0}, {""range"": 1.9406005955133336, ""doppler"": 0.0, ""angle"": 49.52926639199541, ""elevation"": 0.0}]",1785099023965.461
5,"[{""range"": 0.7463143747813101, ""doppler"": 0.0, ""angle"": 25.883575435462404, ""elevation"": 0.0}, {""range"": 0.6769516992110878, ""doppler"": 0.0, ""angle"": 28.941415057251202, ""elevation"": 0.0}, {""range"": 0.7295502020254884, ""doppler"": 0.0, ""angle"": 26.696938631277188, ""elevation"": 0.0}, {""range"": 1.87697415489602, ""doppler"": 0.0, ""angle"": 41.9726065758493, ""elevation"": 0.0}, {""range"": 1.9041626862782244, ""doppler"": 0.0, ""angle"": 41.714861228412545, ""elevation"": 0.0}]",1785099023965.7888
6,"[{""range"": 0.7187173568676776, ""doppler"": 0.0, ""angle"": 3.2233198696300125, ""elevation"": 0.0}, {""range"": 2.7634411046682232, ""doppler"": 0.0, ""angle"": -3.2123230747631806, ""elevation"": 0.0}, {""range"": 0.7397783152763425, ""doppler"": 0.0, ""angle"": 11.644006947427446, ""elevation"": 0.0}, {""range"": 0.7542489813630765, ""doppler"": 0.0, ""angle"": 13.588191764385922, ""elevation"": 0.0}, {""range"": 1.8747913379902326, ""doppler"": 0.0, ""angle"": 40.31915098357453, ""elevation"": 0.0}, {""range"": 1.8980072879135588, ""doppler"": 0.0, ""angle"": 45.95045242499143, ""elevation"": 0.0}]",1785099023966.11
7,"[{""range"": 0.7704897388079824, ""doppler"": 0.0, ""angle"": 14.103968944083107, ""elevation"": 0.0}, {""range"": 0.7856702952666332, ""doppler"": 0.0, ""angle"": 11.274129009961339, ""elevation"": 0.0}, {""range"": 0.7610520401361122, ""doppler"": 0.0, ""angle"": 18.379607051465417, ""elevation"": 0.0}, {""range"": 0.732170396559927, ""doppler"": 0.0, ""angle"": 27.979474388480146, ""elevation"": 0.0}, {""range"": 0.8623062216850074, ""doppler"": 0.0, ""angle"": 34.01959618397543, ""elevation"": 0.0}, {""range"": 0.9093672423458081, ""doppler"": 0.0, ""angle"": 34.91818190380333, ""elevation"": 0.0}, {""range"": 0.9344502439935785, ""doppler"": 0.0, ""angle"": 39.00397947328176, ""elevation"": 0.0}]",1785099023966.435
