distance_cm,timestamp_ms
104.0,1785099023963.336
105.0,1785099023966.801
97.0,1785099023982.5652
96.0,1785099023994.462
87.0,1785099024017.039
89.0,1785099024022.613
85.0,1785099024043.614
78.0,1785099024056.863
107.0,1785099024062.529
85.0,1785099024086.63
91.0,1785099024103.341
96.0,1785099024187.287
97.0,1785099024223.296
106.0,1785099024287.3442
129.0,1785099024304.1401
106.0,1785099024317.2202
93.0,1785099024333.7048
87.0,1785099024346.9163
96.0,1785099024363.499
95.0,1785099024374.238
98.0,1785099024387.373
89.0,1785099024464.211
98.0,1785099024494.0413
105.0,1785099024507.343
99.0,1785099024573.7559
102.0,1785099024584.434
102.0,1785099024617.0293
101.0,1785099024623.137
105.0,1785099024643.906
99.0,1785099024657.203
102.0,1785099024663.2322
103.0,1785099024687.43
85.0,1785099024703.794
99.0,1785099024717.1042
102.0,1785099024733.3918
97.0,1785099024743.86
97.0,1785099024757.3462
96.0,1785099024773.527
94.0,1785099024784.23
91.0,1785099024797.755
84.0,1785099024813.531
79.0,1785099024827.095
76.0,1785099024843.704
80.0,1785099024856.988
77.0,1785099024873.986
66.0,1785099024887.8137
74.0,1785099024904.328
70.0,1785099024917.4058
61.0,1785099024937.107
65.0,1785099024943.049
58.0,1785099024967.904
57.0,1785099024986.8171
52.0,1785099025004.082
56.0,1785099025017.217
52.0,1785099025023.309
51.0,1785099025036.996
44.0,1785099025054.188
43.0,1785099025067.3079
40.0,1785099025087.269
39.0,1785099025104.8372
43.0,1785099025117.449
42.0,1785099025137.044
43.0,1785099025145.555
46.0,1785099025167.937
47.0,1785099025183.871
47.0,1785099025197.319
37.0,1785099025213.749
40.0,1785099025227.021
40.0,1785099025243.6328
50.0,1785099025254.431
74.0,1785099025267.596
96.0,1785099025286.8582
100.0,1785099025292.819
92.0,1785099025303.799
114.0,1785099025317.149
138.0,1785099025334.354
134.0,1785099025347.569
124.0,1785099025367.378
121.0,1785099025386.7441
121.0,1785099025404.012
114.0,1785099025417.2559
123.0,1785099025423.432
138.0,1785099025436.924
137.0,1785099025454.054
138.0,1785099025467.326
144.0,1785099025486.604
161.0,1785099025492.943
198.0,1785099025503.784
185.0,1785099025583.551
187.0,1785099025627.0771
178.0,1785099025643.5469
167.0,1785099025654.3228
172.0,1785099025667.5
160.0,1785099025744.4749
170.0,1785099025777.032
161.0,1785099025783.0022
104.0,1785099025863.028
114.0,1785099025906.999
98.0,1785099025924.254
92.0,1785099025937.533
91.0,1785099025943.593
92.0,1785099026024.529
49.0,1785099026057.174
47.0,1785099026063.297
53.0,1785099026087.8223
63.0,1785099026106.953
32.0,1785099026123.478
62.0,1785099026134.104
67.0,1785099026147.417
65.0,1785099026163.828
73.0,1785099026177.208
64.0,1785099026183.216
58.0,1785099026207.3757
45.0,1785099026224.164
97.0,1785099026237.2961
71.0,1785099026256.754
102.0,1785099026274.001
111.0,1785099026287.6558
68.0,1785099026306.919
139.0,1785099026323.9338
145.0,1785099026337.233
152.0,1785099026343.2231
146.0,1785099026367.743
152.0,1785099026386.842
167.0,1785099026404.0862
128.0,1785099026417.289
186.0,1785099026423.453
200.0,1785099026436.9888
160.0,1785099026454.158
152.0,1785099026467.353
153.0,1785099026486.904
156.0,1785099026493.0051
173.0,1785099026504.447
165.0,1785099026517.1042
162.0,1785099026537.2422
183.0,1785099026542.9758
179.0,1785099026567.19
188.0,1785099026587.1592
194.0,1785099026604.317
170.0,1785099026617.524
169.0,1785099026623.6238
185.0,1785099026647.854
179.0,1785099026663.504
181.0,1785099026677.16
172.0,1785099026693.512
170.0,1785099026704.4402
171.0,1785099026717.4678
175.0,1785099026734.308
164.0,1785099026747.594
153.0,1785099026767.377
158.0,1785099026784.331
159.0,1785099026867.051
156.0,1785099026903.615
154.0,1785099026917.3271
158.0,1785099026934.355
168.0,1785099026947.589
100.0,1785099027027.447
93.0,1785099027053.1462
90.0,1785099027063.821
69.0,1785099027077.153
89.0,1785099027094.061
54.0,1785099027107.32
46.0,1785099027124.314
61.0,1785099027137.593
92.0,1785099027143.6438
46.0,1785099027157.05
54.0,1785099027173.9368
69.0,1785099027187.19
67.0,1785099027204.0068
52.0,1785099027217.2869
52.0,1785099027223.394
55.0,1785099027304.394
128.0,1785099027342.905
99.0,1785099027367.2278
109.0,1785099027447.1199
138.0,1785099027476.949
152.0,1785099027494.3518
151.0,1785099027507.457
141.0,1785099027526.961
145.0,1785099027532.813
137.0,1785099027544.105
149.0,1785099027557.144
127.0,1785099027574.08
138.0,1785099027587.345
144.0,1785099027604.358
147.0,1785099027617.523
160.0,1785099027623.562
167.0,1785099027637.1208
167.0,1785099027653.992
168.0,1785099027667.161
168.0,1785099027683.826
176.0,1785099027697.304
169.0,1785099027703.367
190.0,1785099027727.721
210.0,1785099027746.824
191.0,1785099027763.9539
177.0,1785099027777.186
178.0,1785099027783.222
176.0,1785099027807.426
170.0,1785099027823.4912
161.0,1785099027847.705
171.0,1785099027864.104
174.0,1785099027877.191
173.0,1785099027893.885
169.0,1785099027907.155
164.0,1785099027924.002
167.0,1785099027937.334
164.0,1785099027943.337
159.0,1785099027967.7397
156.0,1785099027984.4138
156.0,1785099027997.65
156.0,1785099028017.067
137.0,1785099028023.333
157.0,1785099028047.625
155.0,1785099028064.373
153.0,1785099028077.534
156.0,1785099028096.91
110.0,1785099028103.19
113.0,1785099028127.6191
109.0,1785099028144.2969
107.0,1785099028157.408
104.0,1785099028174.425
69.0,1785099028187.692
79.0,1785099028207.391
87.0,1785099028224.096
87.0,1785099028237.3108
86.0,1785099028254.21
61.0,1785099028267.4612
99.0,1785099028287.071
100.0,1785099028304.037
92.0,1785099028317.1301
78.0,1785099028334.059
75.0,1785099028347.289
77.0,1785099028364.325
55.0,1785099028377.5789
52.0,1785099028383.418
32.0,1785099028407.284
61.0,1785099028423.857
30.0,1785099028447.669
37.0,1785099028464.4082
52.0,1785099028477.386
39.0,1785099028497.149
84.0,1785099028503.16
97.0,1785099028583.196
95.0,1785099028627.0369
116.0,1785099028644.152
184.0,1785099028724.0242
158.0,1785099028767.699
167.0,1785099028784.373
170.0,1785099028797.536
206.0,1785099028817.075
213.0,1785099028823.23
165.0,1785099028847.828
183.0,1785099028867.147
212.0,1785099028884.373
173.0,1785099028897.629
175.0,1785099028903.758
190.0,1785099028917.276
195.0,1785099028934.22
