ax,ay,az,gx,gy,gz,timestamp_ms
0.243,-0.898,0.357,0.34,-139.13,-154.15,1785099168090.6602
0.269,-0.888,0.343,-7.57,-139.5,-156.9,1785099168122.3428
0.306,-0.861,0.326,-9.43,-140.32,-157.78,1785099168122.7178
0.346,-0.793,0.303,-7.63,-140.78,-156.59,1785099168123.018
0.418,-0.727,0.276,-3.05,-140.23,-152.17,1785099168123.322
0.484,-0.74,0.26,4.46,-138.4,-149.05,1785099168123.625
0.474,-0.732,0.25,11.78,-136.88,-150.03,1785099168123.931
0.447,-0.684,0.259,21.79,-136.54,-148.41,1785099168124.227
0.437,-0.639,0.243,32.62,-138.28,-144.69,1785099168124.548
0.438,-0.569,0.208,36.71,-141.06,-142.19,1785099168124.875
0.459,-0.494,0.142,33.57,-143.62,-139.84,1785099168125.2107
0.51,-0.444,0.08,26.95,-143.86,-137.7,1785099168125.511
0.561,-0.422,0.049,19.93,-142.74,-137.09,1785099168125.812
0.594,-0.415,0.042,16.21,-140.51,-137.03,1785099168126.112
0.602,-0.459,0.063,20.63,-137.46,-136.33,1785099168126.407
0.568,-0.501,0.063,31.22,-135.14,-136.02,1785099168126.699
0.524,-0.493,0.032,44.71,-132.3,-134.31,1785099168126.994
0.503,-0.431,-0.019,57.62,-129.06,-129.4,1785099168127.312
0.514,-0.346,-0.058,66.41,-125.77,-123.11,1785099168127.6091
0.539,-0.271,-0.096,68.45,-122.96,-118.02,1785099168127.883
0.57,-0.23,-0.127,64.7,-119.66,-114.99,1785099168128.157
0.59,-0.245,-0.125,58.96,-116.03,-114.78,1785099168128.4312
0.581,-0.274,-0.11,54.84,-111.94,-116.03,1785099168128.693
0.564,-0.322,-0.083,57.5,-107.46,-116.43,1785099168128.983
0.537,-0.355,-0.105,65.8,-104.4,-116.31,1785099168129.255
0.537,-0.305,-0.135,73.4,-101.99,-113.22,1785099168129.544
0.571,-0.246,-0.132,80.17,-100.86,-106.81,1785099168129.8052
0.593,-0.204,-0.152,83.65,-101.32,-101.93,1785099168130.073
0.612,-0.162,-0.192,82.67,-100.68,-99.55,1785099168130.343
0.644,-0.153,-0.222,81.42,-98.39,-97.11,1785099168130.615
0.676,-0.176,-0.25,81.03,-95.8,-95.58,1785099168130.8647
0.696,-0.218,-0.258,79.38,-93.51,-95.25,1785099168131.155
0.691,-0.261,-0.252,76.33,-91.53,-95.4,1785099168131.417
0.677,-0.277,-0.251,73.37,-89.42,-94.45,1785099168131.7551
0.674,-0.255,-0.28,71.29,-87.56,-92.53,1785099168132.0232
0.7,-0.221,-0.294,68.48,-85.36,-90.12,1785099168132.294
0.73,-0.212,-0.302,65.95,-83.07,-88.32,1785099168132.586
0.747,-0.217,-0.333,64.61,-79.96,-88.69,1785099168132.8408
0.777,-0.208,-0.343,65.19,-75.78,-89.69,1785099168133.1
0.829,-0.204,-0.314,67.75,-74.13,-88.72,1785099168133.36
0.841,-0.198,-0.31,69.95,-75.75,-87.74,1785099168133.62
0.837,-0.175,-0.332,70.89,-76.88,-86.28,1785099168133.873
0.842,-0.169,-0.325,71.35,-77.67,-84.75,1785099168134.1309
0.836,-0.175,-0.324,70.65,-80.32,-85.79,1785099168134.3857
0.837,-0.181,-0.347,67.66,-81.97,-89.24,1785099168134.651
0.86,-0.176,-0.349,63.3,-81.7,-93.08,1785099168134.933
0.884,-0.169,-0.36,58.93,-82.19,-95.4,1785099168135.202
0.904,-0.145,-0.387,53.71,-84.11,-95.46,1785099168135.526
0.92,-0.112,-0.422,47.46,-86.73,-94.24,1785099168135.766
0.913,-0.069,-0.469,40.59,-89.45,-93.57,1785099168136.01
0.894,-0.02,-0.524,34.27,-90.33,-92.99,1785099168136.25
0.874,0.046,-0.594,30.88,-89.45,-92.35,1785099168136.483
0.88,0.121,-0.694,30.67,-85.51,-91.22,1785099168136.753
0.912,0.209,-0.801,29.97,-79.41,-89.97,1785099168137.027
0.913,0.305,-0.931,26.73,-73.98,-88.29,1785099168137.27
0.896,0.408,-1.1,20.81,-65.43,-85.15,1785099168137.5042
0.892,0.519,-1.252,11.08,-53.71,-77.27,1785099168137.791
0.878,0.641,-1.392,0.43,-37.51,-65.25,1785099168138.049
0.855,0.754,-1.426,-7.97,-16.57,-49.2,1785099168138.2852
0.868,0.77,-1.319,-6.32,7.72,-32.84,1785099168138.514
0.9,0.712,-1.153,-1.59,31.19,-19.14,1785099168138.7498
0.892,0.649,-0.948,-5.01,50.97,-6.56,1785099168138.987
0.883,0.568,-0.755,-16.69,64.03,8.18,1785099168139.2178
0.902,0.491,-0.575,-33.54,71.93,22.86,1785099168139.456
0.9,0.42,-0.424,-49.01,71.87,36.1,1785099168139.701
0.889,0.344,-0.298,-56.03,66.87,47.64,1785099168139.957
0.882,0.274,-0.223,-54.6,62.04,55.6,1785099168140.1912
0.879,0.193,-0.186,-49.13,55.6,60.64,1785099168140.4312
0.861,0.115,-0.181,-42.09,48.83,64.73,1785099168140.671
0.863,0.039,-0.188,-35.22,43.46,69.58,1785099168140.903
0.889,-0.029,-0.208,-28.26,38.09,74.07,1785099168141.148
0.901,-0.058,-0.232,-23.29,33.05,75.11,1785099168141.4011
0.902,-0.061,-0.241,-22.61,28.17,73.21,1785099168141.645
0.881,-0.064,-0.237,-24.51,24.32,68.61,1785099168141.865
0.861,-0.067,-0.219,-28.05,22.55,62.93,1785099168142.088
0.842,-0.076,-0.194,-30.79,21.39,57.8,1785099168142.3308
0.832,-0.084,-0.187,-31.53,20.51,53.07,1785099168142.548
0.833,-0.068,-0.177,-31.22,19.47,49.99,1785099168142.7742
0.828,-0.053,-0.161,-28.9,17.4,49.29,1785099168143.0002
0.797,-0.045,-0.149,-24.29,15.05,49.62,1785099168143.247
0.762,-0.041,-0.139,-18.49,13.89,50.9,1785099168143.4683
0.738,-0.039,-0.135,-12.67,14.95,52.64,1785099168143.7068
0.735,-0.046,-0.144,-6.96,17.82,53.41,1785099168143.9302
0.742,-0.042,-0.148,-3.27,20.45,53.38,1785099168144.158
0.737,-0.033,-0.141,-1.74,22.37,53.07,1785099168144.381
0.73,-0.028,-0.134,0.46,24.69,53.35,1785099168144.6028
0.727,-0.027,-0.131,4.03,27.22,54.66,1785099168144.824
0.727,-0.025,-0.128,7.14,29.24,56.79,1785099168145.041
0.72,-0.022,-0.112,8.58,30.52,59.18,1785099168145.261
0.708,-0.032,-0.108,9.46,31.77,61.49,1785099168145.48
0.702,-0.05,-0.111,10.1,34.46,63.45,1785099168145.699
0.682,-0.069,-0.102,10.19,37.9,64.91,1785099168145.928
0.676,-0.083,-0.11,10.32,42.15,67.02,1785099168146.152
0.715,-0.093,-0.106,9.98,47.43,70.65,1785099168146.377
0.76,-0.12,-0.087,9.13,50.36,76.08,1785099168146.5918
0.766,-0.151,-0.07,6.81,49.99,81.21,1785099168146.814
0.747,-0.173,-0.039,4.3,49.04,84.84,1785099168147.041
0.737,-0.182,-0.006,3.11,48.52,89.33,1785099168147.254
0.737,-0.193,0.017,3.36,48.1,95.55,1785099168147.4812
0.735,-0.214,0.027,4.73,47.88,101.63,1785099168147.711
0.729,-0.241,0.005,6.07,48.55,106.02,1785099168147.9458
0.729,-0.241,0.005,5.07,50.94,109.01,1785099168148.164
0.752,-0.276,-0.041,0.24,54.75,109.56,1785099168148.3882
0.786,-0.312,-0.04,-5.07,58.14,109.93,1785099168148.6343
0.79,-0.347,-0.028,-10.07,61.56,113.25,1785099168148.884
0.796,-0.369,-0.019,-12.24,64.73,118.63,1785099168149.124
0.804,-0.38,0.042,-12.24,64.73,118.63,1785099168149.3572
0.799,-0.406,0.103,-7.75,67.42,126.44,1785099168149.568
0.817,-0.468,0.126,3.33,70.5,135.5,1785099168149.7952
0.831,-0.513,0.159,16.79,73.12,141.39,1785099168150.023
0.833,-0.558,0.165,29.42,74.19,146.37,1785099168150.2349
0.86,-0.62,0.131,39.7,74.83,150.88,1785099168150.444
0.888,-0.693,0.116,42.7,73.85,151.98,1785099168150.6528
0.902,-0.747,0.114,39.03,70.35,149.6,1785099168150.8638
0.909,-0.785,0.117,34.64,66.38,145.97,1785099168151.074
0.903,-0.773,0.132,32.35,62.53,145.54,1785099168151.304
0.934,-0.827,0.164,31.28,56.49,148.35,1785099168151.5146
0.923,-0.826,0.174,31.95,49.29,147.8,1785099168151.7388
0.961,-0.888,0.143,33.02,39.4,147.95,1785099168151.9492
0.975,-0.927,0.09,32.44,26.89,142.34,1785099168152.155
0.979,-0.962,0.05,28.11,12.67,137.24,1785099168152.364
0.972,-0.983,-0.011,22.86,-3.72,133.09,1785099168152.574
0.991,-1.003,-0.038,16.72,-22.06,128.73,1785099168152.7861
0.998,-1.025,-0.039,10.71,-42.7,121.65,1785099168152.9941
0.953,-0.983,-0.011,8.21,-63.94,112.16,1785099168153.2039
0.898,-0.946,0.004,11.93,-86.18,108.77,1785099168153.415
0.856,-0.989,-0.053,15.14,-108.71,103.82,1785099168153.628
0.786,-1.01,-0.137,11.72,-128.88,94.33,1785099168153.902
0.724,-1.035,-0.243,3.6,-145.3,86.0,1785099168154.114
0.667,-1.037,-0.334,-5.92,-156.07,78.68,1785099168154.324
0.621,-1.036,-0.384,-11.78,-161.47,72.97,1785099168154.5322
0.591,-1.04,-0.423,-11.26,-163.27,67.32,1785099168154.741
0.579,-1.035,-0.448,-4.06,-161.11,60.91,1785099168154.9521
0.564,-1.008,-0.44,7.26,-156.62,53.83,1785099168155.1611
0.556,-0.986,-0.41,23.13,-151.19,48.59,1785099168155.364
0.56,-1.002,-0.389,42.27,-145.88,43.92,1785099168155.568
0.554,-1.013,-0.4,59.11,-140.84,38.73,1785099168155.789
0.538,-1.002,-0.429,70.86,-134.28,35.25,1785099168155.989
0.532,-0.975,-0.451,76.51,-125.92,32.99,1785099168156.1868
0.539,-0.953,-0.451,75.47,-116.92,30.79,1785099168156.393
0.558,-0.943,-0.426,68.18,-107.94,27.86,1785099168156.596
0.583,-0.945,-0.38,57.5,-99.22,23.65,1785099168156.79
