distance_cm,timestamp_ms
52.0,1785109820980.606
51.0,1785109820984.295
49.0,1785109821003.946
48.0,1785109821023.754
51.0,1785109821053.3818
47.0,1785109821063.749
47.0,1785109821092.6443
46.0,1785109821113.439
42.0,1785109821123.878
43.0,1785109821152.7942
52.0,1785109821173.8088
65.0,1785109821187.2058
73.0,1785109821213.909
71.0,1785109821227.366
60.0,1785109821254.3062
70.0,1785109821267.4602
70.0,1785109821297.5007
65.0,1785109821314.2322
72.0,1785109821327.492
70.0,1785109821357.467
84.0,1785109821374.025
82.0,1785109821387.446
104.0,1785109821417.045
105.0,1785109821434.0742
117.0,1785109821447.2903
114.0,1785109821464.448
104.0,1785109821494.3909
129.0,1785109821507.664
124.0,1785109821526.987
140.0,1785109821557.124
121.0,1785109821573.66
152.0,1785109821587.382
149.0,1785109821604.481
159.0,1785109821634.381
143.0,1785109821647.5579
139.0,1785109821666.904
174.0,1785109821694.4539
147.0,1785109821707.701
156.0,1785109821724.638
147.0,1785109821756.959
133.0,1785109821773.8901
145.0,1785109821787.144
145.0,1785109821817.337
152.0,1785109821834.259
158.0,1785109821847.4739
154.0,1785109821864.455
160.0,1785109821896.959
146.0,1785109821914.192
142.0,1785109821927.379
128.0,1785109821946.96
131.0,1785109821977.3472
135.0,1785109821994.414
119.0,1785109822007.878
143.0,1785109822027.062
134.0,1785109822057.3362
95.0,1785109822074.2112
84.0,1785109822087.542
74.0,1785109822104.634
60.0,1785109822134.345
52.0,1785109822147.5972
44.0,1785109822164.352
38.0,1785109822193.855
40.0,1785109822206.8533
39.0,1785109822236.812
31.0,1785109822253.4521
33.0,1785109822264.1047
32.0,1785109822294.1282
33.0,1785109822307.388
31.0,1785109822333.972
41.0,1785109822347.221
47.0,1785109822374.012
40.0,1785109822387.406
46.0,1785109822413.7822
46.0,1785109822427.381
46.0,1785109822453.619
50.0,1785109822464.4612
69.0,1785109822494.035
97.0,1785109822507.1292
95.0,1785109822534.4807
89.0,1785109822547.5828
94.0,1785109822577.311
98.0,1785109822593.962
77.0,1785109822607.209
89.0,1785109822637.156
31.0,1785109822653.882
77.0,1785109822667.31
87.0,1785109822684.427
74.0,1785109822717.061
69.0,1785109822734.3428
95.0,1785109822747.593
101.0,1785109822767.225
98.0,1785109822784.48
85.0,1785109822814.427
112.0,1785109822827.7278
124.0,1785109822847.125
102.0,1785109822877.323
130.0,1785109822894.315
150.0,1785109822907.3547
131.0,1785109822924.6772
152.0,1785109822954.8218
164.0,1785109822967.832
170.0,1785109822987.467
180.0,1785109823017.528
165.0,1785109823034.473
198.0,1785109823047.7751
260.0,1785109823066.7031
180.0,1785109823096.8691
178.0,1785109823113.546
187.0,1785109823126.8853
184.0,1785109823157.239
184.0,1785109823173.718
178.0,1785109823187.072
196.0,1785109823214.486
188.0,1785109823227.585
187.0,1785109823257.157
186.0,1785109823274.335
186.0,1785109823287.4639
194.0,1785109823314.052
255.0,1785109823327.224
226.0,1785109823354.068
215.0,1785109823367.2588
216.0,1785109823393.982
215.0,1785109823408.043
220.0,1785109823434.0378
227.0,1785109823447.332
246.0,1785109823473.7
255.0,1785109823484.214
236.0,1785109823513.3418
247.0,1785109823537.177
236.0,1785109823553.231
269.0,1785109823574.035
272.0,1785109823587.392
177.0,1785109823616.8188
177.0,1785109823633.2642
161.0,1785109823643.9622
229.0,1785109823673.398
223.0,1785109823683.958
188.0,1785109823714.025
185.0,1785109823726.793
269.0,1785109823754.155
205.0,1785109823767.041
220.0,1785109823796.928
193.0,1785109823813.7651
213.0,1785109823824.589
189.0,1785109823854.2468
185.0,1785109823867.468
190.0,1785109823897.345
202.0,1785109823913.873
194.0,1785109823927.177
218.0,1785109823957.064
