ax,ay,az,gx,gy,gz,timestamp_ms
-0.192,-1.07,-0.129,-2.96,3.23,0.06,1785110032871.208
-0.182,-1.049,-0.132,1.13,3.33,-0.76,1785110032871.8
-0.184,-1.02,-0.148,3.69,3.42,-0.95,1785110032872.25
-0.191,-1.004,-0.165,4.46,3.63,-1.1,1785110032872.6777
-0.2,-0.99,-0.16,3.48,4.09,-1.68,1785110032873.1038
-0.204,-0.983,-0.146,1.95,4.52,-2.01,1785110032873.5093
-0.202,-0.97,-0.144,0.46,4.64,-2.44,1785110032873.918
-0.193,-0.955,-0.137,-0.82,4.73,-2.32,1785110032874.312
-0.18,-0.946,-0.137,-1.98,4.76,-2.01,1785110032874.743
-0.182,-0.948,-0.128,-2.81,5.34,-1.86,1785110032875.145
-0.188,-0.946,-0.117,-3.02,5.86,-1.74,1785110032875.551
-0.188,-0.949,-0.113,-1.56,6.23,-1.43,1785110032875.9502
-0.189,-0.949,-0.107,0.12,6.38,-0.95,1785110032876.3462
-0.182,-0.944,-0.103,2.29,6.53,-0.73,1785110032876.7559
-0.169,-0.93,-0.098,5.07,6.47,-0.49,1785110032877.148
-0.158,-0.92,-0.077,7.23,6.29,-0.61,1785110032877.543
-0.15,-0.908,-0.051,8.03,5.98,-0.73,1785110032877.9468
-0.14,-0.886,-0.049,10.07,5.34,-0.92,1785110032878.3518
-0.146,-0.855,-0.075,13.73,4.46,-0.82,1785110032878.7488
-0.17,-0.843,-0.111,15.9,4.06,-0.34,1785110032879.157
-0.183,-0.824,-0.112,12.48,4.36,0.21,1785110032879.5662
-0.173,-0.802,-0.098,5.71,4.73,1.98,1785110032879.942
-0.177,-0.805,-0.098,-1.04,5.31,3.81,1785110032880.294
-0.203,-0.813,-0.112,-7.45,5.86,4.15,1785110032880.643
-0.227,-0.816,-0.108,-12.85,5.86,3.97,1785110032880.996
-0.227,-0.819,-0.093,-16.17,4.94,3.69,1785110032881.3372
-0.2,-0.814,-0.081,-17.64,3.94,3.51,1785110032881.6938
-0.196,-0.799,-0.085,-17.37,2.81,4.27,1785110032882.039
-0.202,-0.777,-0.093,-17.09,1.8,5.58,1785110032882.3809
-0.202,-0.753,-0.096,-18.19,0.98,6.53,1785110032882.763
-0.211,-0.72,-0.094,-20.63,0.06,6.81,1785110032883.114
-0.234,-0.68,-0.072,-25.09,-1.43,6.29,1785110032883.483
-0.26,-0.641,-0.033,-32.26,-4.52,5.16,1785110032883.817
-0.278,-0.605,0.01,-42.57,-9.89,2.93,1785110032884.158
-0.312,-0.547,0.065,-57.95,-18.19,-0.89,1785110032884.5051
-0.312,-0.547,0.065,-77.91,-31.59,-6.04,1785110032884.844
-0.346,-0.482,0.083,-101.23,-46.94,-13.06,1785110032885.2632
-0.348,-0.442,-0.007,-124.76,-56.31,-21.7,1785110032885.667
-0.332,-0.419,-0.151,-144.47,-60.7,-28.87,1785110032886.0227
-0.315,-0.438,-0.226,-152.81,-61.37,-33.36,1785110032886.402
-0.258,-0.52,-0.172,-152.81,-61.37,-33.36,1785110032886.7578
-0.225,-0.561,-0.01,-151.68,-60.64,-32.2,1785110032887.11
-0.203,-0.523,0.111,-144.75,-62.17,-23.96,1785110032887.4868
-0.219,-0.571,0.187,-127.05,-65.65,-16.39,1785110032887.808
-0.279,-0.548,0.259,-115.54,-77.27,-14.44,1785110032888.137
-0.347,-0.486,0.234,-105.14,-90.12,-17.49,1785110032888.4521
-0.476,-0.399,0.167,-99.19,-101.81,-23.59,1785110032888.768
-0.664,-0.276,0.121,-103.49,-113.13,-25.76,1785110032889.0847
-0.851,-0.211,0.089,-113.68,-122.5,-21.91,1785110032889.4011
-0.933,-0.236,0.061,-125.1,-128.61,-15.93,1785110032889.7212
-0.864,-0.374,0.008,-129.49,-130.8,-6.41,1785110032890.032
-0.671,-0.608,-0.09,-124.03,-134.19,10.19,1785110032890.344
-0.51,-0.759,-0.233,-118.99,-142.86,27.95,1785110032890.665
-0.532,-0.732,-0.239,-113.56,-144.29,46.69,1785110032890.9812
-0.658,-0.699,-0.193,-95.86,-140.35,63.75,1785110032891.285
-0.776,-0.697,-0.206,-71.47,-142.46,74.65,1785110032891.5952
-0.833,-0.734,-0.277,-43.06,-149.21,86.28,1785110032891.9092
-0.807,-0.817,-0.403,-11.26,-155.46,102.63,1785110032892.249
-0.722,-0.815,-0.51,16.48,-155.77,118.78,1785110032892.565
-0.62,-0.785,-0.62,36.13,-152.96,133.55,1785110032892.885
-0.562,-0.794,-0.744,41.08,-146.86,143.89,1785110032893.2039
-0.551,-0.835,-0.781,32.53,-139.23,150.82,1785110032893.5198
-0.586,-0.896,-0.781,21.33,-135.87,158.12,1785110032893.8508
-0.697,-0.842,-0.831,1.25,-129.67,160.77,1785110032894.1802
