num_points,points,timestamp_ms
4,"[{""range"": 0.7760786168028714, ""doppler"": 0.0, ""angle"": -19.34923219137073, ""elevation"": 0.0}, {""range"": 0.7219255127781722, ""doppler"": 0.0, ""angle"": -8.202354244625583, ""elevation"": 0.0}, {""range"": 0.6792655598853874, ""doppler"": 0.0, ""angle"": 16.140144862520945, ""elevation"": 0.0}, {""range"": 2.0574814056878803, ""doppler"": 0.0, ""angle"": 51.9428982188969, ""elevation"": 0.0}]",1785110159821.032
7,"[{""range"": 0.7759541004759147, ""doppler"": 0.0, ""angle"": -20.33505978849887, ""elevation"": 0.0}, {""range"": 1.179106418254448, ""doppler"": 0.0, ""angle"": -20.311970885561845, ""elevation"": 0.0}, {""range"": 0.8242694172433395, ""doppler"": 0.0, ""angle"": -17.094504432191933, ""elevation"": 0.0}, {""range"": 0.7045804980024859, ""doppler"": 0.0, ""angle"": 20.98322401614521, ""elevation"": 0.0}, {""range"": 0.7244707400434666, ""doppler"": 0.0, ""angle"": 18.23817982608611, ""elevation"": 0.0}, {""range"": 2.0259875141678054, ""doppler"": 0.0, ""angle"": 56.9326729171167, ""elevation"": 0.0}, {""range"": 2.0543890269535123, ""doppler"": 0.0, ""angle"": 59.29196922687548, ""elevation"": 0.0}]",1785110159821.416
7,"[{""range"": 0.8063432509107501, ""doppler"": 0.0, ""angle"": -19.604252114461485, ""elevation"": 0.0}, {""range"": 0.7741580310905508, ""doppler"": 0.0, ""angle"": -17.27981348264631, ""elevation"": 0.0}, {""range"": 1.1629011311155988, ""doppler"": 0.0, ""angle"": -17.097547113272608, ""elevation"": 0.0}, {""range"": 0.7180046588548096, ""doppler"": 0.0, ""angle"": -1.4984268114228727, ""elevation"": 0.0}, {""range"": 0.6903778836040879, ""doppler"": 0.0, ""angle"": 10.838444778868839, ""elevation"": 0.0}, {""range"": 2.027729902533537, ""doppler"": 0.0, ""angle"": 50.35615852300019, ""elevation"": 0.0}, {""range"": 2.057938457325588, ""doppler"": 0.0, ""angle"": 49.48942296676707, ""elevation"": 0.0}]",1785110159821.722
9,"[{""range"": 0.7752527770176114, ""doppler"": 0.0, ""angle"": -19.17466649086251, ""elevation"": 0.0}, {""range"": 1.1602046800216725, ""doppler"": 0.0, ""angle"": -20.761720433311233, ""elevation"": 0.0}, {""range"": 1.174543843219289, ""doppler"": 0.0, ""angle"": -19.753572877042384, ""elevation"": 0.0}, {""range"": 0.707670326943267, ""doppler"": 0.0, ""angle"": 9.526584468573581, ""elevation"": 0.0}, {""range"": 0.6997184832330505, ""doppler"": 0.0, ""angle"": 11.393206990929924, ""elevation"": 0.0}, {""range"": 2.9342076704293896, ""doppler"": 0.0, ""angle"": 12.744681323760746, ""elevation"": 0.0}, {""range"": 2.026984605504386, ""doppler"": 0.0, ""angle"": 41.04755969329148, ""elevation"": 0.0}, {""range"": 2.0847066609927496, ""doppler"": 0.0, ""angle"": 41.39396824991758, ""elevation"": 0.0}, {""range"": 2.057933120320227, ""doppler"": 0.0, ""angle"": 43.91920863061637, ""elevation"": 0.0}]",1785110159822.0378
9,"[{""range"": 0.7942620489968768, ""doppler"": 0.0, ""angle"": -21.736736184100714, ""elevation"": 0.0}, {""range"": 0.8165917887767717, ""doppler"": 0.0, ""angle"": -20.589819446252328, ""elevation"": 0.0}, {""range"": 0.8718522408525083, ""doppler"": 0.0, ""angle"": -16.907472910384136, ""elevation"": 0.0}, {""range"": 0.693785760096925, ""doppler"": 0.0, ""angle"": 1.2553137351557588, ""elevation"": 0.0}, {""range"": 0.707860317088592, ""doppler"": 0.0, ""angle"": -1.6502180078469608, ""elevation"": 0.0}, {""range"": 2.9263356644056393, ""doppler"": 0.0, ""angle"": 19.188928252516778, ""elevation"": 0.0}, {""range"": 1.9875570021632387, ""doppler"": 0.0, ""angle"": 50.420807174674934, ""elevation"": 0.0}, {""range"": 2.020284018638499, ""doppler"": 0.0, ""angle"": 50.29312283888401, ""elevation"": 0.0}, {""range"": 2.0523612643463065, ""doppler"": 0.0, ""angle"": 50.31650734472068, ""elevation"": 0.0}]",1785110159822.371
5,"[{""range"": 0.7947280051805359, ""doppler"": 0.0, ""angle"": -25.723289885724206, ""elevation"": 0.0}, {""range"": 0.8315829249896391, ""doppler"": 0.0, ""angle"": -20.78099351774912, ""elevation"": 0.0}, {""range"": 0.6933854722169722, ""doppler"": 0.0, ""angle"": 6.336928330779128, ""elevation"": 0.0}, {""range"": 0.701180237693253, ""doppler"": 0.0, ""angle"": 9.719349177825285, ""elevation"": 0.0}, {""range"": 2.0495363447507815, ""doppler"": 0.0, ""angle"": 48.79197306638345, ""elevation"": 0.0}]",1785110159822.675
6,"[{""range"": 0.7856421324386667, ""doppler"": 0.0, ""angle"": -21.174205710329556, ""elevation"": 0.0}, {""range"": 0.811853564142344, ""doppler"": 0.0, ""angle"": -21.337410290467435, ""elevation"": 0.0}, {""range"": 0.7540665660115052, ""doppler"": 0.0, ""angle"": -17.584211562781782, ""elevation"": 0.0}, {""range"": 0.8682711388794062, ""doppler"": 0.0, ""angle"": -14.502727269317022, ""elevation"": 0.0}, {""range"": 0.7013030756550831, ""doppler"": 0.0, ""angle"": 27.3360049853849, ""elevation"": 0.0}, {""range"": 2.0625949524648353, ""doppler"": 0.0, ""angle"": 51.21141822630471, ""elevation"": 0.0}]",1785110159822.992
7,"[{""range"": 0.7975179451082226, ""doppler"": 0.0, ""angle"": -20.226762755736793, ""elevation"": 0.0}, {""range"": 0.7830860181420023, ""doppler"": 0.0, ""angle"": -16.407260220951, ""elevation"": 0.0}, {""range"": 0.6589679483497315, ""doppler"": 0.0, ""angle"": 3.0487424070251175, ""elevation"": 0.0}, {""range"": 0.6780142442560608, ""doppler"": 0.0, ""angle"": 3.6592815186608023, ""elevation"": 0.0}, {""range"": 1.9793913035297652, ""doppler"": 0.0, ""angle"": 48.28479075282055, ""elevation"": 0.0}, {""range"": 2.0181901139906766, ""doppler"": 0.0, ""angle"": 51.43532917997828, ""elevation"": 0.0}, {""range"": 2.050888675868996, ""doppler"": 0.0, ""angle"": 53.10912111161509, ""elevation"": 0.0}]",1785110159823.297
8,"[{""range"": 1.2215749536045184, ""doppler"": 0.0, ""angle"": -41.997810241854744, ""elevation"": 0.0}, {""range"": 0.8000295489397686, ""doppler"": 0.0, ""angle"": -22.48392280723112, ""elevation"": 0.0}, {""range"": 0.8179368623742524, ""doppler"": 0.0, ""angle"": -20.34053833995546, ""elevation"": 0.0}, {""range"": 0.8707280958185252, ""doppler"": 0.0, ""angle"": -12.717691405167354, ""elevation"": 0.0}, {""range"": 0.69674729620085, ""doppler"": 0.0, ""angle"": 10.438997575895332, ""elevation"": 0.0}, {""range"": 0.7243553623016215, ""doppler"": 0.0, ""angle"": 18.56913073103783, ""elevation"": 0.0}, {""range"": 0.7447325591505922, ""doppler"": 0.0, ""angle"": 22.636796637188123, ""elevation"": 0.0}, {""range"": 2.0585315167110885, ""doppler"": 0.0, ""angle"": 47.42901760726542, ""elevation"": 0.0}]",1785110159823.5881
8,"[{""range"": 0.7835048353211977, ""doppler"": 0.0, ""angle"": 24.441790388625744, ""elevation"": 0.0}, {""range"": 0.7467695724537972, ""doppler"": 0.0, ""angle"": 30.617882552349464, ""elevation"": 0.0}, {""range"": 0.7526756847158922, ""doppler"": 0.0, ""angle"": 28.958091005219742, ""elevation"": 0.0}, {""range"": 0.7257594134666377, ""doppler"": 0.0, ""angle"": 41.15405360315357, ""elevation"": 0.0}, {""range"": 1.048375254607021, ""doppler"": 0.0, ""angle"": 40.877950561121835, ""elevation"": 0.0}, {""range"": 2.0620767162740865, ""doppler"": 0.0, ""angle"": 52.82007081116955, ""elevation"": 0.0}, {""range"": 2.0789499300472194, ""doppler"": 0.0, ""angle"": 47.90399539810263, ""elevation"": 0.0}, {""range"": 2.0324878195662315, ""doppler"": 0.0, ""angle"": 56.58814658047407, ""elevation"": 0.0}]",1785110159823.8909
