timestamp_ms,distance_cm
635187.0000000345,27.0
635217.9999999935,31.0
635234.000000055,28.0
635250.0,29.0
635265.000000014,24.0
635295.999999973,21.0
635312.0000000345,24.0
635327.9999999795,30.0
635342.9999999935,27.0
635375.0,27.0
635390.000000014,27.0
635405.999999959,24.0
635437.0000000345,24.0
635452.9999999795,22.0
635467.9999999935,21.0
635484.000000055,16.0
635500.0,11.0
635530.999999959,8.0
635545.999999973,7.0
635562.0000000345,9.0
635592.9999999935,16.0
635609.000000055,19.0
635625.0,23.0
635655.999999959,19.0
635670.999999973,23.0
635687.0000000345,14.0
635702.9999999795,11.0
635734.000000055,6.0
635750.0,26.0
635765.000000014,31.0
635795.999999973,33.0
635812.0000000345,32.0
635827.9999999795,27.0
635842.9999999935,15.0
635875.0,7.0
635890.000000014,5.0
635937.0000000345,3.0
635952.9999999795,6.0
635967.9999999935,28.0
635984.000000055,61.0
636000.0,59.0
636030.999999959,59.0
636045.999999973,60.0
636062.0000000345,66.0
636092.9999999935,72.0
636109.000000055,74.0
636125.0,90.0
636155.999999959,95.0
636155.999999959,93.0
636187.0000000345,91.0
636202.9999999795,87.0
636234.000000055,89.0
636250.0,89.0
636265.000000014,94.0
636295.999999973,93.0
636312.0000000345,78.0
636327.9999999795,69.0
636342.9999999935,75.0
636375.0,78.0
636390.000000014,58.0
636405.999999959,44.0
636420.999999973,39.0
636452.9999999795,40.0
636467.9999999935,40.0
636484.000000055,26.0
636515.000000014,34.0
636530.999999959,30.0
636545.999999973,25.0
636562.0000000345,28.0
636592.9999999935,16.0
636609.000000055,28.0
636625.0,41.0
636640.000000014,39.0
636670.999999973,34.0
636687.0000000345,46.0
636702.9999999795,49.0
636734.000000055,48.0
636750.0,51.0
636765.000000014,52.0
636780.999999959,56.0
636795.999999973,57.0
636827.9999999795,55.0
636842.9999999935,54.0
636859.000000055,54.0
636890.000000014,55.0
636905.999999959,50.0
636937.0000000345,42.0
636952.9999999795,55.0
636967.9999999935,52.0
636984.000000055,43.0
637015.000000014,41.0
637030.999999959,40.0
637045.999999973,35.0
637062.0000000345,34.0
637092.9999999935,37.0
637092.9999999935,30.0
637125.0,26.0
637155.999999959,24.0
637170.999999973,25.0
637187.0000000345,9.0
637202.9999999795,19.0
637234.000000055,19.0
637250.0,20.0
637265.000000014,25.0
637280.999999959,28.0
637312.0000000345,28.0
637327.9999999795,36.0
637342.9999999935,40.0
637375.0,45.0
637390.000000014,44.0
637405.999999959,50.0
637437.0000000345,51.0
637452.9999999795,56.0
637467.9999999935,61.0
637484.000000055,61.0
637515.000000014,61.0
637530.999999959,62.0
637545.999999973,65.0
637577.9999999795,63.0
637592.9999999935,65.0
637609.000000055,65.0
637625.0,61.0
637655.999999959,54.0
637670.999999973,61.0
637687.0000000345,54.0
637702.9999999795,48.0
637734.000000055,50.0
637750.0,42.0
637765.000000014,44.0
637795.999999973,33.0
637812.0000000345,43.0
637827.9999999795,37.0
637842.9999999935,28.0
637875.0,24.0
637890.000000014,28.0
637905.999999959,30.0
637937.0000000345,26.0
637952.9999999795,27.0
637967.9999999935,28.0
637984.000000055,32.0
638015.000000014,41.0
638030.999999959,41.0
638045.999999973,43.0
638077.9999999795,52.0
638092.9999999935,53.0
638109.000000055,53.0
638125.0,57.0
638155.999999959,59.0
638170.999999973,52.0
