ax,ay,az,gx,gy,gz,timestamp_ms
-0.775,-0.471,-0.566,48.77,9.06,-11.81,1785098509811.204
-0.765,-0.492,-0.531,46.66,8.91,-10.35,1785098509811.6172
-0.745,-0.504,-0.476,44.5,7.48,-7.84,1785098509811.999
-0.714,-0.518,-0.452,44.19,4.85,-5.55,1785098509812.385
-0.686,-0.535,-0.458,44.77,2.44,-4.82,1785098509812.7449
-0.683,-0.525,-0.452,43.89,-0.12,-4.64,1785098509813.141
-0.689,-0.5,-0.431,42.48,-3.94,-2.96,1785098509813.4502
-0.682,-0.484,-0.435,41.84,-8.12,-1.19,1785098509813.923
-0.686,-0.465,-0.447,40.83,-11.08,-0.43,1785098509814.2322
-0.687,-0.463,-0.456,39.83,-13.92,0.4,1785098509814.542
-0.698,-0.458,-0.482,37.9,-16.33,0.89,1785098509814.864
-0.704,-0.444,-0.504,34.39,-17.18,2.56,1785098509815.188
-0.704,-0.445,-0.526,31.56,-17.7,5.01,1785098509815.4932
-0.697,-0.451,-0.528,29.11,-18.52,9.13,1785098509815.808
-0.676,-0.472,-0.515,28.08,-18.92,14.22,1785098509816.122
-0.667,-0.491,-0.477,27.19,-18.89,16.91,1785098509816.4292
-0.663,-0.508,-0.443,26.98,-20.39,18.92,1785098509816.7578
-0.659,-0.512,-0.43,26.83,-22.58,21.18,1785098509817.06
-0.651,-0.501,-0.425,25.67,-25.18,24.6,1785098509817.369
-0.636,-0.484,-0.425,23.04,-28.11,29.51,1785098509817.662
-0.624,-0.469,-0.434,19.44,-31.07,33.05,1785098509817.9587
-0.619,-0.46,-0.431,16.72,-33.23,35.22,1785098509818.263
-0.623,-0.451,-0.407,15.87,-34.85,38.21,1785098509818.5598
-0.625,-0.436,-0.385,16.72,-37.17,42.12,1785098509818.851
-0.623,-0.405,-0.36,17.98,-40.22,47.24,1785098509819.129
-0.623,-0.405,-0.36,19.96,-43.7,52.71,1785098509819.395
-0.622,-0.383,-0.324,22.49,-47.67,57.22,1785098509819.6821
-0.622,-0.378,-0.319,23.47,-50.57,61.56,1785098509819.967
-0.629,-0.36,-0.338,21.42,-52.52,68.0,1785098509820.2341
-0.646,-0.323,-0.37,16.85,-53.38,74.71,1785098509820.5
-0.666,-0.303,-0.411,16.85,-53.38,74.71,1785098509820.7622
-0.699,-0.291,-0.437,8.58,-53.44,80.48,1785098509821.028
-0.734,-0.289,-0.436,-1.98,-53.13,86.76,1785098509821.291
-0.758,-0.301,-0.424,-12.27,-53.13,93.14,1785098509821.5588
-0.78,-0.32,-0.405,-21.24,-53.38,99.03,1785098509821.825
-0.803,-0.345,-0.377,-27.16,-53.8,104.37,1785098509822.096
-0.82,-0.377,-0.36,-29.27,-54.72,108.43,1785098509822.3628
-0.845,-0.397,-0.351,-28.9,-55.73,111.21,1785098509822.624
-0.868,-0.398,-0.352,-27.1,-56.86,114.41,1785098509822.889
-0.882,-0.406,-0.363,-23.1,-56.89,118.08,1785098509823.185
-0.905,-0.416,-0.376,-17.27,-55.6,120.33,1785098509823.4692
-0.926,-0.42,-0.389,-11.14,-54.29,122.1,1785098509823.731
-0.931,-0.424,-0.406,-4.82,-52.03,123.72,1785098509824.029
-0.939,-0.421,-0.405,1.19,-48.95,125.03,1785098509824.307
-0.944,-0.419,-0.391,7.14,-45.59,125.49,1785098509824.62
-0.949,-0.41,-0.363,13.4,-42.39,125.16,1785098509824.885
-0.95,-0.416,-0.342,20.75,-39.0,123.69,1785098509825.158
-0.953,-0.438,-0.338,29.27,-35.07,120.06,1785098509825.438
-0.956,-0.465,-0.337,38.45,-30.88,114.54,1785098509825.697
