num_points,points,timestamp_ms
7,"[{""range"": 0.5090291277851533, ""doppler"": 0.0, ""angle"": -1.2681112749005408, ""elevation"": 0.0}, {""range"": 0.5558119574420354, ""doppler"": 0.0, ""angle"": -0.8295141354767505, ""elevation"": 0.0}, {""range"": 0.6115814038388261, ""doppler"": 0.0, ""angle"": 0.6365935759634865, ""elevation"": 0.0}, {""range"": 0.6325825421222506, ""doppler"": 0.0, ""angle"": 3.2409206794863215, ""elevation"": 0.0}, {""range"": 0.6442271241550533, ""doppler"": 0.0, ""angle"": 6.006508720225992, ""elevation"": 0.0}, {""range"": 1.8769514384664288, ""doppler"": 0.0, ""angle"": 46.825957285757724, ""elevation"": 0.0}, {""range"": 1.8932018925807972, ""doppler"": 0.0, ""angle"": 53.437483680485144, ""elevation"": 0.0}]",1785098544483.646
9,"[{""range"": 0.5333389309080874, ""doppler"": 0.0, ""angle"": -5.4831315214016945, ""elevation"": 0.0}, {""range"": 0.5605125213466883, ""doppler"": 0.0, ""angle"": -3.1088567963012634, ""elevation"": 0.0}, {""range"": 2.8097708326546096, ""doppler"": 0.0, ""angle"": -2.5350095376916673, ""elevation"": 0.0}, {""range"": 0.6119618167816273, ""doppler"": 0.0, ""angle"": 3.752824534521771, ""elevation"": 0.0}, {""range"": 0.6366676346600797, ""doppler"": 0.0, ""angle"": 6.725818631444477, ""elevation"": 0.0}, {""range"": 0.6481119374892005, ""doppler"": 0.0, ""angle"": 9.480513818816858, ""elevation"": 0.0}, {""range"": 1.8587911454725938, ""doppler"": 0.0, ""angle"": 44.07626891527717, ""elevation"": 0.0}, {""range"": 1.8755095282303038, ""doppler"": 0.0, ""angle"": 44.7566498749884, ""elevation"": 0.0}, {""range"": 1.90076873967672, ""doppler"": 0.0, ""angle"": 43.53627942619431, ""elevation"": 0.0}]",1785098544484.242
8,"[{""range"": 2.810233699036977, ""doppler"": 0.0, ""angle"": -4.335233229882565, ""elevation"": 0.0}, {""range"": 0.6278788984478568, ""doppler"": 0.0, ""angle"": 30.0626369633275, ""elevation"": 0.0}, {""range"": 0.6529059705150699, ""doppler"": 0.0, ""angle"": 27.252792078615332, ""elevation"": 0.0}, {""range"": 0.6665585799602061, ""doppler"": 0.0, ""angle"": 27.582435880990328, ""elevation"": 0.0}, {""range"": 0.6918084420522294, ""doppler"": 0.0, ""angle"": 30.369433828603764, ""elevation"": 0.0}, {""range"": 1.9496829219062166, ""doppler"": 0.0, ""angle"": 32.703337226963306, ""elevation"": 0.0}, {""range"": 1.88002923720202, ""doppler"": 0.0, ""angle"": 42.35176957859218, ""elevation"": 0.0}, {""range"": 1.9062630201375974, ""doppler"": 0.0, ""angle"": 44.604758122122675, ""elevation"": 0.0}]",1785098544484.771
9,"[{""range"": 0.6142775282725027, ""doppler"": 0.0, ""angle"": -5.227649100862562, ""elevation"": 0.0}, {""range"": 0.6288204994801931, ""doppler"": 0.0, ""angle"": -8.388168947520587, ""elevation"": 0.0}, {""range"": 0.6427325027969932, ""doppler"": 0.0, ""angle"": -9.415152257502678, ""elevation"": 0.0}, {""range"": 2.771506730356738, ""doppler"": 0.0, ""angle"": -9.739445945497241, ""elevation"": 0.0}, {""range"": 2.8018305099857788, ""doppler"": 0.0, ""angle"": -6.177052985974425, ""elevation"": 0.0}, {""range"": 0.6587309244200727, ""doppler"": 0.0, ""angle"": 33.21556130280674, ""elevation"": 0.0}, {""range"": 1.8570248841697032, ""doppler"": 0.0, ""angle"": 40.32123896365876, ""elevation"": 0.0}, {""range"": 1.8740014433503147, ""doppler"": 0.0, ""angle"": 41.40244514551759, ""elevation"": 0.0}, {""range"": 1.8982273637987634, ""doppler"": 0.0, ""angle"": 43.2746991639204, ""elevation"": 0.0}]",1785098544485.282
6,"[{""range"": 0.494245628442876, ""doppler"": 0.0, ""angle"": -12.45236241827126, ""elevation"": 0.0}, {""range"": 0.616849113839627, ""doppler"": 0.0, ""angle"": 1.1294892138538988, ""elevation"": 0.0}, {""range"": 0.6236066676852208, ""doppler"": 0.0, ""angle"": 2.152715909664436, ""elevation"": 0.0}, {""range"": 0.645677903105258, ""doppler"": 0.0, ""angle"": 10.273623387234437, ""elevation"": 0.0}, {""range"": 1.8799180479883308, ""doppler"": 0.0, ""angle"": 45.00770726112019, ""elevation"": 0.0}, {""range"": 1.8967541740546556, ""doppler"": 0.0, ""angle"": 47.00178572918819, ""elevation"": 0.0}]",1785098544485.995
9,"[{""range"": 0.48413346841180416, ""doppler"": 0.0, ""angle"": -28.069997276328028, ""elevation"": 0.0}, {""range"": 0.5114634940415431, ""doppler"": 0.0, ""angle"": -22.53049445221767, ""elevation"": 0.0}, {""range"": 0.5665913571263349, ""doppler"": 0.0, ""angle"": -5.868928012586333, ""elevation"": 0.0}, {""range"": 0.6037294681937341, ""doppler"": 0.0, ""angle"": -0.7636722144907255, ""elevation"": 0.0}, {""range"": 0.6201129314924773, ""doppler"": 0.0, ""angle"": -1.3218486038112636, ""elevation"": 0.0}, {""range"": 0.6375148856858927, ""doppler"": 0.0, ""angle"": -2.4434806415729473, ""elevation"": 0.0}, {""range"": 1.8575660473942648, ""doppler"": 0.0, ""angle"": 40.975791081403166, ""elevation"": 0.0}, {""range"": 1.8755764931216754, ""doppler"": 0.0, ""angle"": 41.56413337969127, ""elevation"": 0.0}, {""range"": 1.90177362090389, ""doppler"": 0.0, ""angle"": 40.0607844578738, ""elevation"": 0.0}]",1785098544486.418
9,"[{""range"": 0.5268158644324408, ""doppler"": 0.0, ""angle"": -2.198113578800434, ""elevation"": 0.0}, {""range"": 0.5714994328642599, ""doppler"": 0.0, ""angle"": -0.3406154525276732, ""elevation"": 0.0}, {""range"": 0.6079173330439158, ""doppler"": 0.0, ""angle"": 2.680618671557069, ""elevation"": 0.0}, {""range"": 0.6248704552658992, ""doppler"": 0.0, ""angle"": 4.003845824117631, ""elevation"": 0.0}, {""range"": 0.6379960145438464, ""doppler"": 0.0, ""angle"": 6.356152066634166, ""elevation"": 0.0}, {""range"": 1.8542237987859596, ""doppler"": 0.0, ""angle"": 39.52966378145319, ""elevation"": 0.0}, {""range"": 1.878985194211908, ""doppler"": 0.0, ""angle"": 44.47563873055221, ""elevation"": 0.0}, {""range"": 1.9011282640436764, ""doppler"": 0.0, ""angle"": 49.32154802825987, ""elevation"": 0.0}, {""range"": 1.933882016557639, ""doppler"": 0.0, ""angle"": 57.15336417025365, ""elevation"": 0.0}]",1785098544486.819
10,"[{""range"": 0.5209765380825553, ""doppler"": 0.0, ""angle"": -44.276887780102996, ""elevation"": 0.0}, {""range"": 0.5591567766282657, ""doppler"": 0.0, ""angle"": -36.613378440957426, ""elevation"": 0.0}, {""range"": 2.8044604779557005, ""doppler"": 0.0, ""angle"": -4.325856342105095, ""elevation"": 0.0}, {""range"": 0.6155331985190218, ""doppler"": 0.0, ""angle"": -1.5814346839341293, ""elevation"": 0.0}, {""range"": 0.6172194161720854, ""doppler"": 0.0, ""angle"": -3.305052508971821, ""elevation"": 0.0}, {""range"": 0.6928416962457976, ""doppler"": 0.0, ""angle"": 32.6605935126823, ""elevation"": 0.0}, {""range"": 0.6663938566306531, ""doppler"": 0.0, ""angle"": 34.670844759034026, ""elevation"": 0.0}, {""range"": 1.8566136447991903, ""doppler"": 0.0, ""angle"": 43.90347058377561, ""elevation"": 0.0}, {""range"": 1.8743604555219522, ""doppler"": 0.0, ""angle"": 46.766610857852655, ""elevation"": 0.0}, {""range"": 1.891464222957022, ""doppler"": 0.0, ""angle"": 54.19723202463706, ""elevation"": 0.0}]",1785098544487.218
7,"[{""range"": 0.5498215619932583, ""doppler"": 0.0, ""angle"": -36.17670210745719, ""elevation"": 0.0}, {""range"": 0.533335064027859, ""doppler"": 0.0, ""angle"": -33.61014971536627, ""elevation"": 0.0}, {""range"": 0.6065655686198388, ""doppler"": 0.0, ""angle"": 0.5574000809039509, ""elevation"": 0.0}, {""range"": 0.6178096216662787, ""doppler"": 0.0, ""angle"": 0.2819161769327934, ""elevation"": 0.0}, {""range"": 0.6608444596446459, ""doppler"": 0.0, ""angle"": 35.91794994336258, ""elevation"": 0.0}, {""range"": 1.872575967420696, ""doppler"": 0.0, ""angle"": 41.67488614336646, ""elevation"": 0.0}, {""range"": 1.8949179228101956, ""doppler"": 0.0, ""angle"": 39.47466940543731, ""elevation"": 0.0}]",1785098544487.633
5,"[{""range"": 0.6233654823277435, ""doppler"": 0.0, ""angle"": 0.4601971679786938, ""elevation"": 0.0}, {""range"": 0.632901734461984, ""doppler"": 0.0, ""angle"": 0.9065543647371019, ""elevation"": 0.0}, {""range"": 0.6433488292525014, ""doppler"": 0.0, ""angle"": 1.2581704223834662, ""elevation"": 0.0}, {""range"": 1.8801519586482154, ""doppler"": 0.0, ""angle"": 44.38733729727503, ""elevation"": 0.0}, {""range"": 1.8997284028099013, ""doppler"": 0.0, ""angle"": 46.57515115559814, ""elevation"": 0.0}]",1785098544488.0361
5,"[{""range"": 0.6125213572905471, ""doppler"": 0.0, ""angle"": 2.1749556888290096, ""elevation"": 0.0}, {""range"": 2.807298523597337, ""doppler"": 0.0, ""angle"": -1.3796507562462332, ""elevation"": 0.0}, {""range"": 0.6263899336764055, ""doppler"": 0.0, ""angle"": 3.879354263162677, ""elevation"": 0.0}, {""range"": 1.8768158240943287, ""doppler"": 0.0, ""angle"": 42.95376489520476, ""elevation"": 0.0}, {""range"": 1.8949350580536106, ""doppler"": 0.0, ""angle"": 42.82796397281875, ""elevation"": 0.0}]",1785098544488.4421
6,"[{""range"": 1.5007108662257964, ""doppler"": 0.0, ""angle"": -9.353454746236398, ""elevation"": 0.0}, {""range"": 2.465659193646405, ""doppler"": 0.0, ""angle"": -3.2344559028199504, ""elevation"": 0.0}, {""range"": 0.6340775897166804, ""doppler"": 0.0, ""angle"": 3.605563313406429, ""elevation"": 0.0}, {""range"": 0.6468398265702408, ""doppler"": 0.0, ""angle"": 7.673143592823313, ""elevation"": 0.0}, {""range"": 0.6647126794567022, ""doppler"": 0.0, ""angle"": 12.727750588512139, ""elevation"": 0.0}, {""range"": 0.6915704908458887, ""doppler"": 0.0, ""angle"": 15.768356656940616, ""elevation"": 0.0}]",1785098544488.8398
