ax,ay,az,gx,gy,gz,timestamp_ms
-1.453,-0.425,-0.47,87.25,-58.32,-329.39,1785109588197.1042
-1.162,-0.417,-0.499,78.34,-60.61,-304.88,1785109588197.658
-1.162,-0.417,-0.499,80.2,-61.92,-281.62,1785109588198.164
-0.811,-0.447,-0.549,83.32,-58.75,-254.92,1785109588198.6292
-0.447,-0.459,-0.548,85.45,-55.7,-217.47,1785109588199.052
-0.057,-0.476,-0.528,90.4,-53.99,-176.09,1785109588199.462
0.348,-0.514,-0.486,90.4,-53.99,-176.09,1785109588199.894
0.77,-0.593,-0.49,97.02,-53.96,-138.4,1785109588200.345
1.191,-0.709,-0.526,99.19,-54.32,-108.83,1785109588200.764
1.519,-0.748,-0.583,87.04,-55.79,-86.03,1785109588201.1719
1.664,-0.701,-0.646,61.86,-55.12,-62.23,1785109588201.594
1.564,-0.693,-0.697,30.82,-50.2,-40.74,1785109588202.008
1.309,-0.77,-0.726,-2.32,-41.69,-29.21,1785109588202.423
1.107,-0.905,-0.717,-29.42,-33.11,-26.28,1785109588202.8489
1.027,-1.012,-0.671,-40.77,-28.29,-28.87,1785109588203.26
1.018,-1.029,-0.607,-34.3,-25.76,-30.24,1785109588203.67
1.017,-1.018,-0.598,-15.5,-22.71,-29.97,1785109588204.08
0.976,-0.991,-0.602,-1.74,-18.52,-33.02,1785109588204.478
0.928,-0.934,-0.587,-1.46,-13.92,-35.28,1785109588204.8928
0.886,-0.937,-0.573,-5.49,-8.03,-36.07,1785109588205.2942
0.805,-0.97,-0.553,-11.23,-0.58,-41.93,1785109588205.699
0.743,-0.947,-0.53,-17.52,4.85,-48.83,1785109588206.107
0.732,-0.99,-0.57,-16.45,9.89,-53.87,1785109588206.475
0.727,-1.028,-0.56,-15.02,16.11,-59.79,1785109588206.833
0.737,-0.969,-0.508,-12.97,21.88,-62.93,1785109588207.201
0.754,-0.896,-0.475,-4.67,28.23,-63.42,1785109588207.573
0.737,-0.84,-0.437,1.4,33.39,-67.63,1785109588207.925
0.714,-0.762,-0.409,-4.12,36.62,-72.73,1785109588208.275
0.717,-0.698,-0.356,-16.33,40.1,-74.1,1785109588208.624
0.723,-0.691,-0.294,-25.09,41.78,-73.95,1785109588208.9758
0.716,-0.675,-0.227,-30.12,40.93,-72.42,1785109588209.3281
0.699,-0.652,-0.193,-28.72,38.3,-69.58,1785109588209.6892
0.683,-0.632,-0.183,-21.85,34.46,-67.57,1785109588210.0579
0.661,-0.612,-0.192,-14.62,31.22,-67.23,1785109588210.436
0.648,-0.577,-0.207,-9.61,27.41,-65.74,1785109588210.815
0.661,-0.547,-0.223,-4.49,22.61,-63.54,1785109588211.158
0.68,-0.533,-0.235,2.66,17.24,-62.17,1785109588211.509
0.691,-0.524,-0.226,11.47,12.09,-60.15,1785109588211.875
0.699,-0.513,-0.223,20.84,6.44,-56.83,1785109588212.279
0.701,-0.5,-0.24,28.78,0.76,-52.19,1785109588212.649
0.708,-0.458,-0.259,31.98,-2.78,-47.18,1785109588212.995
0.704,-0.42,-0.281,31.1,-5.37,-40.96,1785109588213.3398
0.7,-0.419,-0.291,25.97,-8.09,-34.49,1785109588213.6772
0.709,-0.4,-0.285,17.27,-8.76,-29.33,1785109588214.022
0.719,-0.378,-0.276,8.55,-7.93,-22.8,1785109588214.3403
0.728,-0.382,-0.272,2.44,-6.26,-17.06,1785109588214.6492
0.706,-0.407,-0.254,-1.19,-6.41,-11.66,1785109588214.971
0.705,-0.434,-0.225,0.61,-8.12,-6.1,1785109588215.302
0.714,-0.459,-0.221,7.63,-8.15,-2.23,1785109588215.6091
0.707,-0.469,-0.239,15.5,-7.23,1.98,1785109588215.942
0.683,-0.489,-0.266,21.24,-7.11,8.09,1785109588216.244
0.65,-0.528,-0.294,22.71,-6.68,13.25,1785109588216.5508
0.609,-0.563,-0.315,17.21,-4.49,15.9,1785109588216.865
0.593,-0.601,-0.333,6.07,-1.28,18.8,1785109588217.1619
0.595,-0.656,-0.34,-6.01,2.26,20.75,1785109588217.4668
0.575,-0.722,-0.329,-14.59,6.84,21.15,1785109588217.782
0.546,-0.77,-0.309,-17.7,9.83,22.22,1785109588218.09
0.52,-0.809,-0.296,-14.13,11.29,22.64,1785109588218.4092
0.487,-0.847,-0.291,-6.93,12.33,21.3,1785109588218.7422
0.447,-0.866,-0.285,0.03,13.34,19.38,1785109588219.054
0.421,-0.847,-0.273,6.5,13.46,18.52,1785109588219.372
0.42,-0.804,-0.275,14.22,13.03,18.8,1785109588219.685
0.434,-0.736,-0.277,22.19,12.57,19.99,1785109588219.9932
0.457,-0.662,-0.266,29.54,12.24,23.01,1785109588220.302
0.479,-0.596,-0.25,36.19,11.9,27.5,1785109588220.605
0.498,-0.542,-0.255,41.29,11.35,33.23,1785109588220.9148
0.522,-0.495,-0.261,43.43,10.77,40.28,1785109588221.2239
0.548,-0.462,-0.281,42.45,9.58,48.43,1785109588221.5403
0.56,-0.448,-0.307,38.21,8.55,57.8,1785109588221.874
0.558,-0.44,-0.311,30.58,7.63,68.21,1785109588222.2058
0.547,-0.442,-0.312,22.52,6.74,78.89,1785109588222.49
0.529,-0.46,-0.303,16.42,5.83,89.75,1785109588222.785
0.518,-0.485,-0.287,13.21,4.55,99.98,1785109588223.074
0.511,-0.528,-0.271,12.91,2.87,109.07,1785109588223.364
0.494,-0.576,-0.259,12.67,0.73,117.22,1785109588223.667
0.48,-0.604,-0.24,11.78,-0.98,125.22,1785109588223.9448
0.468,-0.63,-0.216,11.6,-2.62,132.91,1785109588224.231
0.459,-0.646,-0.199,10.71,-4.64,139.9,1785109588224.527
0.454,-0.654,-0.184,10.25,-6.26,145.63,1785109588224.8179
0.444,-0.673,-0.175,11.05,-7.32,149.42,1785109588225.103
0.431,-0.705,-0.165,13.37,-8.06,152.01,1785109588225.398
0.422,-0.742,-0.153,17.88,-8.64,154.21,1785109588225.688
0.42,-0.769,-0.137,25.85,-9.58,156.65,1785109588225.989
0.419,-0.771,-0.115,37.69,-10.68,160.47,1785109588226.28
0.428,-0.767,-0.097,54.35,-11.57,165.5,1785109588226.5698
0.427,-0.797,-0.091,74.8,-12.97,169.16,1785109588226.8901
0.409,-0.803,-0.068,94.09,-13.67,171.94,1785109588227.181
0.404,-0.798,-0.013,116.15,-13.92,177.16,1785109588227.4749
0.395,-0.849,0.042,146.06,-16.17,182.53,1785109588227.788
0.361,-0.904,0.081,177.37,-17.88,184.39,1785109588228.09
0.338,-0.944,0.125,210.27,-17.64,184.15,1785109588228.3599
0.326,-1.013,0.184,248.45,-17.21,183.6,1785109588228.6501
0.319,-1.058,0.215,287.55,-17.0,183.23,1785109588228.927
0.334,-1.07,0.247,328.59,-13.21,182.93,1785109588229.208
0.315,-1.045,0.309,368.85,-9.25,181.22,1785109588229.471
0.272,-1.021,0.373,403.18,-7.35,178.11,1785109588229.7458
0.235,-0.97,0.438,423.9,-3.42,169.74,1785109588230.024
0.189,-0.903,0.475,424.79,4.49,157.08,1785109588230.299
0.131,-0.919,0.435,404.68,13.92,142.95,1785109588230.572
0.062,-0.976,0.371,362.8,27.5,127.51,1785109588230.852
-0.029,-1.05,0.318,311.14,44.98,117.4,1785109588231.148
-0.152,-1.048,0.256,261.33,64.24,114.84,1785109588231.4219
-0.241,-0.977,0.241,213.6,82.09,120.55,1785109588231.698
-0.315,-0.934,0.296,159.89,92.47,122.71,1785109588232.054
-0.426,-0.886,0.361,88.75,98.57,119.14,1785109588232.3682
-0.506,-0.844,0.551,14.34,105.26,123.02,1785109588232.646
-0.567,-0.886,0.783,-32.5,103.55,128.06,1785109588232.9229
-0.631,-0.89,0.808,-52.4,95.77,129.61,1785109588233.2007
