num_points,points,timestamp_ms
6,"[{""range"": 0.5768895858678053, ""doppler"": 0.0, ""angle"": -8.825825947640643, ""elevation"": 0.0}, {""range"": 0.6182826319123038, ""doppler"": 0.0, ""angle"": -1.7899106082460694, ""elevation"": 0.0}, {""range"": 0.6503209093917943, ""doppler"": 0.0, ""angle"": 1.244679463475428, ""elevation"": 0.0}, {""range"": 0.6646730417139125, ""doppler"": 0.0, ""angle"": 0.4624256291505381, ""elevation"": 0.0}, {""range"": 0.6841567177392597, ""doppler"": 0.0, ""angle"": 0.37437901264375006, ""elevation"": 0.0}, {""range"": 2.0904160223587325, ""doppler"": 9.453816057852237, ""angle"": 58.822749047800045, ""elevation"": 0.0}]",1785109627779.7273
5,"[{""range"": 0.6793566852638514, ""doppler"": 0.0, ""angle"": 14.870216216175777, ""elevation"": 0.0}, {""range"": 0.696764275660209, ""doppler"": 0.0, ""angle"": 11.817471905934442, ""elevation"": 0.0}, {""range"": 2.123721125839537, ""doppler"": 0.0, ""angle"": 12.942186223550491, ""elevation"": 0.0}, {""range"": 2.1318020715496115, ""doppler"": 0.0, ""angle"": 10.844322616478063, ""elevation"": 0.0}, {""range"": 0.6653734013692348, ""doppler"": 0.0, ""angle"": 21.123739848219106, ""elevation"": 0.0}]",1785109627780.2722
5,"[{""range"": 0.6153260034163504, ""doppler"": 0.0, ""angle"": -2.8150114359335845, ""elevation"": 0.0}, {""range"": 0.6257915981609508, ""doppler"": 0.0, ""angle"": -1.129721761933165, ""elevation"": 0.0}, {""range"": 0.6527147539611685, ""doppler"": 0.0, ""angle"": -2.763641120437894, ""elevation"": 0.0}, {""range"": 0.757335973840228, ""doppler"": 0.0, ""angle"": 30.93127593492193, ""elevation"": 0.0}, {""range"": 0.7300920603632531, ""doppler"": 0.0, ""angle"": 40.45060875137393, ""elevation"": 0.0}]",1785109627780.708
6,"[{""range"": 0.598343728530708, ""doppler"": 0.0, ""angle"": -8.888060544807976, ""elevation"": 0.0}, {""range"": 0.6076696575008752, ""doppler"": 0.0, ""angle"": -8.614132756890593, ""elevation"": 0.0}, {""range"": 0.6153503997428116, ""doppler"": 0.0, ""angle"": -7.732172339409531, ""elevation"": 0.0}, {""range"": 0.6372974777696725, ""doppler"": 0.0, ""angle"": -5.764980761552853, ""elevation"": 0.0}, {""range"": 1.1502074664070672, ""doppler"": 0.0, ""angle"": -7.458673569724467, ""elevation"": 0.0}, {""range"": 0.708494859256943, ""doppler"": 0.0, ""angle"": 18.969980457663763, ""elevation"": 0.0}]",1785109627781.153
4,"[{""range"": 0.5816804091071839, ""doppler"": 0.0, ""angle"": -14.873554133350297, ""elevation"": 0.0}, {""range"": 0.5901077927547136, ""doppler"": 0.0, ""angle"": -14.638403897806564, ""elevation"": 0.0}, {""range"": 0.6095713518388516, ""doppler"": 0.0, ""angle"": -12.038410982438693, ""elevation"": 0.0}, {""range"": 0.6469180970071915, ""doppler"": 0.0, ""angle"": -9.803395481542509, ""elevation"": 0.0}]",1785109627781.59
4,"[{""range"": 0.5710899683983574, ""doppler"": 0.0, ""angle"": -13.692507723902605, ""elevation"": 0.0}, {""range"": 0.5820289184583683, ""doppler"": 0.0, ""angle"": -11.375523805898956, ""elevation"": 0.0}, {""range"": 0.6053968038542551, ""doppler"": 0.0, ""angle"": -6.171994037536437, ""elevation"": 0.0}, {""range"": 0.6579780602327626, ""doppler"": 0.0, ""angle"": -4.9420883270174, ""elevation"": 0.0}]",1785109627782.028
4,"[{""range"": 0.5609014331570488, ""doppler"": 0.0, ""angle"": -14.851408338100615, ""elevation"": 0.0}, {""range"": 0.57513914087469, ""doppler"": 0.0, ""angle"": -12.096001231001159, ""elevation"": 0.0}, {""range"": 0.6182408707219897, ""doppler"": 0.0, ""angle"": -0.9280541064053096, ""elevation"": 0.0}, {""range"": 0.6725951071171137, ""doppler"": 0.0, ""angle"": 14.897074841850545, ""elevation"": 0.0}]",1785109627782.475
5,"[{""range"": 0.5617966729464015, ""doppler"": 0.0, ""angle"": -13.341809984679891, ""elevation"": 0.0}, {""range"": 0.5851797673090199, ""doppler"": 0.0, ""angle"": -6.87962582820156, ""elevation"": 0.0}, {""range"": 0.6345268078844188, ""doppler"": 0.0, ""angle"": 7.643724454140982, ""elevation"": 0.0}, {""range"": 0.6718213707607625, ""doppler"": 0.0, ""angle"": 16.08574430504003, ""elevation"": 0.0}, {""range"": 0.7058384198631543, ""doppler"": 0.0, ""angle"": 13.701801855954987, ""elevation"": 0.0}]",1785109627783.0342
4,"[{""range"": 0.565862056177432, ""doppler"": 0.0, ""angle"": -12.87248007127572, ""elevation"": 0.0}, {""range"": 0.5914242156709406, ""doppler"": 0.0, ""angle"": -6.684536191405698, ""elevation"": 0.0}, {""range"": 0.6223199935162289, ""doppler"": 0.0, ""angle"": -0.707929064590811, ""elevation"": 0.0}, {""range"": 0.6594023921653678, ""doppler"": 0.0, ""angle"": 4.3546142707102895, ""elevation"": 0.0}]",1785109627783.469
4,"[{""range"": 0.5545832231748938, ""doppler"": 0.0, ""angle"": -15.19678921519259, ""elevation"": 0.0}, {""range"": 0.6266605698004526, ""doppler"": 0.0, ""angle"": -3.5008674063583904, ""elevation"": 0.0}, {""range"": 0.6873412723685411, ""doppler"": 0.0, ""angle"": 32.63581517177047, ""elevation"": 0.0}, {""range"": 0.7081035411718198, ""doppler"": 0.0, ""angle"": 28.01461243077546, ""elevation"": 0.0}]",1785109627783.894
