ax,ay,az,gx,gy,gz,timestamp_ms
-0.736,0.2,0.612,-2.41,2.29,-1.4,1784841002359.4639
-0.732,0.203,0.614,-1.92,2.5,-1.46,1784841002360.201
-0.727,0.204,0.614,-1.31,2.5,-1.62,1784841002360.7249
-0.728,0.202,0.616,-0.73,2.38,-1.68,1784841002361.233
-0.728,0.201,0.62,-0.06,2.17,-1.53,1784841002361.972
-0.73,0.201,0.622,0.37,1.83,-1.46,1784841002362.823
-0.734,0.2,0.628,0.43,1.59,-1.25,1784841002363.552
-0.737,0.2,0.631,0.37,1.43,-0.82,1784841002364.5818
-0.74,0.201,0.636,-0.06,1.25,-0.49,1784841002365.25
-0.742,0.2,0.639,-0.27,1.04,-0.12,1784841002365.824
-0.741,0.198,0.638,-0.18,0.76,0.4,1784841002366.3882
-0.738,0.196,0.638,-0.18,0.46,0.79,1784841002366.954
-0.738,0.196,0.637,-0.12,0.09,0.85,1784841002367.5132
-0.737,0.191,0.632,0.15,-0.12,0.85,1784841002368.072
-0.735,0.185,0.63,0.27,-0.43,0.76,1784841002368.627
-0.735,0.182,0.63,-0.06,-0.67,0.76,1784841002369.174
-0.735,0.183,0.63,-0.46,-0.89,0.76,1784841002369.728
-0.735,0.185,0.627,-0.79,-1.01,0.64,1784841002370.2832
-0.736,0.186,0.623,-0.82,-0.98,0.49,1784841002370.833
-0.737,0.186,0.619,-0.73,-1.1,0.15,1784841002371.388
-0.738,0.188,0.615,-0.61,-1.1,-0.12,1784841002371.948
-0.74,0.191,0.614,-0.43,-1.01,-0.31,1784841002372.506
-0.74,0.194,0.614,-0.24,-0.92,-0.4,1784841002373.0571
-0.735,0.197,0.614,0.09,-1.01,-0.52,1784841002373.623
-0.734,0.2,0.614,0.46,-0.82,-0.46,1784841002374.7
-0.732,0.203,0.613,0.98,-0.58,-0.46,1784841002375.181
-0.734,0.2,0.612,1.13,-0.55,-0.31,1784841002375.649
-0.735,0.199,0.612,1.01,-0.37,-0.24,1784841002376.117
-0.734,0.2,0.615,0.61,-0.09,-0.06,1784841002376.579
-0.736,0.2,0.615,0.31,-0.06,0.09,1784841002377.0393
-0.736,0.2,0.62,0.31,-0.03,0.43,1784841002377.501
-0.735,0.197,0.621,0.46,0.12,0.52,1784841002377.964
-0.735,0.196,0.619,0.7,0.0,0.67,1784841002378.4321
-0.735,0.193,0.621,0.85,-0.06,0.67,1784841002378.899
-0.733,0.19,0.621,0.76,-0.09,0.73,1784841002379.3652
-0.733,0.188,0.623,0.76,-0.27,0.55,1784841002379.8289
-0.731,0.186,0.622,0.64,-0.31,0.27,1784841002380.2878
-0.733,0.186,0.623,0.4,-0.31,0.18,1784841002380.752
-0.733,0.188,0.624,0.31,-0.46,0.12,1784841002381.216
-0.735,0.19,0.624,0.34,-0.43,0.0,1784841002381.675
-0.735,0.191,0.624,0.24,-0.4,-0.12,1784841002382.139
-0.736,0.193,0.624,0.31,-0.4,-0.31,1784841002382.615
-0.735,0.193,0.622,0.46,-0.7,-0.31,1784841002383.0789
-0.737,0.196,0.622,0.64,-0.79,-0.4,1784841002383.754
-0.739,0.198,0.621,0.79,-0.73,-0.46,1784841002384.549
-0.738,0.199,0.62,0.85,-0.76,-0.31,1784841002385.015
-0.737,0.199,0.62,0.73,-0.67,-0.24,1784841002385.459
-0.738,0.198,0.619,0.52,-0.55,-0.06,1784841002385.85
-0.737,0.198,0.614,0.12,-0.46,0.12,1784841002386.2432
-0.739,0.197,0.612,-0.34,-0.18,0.21,1784841002386.636
-0.74,0.198,0.614,-0.76,0.12,0.34,1784841002387.024
-0.737,0.197,0.613,-0.98,0.4,0.49,1784841002387.417
-0.738,0.197,0.609,-1.13,0.61,0.52,1784841002387.807
-0.737,0.195,0.611,-1.1,0.89,0.31,1784841002388.198
-0.736,0.193,0.611,-1.01,0.95,0.34,1784841002388.585
-0.735,0.192,0.611,-1.1,1.28,0.09,1784841002388.9822
-0.736,0.193,0.615,-1.16,1.4,0.0,1784841002389.374
-0.733,0.193,0.615,-1.19,1.37,-0.06,1784841002389.761
-0.732,0.195,0.619,-1.01,1.43,-0.24,1784841002390.1538
-0.736,0.195,0.622,-0.82,1.4,-0.27,1784841002390.545
-0.737,0.193,0.623,-0.55,1.22,-0.31,1784841002390.936
-0.735,0.194,0.626,-0.43,1.01,-0.21,1784841002391.322
-0.736,0.195,0.631,-0.34,0.89,-0.06,1784841002391.714
-0.736,0.194,0.632,-0.18,0.67,0.18,1784841002392.11
-0.735,0.195,0.633,-0.06,0.49,0.27,1784841002392.496
-0.732,0.197,0.634,0.12,0.03,0.46,1784841002392.9138
-0.733,0.193,0.632,0.46,-0.27,0.61,1784841002393.306
-0.735,0.191,0.629,0.49,-0.58,0.64,1784841002393.7002
-0.739,0.188,0.627,0.34,-0.82,0.64,1784841002394.093
-0.74,0.188,0.628,0.12,-0.92,0.52,1784841002394.4858
-0.743,0.187,0.627,-0.06,-1.04,0.58,1784841002394.882
-0.745,0.186,0.625,-0.15,-1.07,0.64,1784841002395.272
-0.744,0.187,0.622,-0.18,-1.01,0.61,1784841002395.624
-0.742,0.187,0.62,-0.4,-0.89,0.43,1784841002395.9802
-0.74,0.186,0.615,-0.4,-0.7,0.43,1784841002396.326
-0.738,0.187,0.61,-0.58,-0.55,0.15,1784841002396.675
-0.734,0.186,0.609,-0.82,-0.34,0.0,1784841002397.032
-0.732,0.188,0.609,-0.92,-0.18,-0.24,1784841002397.7449
-0.732,0.19,0.609,-0.89,-0.06,-0.31,1784841002398.0967
-0.73,0.192,0.611,-0.82,0.12,-0.37,1784841002398.455
-0.73,0.195,0.612,-0.64,0.34,-0.46,1784841002398.8062
-0.731,0.198,0.613,-0.49,0.46,-0.58,1784841002399.1602
-0.734,0.198,0.614,-0.43,0.64,-0.7,1784841002399.513
-0.734,0.197,0.61,-0.64,0.82,-0.64,1784841002400.168
-0.736,0.197,0.612,-1.01,1.01,-0.58,1784841002400.522
-0.738,0.202,0.617,-1.13,1.07,-0.31,1784841002400.883
-0.735,0.205,0.619,-0.67,1.1,-0.15,1784841002401.238
-0.736,0.203,0.62,-0.03,1.07,-0.12,1784841002401.597
-0.735,0.201,0.617,0.7,0.85,0.06,1784841002401.956
-0.735,0.198,0.617,0.92,0.82,0.15,1784841002402.312
-0.739,0.193,0.619,0.64,0.73,0.27,1784841002402.6501
-0.741,0.193,0.622,0.0,0.73,0.24,1784841002402.9949
-0.74,0.191,0.625,-0.46,0.79,0.46,1784841002403.605
-0.739,0.191,0.625,-0.58,0.7,0.52,1784841002403.9302
-0.739,0.191,0.625,-0.27,0.61,0.43,1784841002404.248
-0.741,0.189,0.628,0.24,0.43,0.4,1784841002404.567
-0.741,0.186,0.629,0.55,0.31,0.34,1784841002404.886
-0.739,0.183,0.627,0.61,0.09,0.21,1784841002405.2239
-0.737,0.183,0.626,0.31,-0.12,0.12,1784841002405.545
-0.735,0.182,0.624,0.31,-0.12,0.12,1784841002405.859
-0.736,0.183,0.623,-0.12,-0.24,-0.06,1784841002406.1719
-0.736,0.183,0.626,-0.27,-0.31,-0.27,1784841002406.485
-0.736,0.187,0.627,-0.31,-0.64,-0.18,1784841002406.7942
-0.735,0.19,0.625,-0.12,-0.73,-0.12,1784841002407.104
-0.736,0.19,0.624,0.03,-0.79,-0.18,1784841002407.4602
-0.737,0.194,0.623,0.27,-1.01,-0.27,1784841002407.777
-0.739,0.195,0.622,0.37,-1.16,-0.12,1784841002408.095
-0.738,0.191,0.619,0.03,-1.1,-0.06,1784841002408.4119
-0.739,0.194,0.621,-0.37,-1.07,0.09,1784841002408.722
