feature_set,model,random_split_accuracy,held_out_person_accuracy
imu,random_forest,0.924,0.566
imu_augmented,random_forest,0.996,0.544
imu,knn,0.893,0.523
imu_augmented,knn,0.983,0.517
fused,random_forest,0.959,0.437
fused_augmented,random_forest,0.99,0.428
fused,knn,0.877,0.384
fused_augmented,knn,0.979,0.384
uwb_augmented,random_forest,0.979,0.274
uwb,random_forest,0.765,0.271
uwb,knn,0.704,0.256
uwb_augmented,knn,0.946,0.25
mmwave,random_forest,0.644,0.133
mmwave_augmented,random_forest,1.0,0.128
mmwave_augmented,knn,0.893,0.106
mmwave,knn,0.5,0.105
